RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS,year,measure
1,1,Graeme McDowell,66,0.882,40.589,46,2014,sg_putting
2,2,Aaron Baddeley,74,0.872,51.445,59,2014,sg_putting
3,3,Greg Chalmers,85,0.856,62.482,73,2014,sg_putting
4,4,Matt Every,85,0.733,47.669,65,2014,sg_putting
5,5,Freddie Jacobson,91,0.704,56.992,81,2014,sg_putting
6,6,Brendon Todd,108,0.664,60.431,91,2014,sg_putting
7,7,Luke Donald,57,0.517,22.733,44,2014,sg_putting
8,8,Morgan Hoffmann,103,0.506,45.523,90,2014,sg_putting
9,9,Justin Leonard,75,0.496,30.751,62,2014,sg_putting
10,10,Daniel Summerhays,98,0.492,43.275,88,2014,sg_putting
11,11,Stuart Appleby,92,0.487,40.874,84,2014,sg_putting
12,12,Jimmy Walker,98,0.479,34.989,73,2014,sg_putting
13,13,John Senden,99,0.476,38.587,81,2014,sg_putting
14,14,Michael Thompson,74,0.466,27.951,60,2014,sg_putting
15,15,Matt Kuchar,91,0.457,34.717,76,2014,sg_putting
16,16,Richard Lee,80,0.446,27.183,61,2014,sg_putting
17,17,Chad Collins,78,0.438,26.719,61,2014,sg_putting
18,18,Sangmoon Bae,76,0.418,27.179,65,2014,sg_putting
19,19,Ben Curtis,77,0.4,25.623,64,2014,sg_putting
20,20,Jordan Spieth,102,0.399,31.52,79,2014,sg_putting
21,21,Kevin Kisner,85,0.388,27.176,70,2014,sg_putting
22,22,Chris Kirk,105,0.374,32.127,86,2014,sg_putting
23,23,Andres Romero,81,0.353,25.399,72,2014,sg_putting
24,24,Retief Goosen,94,0.352,27.461,78,2014,sg_putting
25,25,Andrew Loupe,65,0.35,17.494,50,2014,sg_putting
T26,T26,K.J. Choi,80,0.332,22.255,67,2014,sg_putting
T26,T26,Russell Henley,92,0.332,24.92,75,2014,sg_putting
28,28,Brandt Snedeker,89,0.326,21.541,66,2014,sg_putting
29,29,Jason Day,54,0.317,10.451,33,2014,sg_putting
T30,T30,David Hearn,97,0.315,25.838,82,2014,sg_putting
T30,T30,Kevin Na,94,0.315,24.589,78,2014,sg_putting
32,32,William McGirt,96,0.314,26.367,84,2014,sg_putting
33,33,Jonas Blixt,64,0.303,13.028,43,2014,sg_putting
34,34,Webb Simpson,87,0.3,22.203,74,2014,sg_putting
35,35,Ryan Palmer,85,0.295,19.733,67,2014,sg_putting
36,36,Ben Martin,80,0.291,18.338,63,2014,sg_putting
37,37,Rickie Fowler,91,0.29,17.976,62,2014,sg_putting
T38,T38,Paul Casey,56,0.283,12.446,44,2014,sg_putting
T38,T38,Brian Stuard,91,0.283,20.973,74,2014,sg_putting
40,40,Erik Compton,88,0.282,21.133,75,2014,sg_putting
41,41,Rory McIlroy,66,0.274,13.15,48,2014,sg_putting
42,42,George McNeill,79,0.271,18.955,70,2014,sg_putting
T43,T43,Brian Gay,81,0.268,16.901,63,2014,sg_putting
T43,T43,Scott Langley,95,0.268,21.185,79,2014,sg_putting
45,45,Charley Hoffman,93,0.266,20.191,76,2014,sg_putting
46,46,Mike Weir,69,0.256,13.559,53,2014,sg_putting
47,47,Keegan Bradley,89,0.254,17.003,67,2014,sg_putting
48,48,Pat Perez,84,0.251,18.859,75,2014,sg_putting
T49,T49,Bryce Molder,77,0.249,15.929,64,2014,sg_putting
T49,T49,Patrick Reed,92,0.249,18.44,74,2014,sg_putting
51,51,Jerry Kelly,80,0.239,15.752,66,2014,sg_putting
52,52,Phil Mickelson,71,0.234,11.722,50,2014,sg_putting
53,53,Jason Kokrak,65,0.222,13.532,61,2014,sg_putting
T54,T54,Billy Horschel,92,0.22,15.21,69,2014,sg_putting
T54,T54,Adam Scott,68,0.22,12.309,56,2014,sg_putting
56,56,Scott Brown,100,0.211,17.502,83,2014,sg_putting
57,57,Hunter Mahan,88,0.207,14.888,72,2014,sg_putting
58,58,Tim Wilkinson,86,0.205,14.569,71,2014,sg_putting
59,59,Luke Guthrie,85,0.19,14.457,76,2014,sg_putting
60,60,Chris Stroud,88,0.182,13.118,72,2014,sg_putting
61,61,Sergio Garcia,61,0.167,6.662,40,2014,sg_putting
62,62,Brooks Koepka,56,0.162,6.783,42,2014,sg_putting
63,63,Ricky Barnes,92,0.157,12.237,78,2014,sg_putting
64,64,Will MacKenzie,82,0.154,11.273,73,2014,sg_putting
65,65,Lee Westwood,57,0.151,6.509,43,2014,sg_putting
66,66,Bill Haas,107,0.147,12.063,82,2014,sg_putting
67,67,Brian Davis,93,0.145,11.779,81,2014,sg_putting
68,68,Matt Jones,83,0.142,8.511,60,2014,sg_putting
69,69,Danny Lee,84,0.141,9.737,69,2014,sg_putting
70,70,Ben Crane,81,0.138,10.726,78,2014,sg_putting
71,71,Jason Bohn,81,0.126,9.201,73,2014,sg_putting
72,72,James Driscoll,71,0.123,7.137,58,2014,sg_putting
73,73,Brendan Steele,89,0.121,8.462,70,2014,sg_putting
74,74,Robert Streb,75,0.119,7.609,64,2014,sg_putting
75,75,Brian Harman,111,0.113,11.399,101,2014,sg_putting
76,76,Charlie Wi,72,0.112,7.308,65,2014,sg_putting
77,77,Brice Garnett,92,0.109,8.475,78,2014,sg_putting
78,78,Cameron Tringale,111,0.107,10.507,98,2014,sg_putting
79,79,Zach Johnson,97,0.106,8.889,84,2014,sg_putting
80,80,Ryo Ishikawa,75,0.092,5.682,62,2014,sg_putting
81,81,Jim Furyk,84,0.091,6.024,66,2014,sg_putting
T82,T82,Dustin Johnson,58,0.082,3.362,41,2014,sg_putting
T82,T82,Sean O'Hair,77,0.082,5.51,67,2014,sg_putting
84,84,Justin Hicks,103,0.069,6.188,90,2014,sg_putting
85,85,Ian Poulter,57,0.067,2.759,41,2014,sg_putting
T86,T86,Charl Schwartzel,64,0.055,2.994,54,2014,sg_putting
T86,T86,David Toms,64,0.055,2.97,54,2014,sg_putting
88,88,Johnson Wagner,69,0.05,2.927,58,2014,sg_putting
89,89,Robert Garrigus,80,0.047,3.439,73,2014,sg_putting
90,90,Ryan Moore,86,0.042,2.629,62,2014,sg_putting
91,91,Chesson Hadley,84,0.041,2.884,71,2014,sg_putting
92,92,Billy Hurley III,86,0.039,2.815,72,2014,sg_putting
93,93,Charles Howell III,106,0.037,3.549,95,2014,sg_putting
94,94,Tim Clark,75,0.025,1.538,62,2014,sg_putting
T95,T95,D.H. Lee,54,0.024,1.062,45,2014,sg_putting
T95,T95,Troy Merritt,62,0.024,1.325,55,2014,sg_putting
97,97,Tommy Gainey,73,0.019,1.14,60,2014,sg_putting
T98,T98,Jeff Overton,80,0.017,1.129,66,2014,sg_putting
T98,T98,Tyrone Van Aswegen,79,0.017,1.074,65,2014,sg_putting
100,100,Ángel Cabrera,69,0.007,0.439,61,2014,sg_putting
101,101,Kevin Streelman,79,0.006,0.333,60,2014,sg_putting
T102,T102,Wes Roach,67,0,-0.015,50,2014,sg_putting
T102,T102,Camilo Villegas,95,0,-0.021,84,2014,sg_putting
104,104,Marc Leishman,81,-0.017,-1.14,69,2014,sg_putting
105,105,Andrew Svoboda,77,-0.026,-1.704,66,2014,sg_putting
106,106,Harris English,95,-0.028,-2.092,74,2014,sg_putting
107,107,Brendon de Jonge,109,-0.032,-2.961,92,2014,sg_putting
108,108,Justin Rose,70,-0.04,-2.062,52,2014,sg_putting
T109,T109,Brad Fritsch,50,-0.05,-1.947,39,2014,sg_putting
T109,T109,Bubba Watson,76,-0.05,-2.812,56,2014,sg_putting
111,111,Bo Van Pelt,83,-0.053,-3.574,67,2014,sg_putting
112,112,Y.E. Yang,79,-0.073,-4.43,61,2014,sg_putting
T113,T113,J.B. Holmes,86,-0.075,-5.753,77,2014,sg_putting
T113,T113,Nick Watney,80,-0.075,-4.191,56,2014,sg_putting
115,115,Heath Slocum,71,-0.078,-4.862,62,2014,sg_putting
116,116,David Lingmerth,80,-0.087,-5.82,67,2014,sg_putting
117,117,Bronson La'Cassie,51,-0.088,-3.17,36,2014,sg_putting
118,118,Graham DeLaet,80,-0.093,-5.982,64,2014,sg_putting
119,119,Spencer Levin,59,-0.094,-4.683,50,2014,sg_putting
120,120,Martin Kaymer,65,-0.111,-5.332,48,2014,sg_putting
121,121,Russell Knox,92,-0.116,-9.627,83,2014,sg_putting
