RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS,year,measure
1,1,Vijay Singh,82,1.875,0.819,0.607,0.45,63,2008,sg_tee_to_green
2,2,Sergio Garcia,72,1.625,0.503,0.891,0.23,56,2008,sg_tee_to_green
3,3,Phil Mickelson,80,1.604,0.402,0.842,0.36,59,2008,sg_tee_to_green
4,4,Robert Allenby,108,1.546,0.534,1.217,-0.205,86,2008,sg_tee_to_green
5,5,Adam Scott,51,1.299,0.475,0.384,0.44,35,2008,sg_tee_to_green
6,6,Camilo Villegas,79,1.166,0.296,0.777,0.093,63,2008,sg_tee_to_green
7,7,Ernie Els,51,1.12,0.101,0.79,0.228,36,2008,sg_tee_to_green
8,8,Anthony Kim,81,1.117,0.549,0.474,0.093,65,2008,sg_tee_to_green
9,9,Boo Weekley,86,1.048,0.715,0.443,-0.109,64,2008,sg_tee_to_green
10,10,Kenny Perry,97,0.995,0.514,0.599,-0.118,92,2008,sg_tee_to_green
11,11,Padraig Harrington,52,0.959,0.279,0.221,0.46,32,2008,sg_tee_to_green
12,12,D.J. Trahan,94,0.934,0.374,0.496,0.064,78,2008,sg_tee_to_green
13,13,Briny Baird,113,0.931,0.208,0.65,0.073,96,2008,sg_tee_to_green
14,14,Bubba Watson,97,0.904,0.538,0.416,-0.051,80,2008,sg_tee_to_green
15,15,Scott Verplank,82,0.901,0.266,0.508,0.127,65,2008,sg_tee_to_green
16,16,John Senden,93,0.899,0.385,0.63,-0.116,82,2008,sg_tee_to_green
17,17,Jim Furyk,95,0.881,0.26,0.59,0.031,75,2008,sg_tee_to_green
18,18,Pat Perez,93,0.856,0.318,0.423,0.115,79,2008,sg_tee_to_green
19,19,Davis Love III,78,0.764,0.448,0.289,0.026,65,2008,sg_tee_to_green
20,20,Mike Weir,88,0.758,-0.052,0.268,0.541,66,2008,sg_tee_to_green
21,21,Kevin Sutherland,98,0.75,0.137,0.352,0.261,88,2008,sg_tee_to_green
22,22,David Toms,70,0.741,0.113,0.61,0.018,56,2008,sg_tee_to_green
23,23,Stephen Ames,83,0.736,-0.085,0.623,0.198,66,2008,sg_tee_to_green
24,24,Chad Campbell,94,0.732,0.068,0.83,-0.166,85,2008,sg_tee_to_green
25,25,Heath Slocum,104,0.719,0.306,0.545,-0.132,86,2008,sg_tee_to_green
26,26,Fred Couples,60,0.718,0.347,0.218,0.154,51,2008,sg_tee_to_green
27,27,Mathew Goggin,91,0.704,0.509,-0.027,0.222,82,2008,sg_tee_to_green
28,28,Bart Bryant,81,0.693,0.316,0.347,0.03,67,2008,sg_tee_to_green
29,29,Geoff Ogilvy,65,0.684,0.328,0.263,0.094,49,2008,sg_tee_to_green
30,30,Justin Leonard,101,0.675,0.265,0.244,0.165,73,2008,sg_tee_to_green
31,31,Trevor Immelman,70,0.67,-0.061,0.303,0.427,54,2008,sg_tee_to_green
T32,T32,Joe Durant,92,0.665,0.582,0.447,-0.364,79,2008,sg_tee_to_green
T32,T32,Hunter Mahan,87,0.665,0.36,0.742,-0.437,72,2008,sg_tee_to_green
T34,T34,Stuart Appleby,87,0.648,-0.024,0.31,0.362,67,2008,sg_tee_to_green
T34,T34,Charles Howell III,101,0.648,0.13,0.283,0.236,87,2008,sg_tee_to_green
36,36,Tom Lehman,51,0.643,-0.065,0.546,0.162,38,2008,sg_tee_to_green
37,37,Woody Austin,109,0.628,0.299,0.41,-0.081,88,2008,sg_tee_to_green
38,38,Sean O'Hair,81,0.624,0.448,0.179,-0.003,68,2008,sg_tee_to_green
39,39,Steve Marino,119,0.611,0.461,0.194,-0.044,104,2008,sg_tee_to_green
40,40,Billy Mayfair,103,0.605,0.308,0.003,0.294,95,2008,sg_tee_to_green
41,41,Stewart Cink,87,0.604,0.045,0.501,0.058,64,2008,sg_tee_to_green
42,42,Mark Calcavecchia,67,0.597,0.247,0.513,-0.163,54,2008,sg_tee_to_green
43,43,Paul Casey,55,0.595,0.372,0.616,-0.394,36,2008,sg_tee_to_green
44,44,J.B. Holmes,86,0.574,0.866,-0.172,-0.119,69,2008,sg_tee_to_green
45,45,Zach Johnson,85,0.572,0.161,0.612,-0.201,71,2008,sg_tee_to_green
46,46,Tim Clark,90,0.565,-0.141,0.597,0.109,73,2008,sg_tee_to_green
47,47,Nick O'Hern,82,0.536,-0.102,0.491,0.147,71,2008,sg_tee_to_green
48,48,Lucas Glover,91,0.535,0.41,0.288,-0.162,83,2008,sg_tee_to_green
49,49,Rod Pampling,83,0.53,0.3,-0.02,0.25,68,2008,sg_tee_to_green
50,50,Rory Sabbatini,77,0.524,0.358,-0.013,0.178,63,2008,sg_tee_to_green
51,51,Nick Watney,96,0.518,0.531,0.133,-0.146,84,2008,sg_tee_to_green
52,52,Steve Stricker,75,0.497,-0.345,0.377,0.464,58,2008,sg_tee_to_green
53,53,Retief Goosen,59,0.476,-0.162,0.187,0.45,42,2008,sg_tee_to_green
54,54,Michael Letzig,88,0.467,0.599,-0.257,0.126,74,2008,sg_tee_to_green
55,55,George McNeill,97,0.463,0.038,0.434,-0.01,90,2008,sg_tee_to_green
56,56,John Huston,56,0.457,0.394,0.233,-0.17,49,2008,sg_tee_to_green
57,57,Charlie Wi,97,0.456,0.066,0.141,0.249,88,2008,sg_tee_to_green
58,58,Michael Allen,91,0.455,0.286,0.216,-0.047,78,2008,sg_tee_to_green
59,59,Ben Curtis,80,0.44,0.377,-0.173,0.236,63,2008,sg_tee_to_green
60,60,Alex Cejka,75,0.434,-0.041,0.677,-0.202,60,2008,sg_tee_to_green
61,61,Kevin Streelman,114,0.427,0.517,0.106,-0.196,97,2008,sg_tee_to_green
62,62,Omar Uresti,74,0.416,0.037,-0.007,0.385,63,2008,sg_tee_to_green
63,63,Jeff Gove,50,0.413,0.26,-0.075,0.228,44,2008,sg_tee_to_green
64,64,John Riegger,73,0.409,0.351,0.217,-0.159,64,2008,sg_tee_to_green
65,65,John Merrick,98,0.399,0.41,0.04,-0.052,77,2008,sg_tee_to_green
66,66,K.J. Choi,74,0.394,-0.017,0.158,0.252,57,2008,sg_tee_to_green
67,67,Brian Davis,108,0.385,0.147,0.038,0.2,102,2008,sg_tee_to_green
68,68,Matt Kuchar,88,0.379,-0.198,0.47,0.106,70,2008,sg_tee_to_green
69,69,Harrison Frazar,73,0.368,0.454,0.097,-0.184,62,2008,sg_tee_to_green
70,70,Robert Garrigus,90,0.359,0.577,0.174,-0.392,86,2008,sg_tee_to_green
71,71,Kevin Na,97,0.356,-0.114,0,0.47,91,2008,sg_tee_to_green
72,72,Bob Estes,90,0.352,-0.126,0.396,0.082,86,2008,sg_tee_to_green
73,73,Brett Quigley,80,0.324,-0.228,0.321,0.231,73,2008,sg_tee_to_green
74,74,Tom Pernice Jr.,104,0.309,-0.175,0.305,0.179,98,2008,sg_tee_to_green
75,75,Bill Haas,99,0.3,0.218,0.031,0.051,90,2008,sg_tee_to_green
76,76,Nicholas Thompson,113,0.295,0.611,-0.344,0.028,96,2008,sg_tee_to_green
77,77,Glen Day,64,0.293,-0.156,0.079,0.37,56,2008,sg_tee_to_green
78,78,Rocco Mediate,87,0.287,-0.063,0.4,-0.05,69,2008,sg_tee_to_green
79,79,Jonathan Byrd,88,0.281,0.089,0.028,0.165,77,2008,sg_tee_to_green
80,80,Ryan Palmer,69,0.28,0.122,0.47,-0.312,60,2008,sg_tee_to_green
81,81,Steve Elkington,84,0.263,0.297,0.054,-0.088,73,2008,sg_tee_to_green
82,82,Rich Beem,90,0.235,0.296,0.027,-0.088,79,2008,sg_tee_to_green
83,83,Ángel Cabrera,55,0.223,0.048,0.249,-0.074,39,2008,sg_tee_to_green
84,84,Carl Pettersson,110,0.22,-0.052,0.236,0.036,97,2008,sg_tee_to_green
85,85,Brian Gay,102,0.205,-0.529,0.537,0.198,86,2008,sg_tee_to_green
86,86,John Rollins,94,0.199,0.44,-0.2,-0.042,79,2008,sg_tee_to_green
87,87,Ryuji Imada,80,0.175,-0.406,0.232,0.349,68,2008,sg_tee_to_green
88,88,Cameron Beckman,87,0.171,-0.162,0.174,0.16,74,2008,sg_tee_to_green
89,89,Martin Laird,98,0.166,0.165,0.113,-0.111,85,2008,sg_tee_to_green
90,90,Brandt Snedeker,85,0.161,-0.28,0.325,0.116,67,2008,sg_tee_to_green
91,91,Mark Wilson,107,0.156,0.05,-0.055,0.16,104,2008,sg_tee_to_green
92,92,Jerry Kelly,89,0.155,-0.128,0.127,0.156,74,2008,sg_tee_to_green
93,93,Peter Lonard,92,0.141,0.212,-0.081,0.01,80,2008,sg_tee_to_green
94,94,Chez Reavie,102,0.138,0.003,0.209,-0.074,90,2008,sg_tee_to_green
95,95,Ben Crane,86,0.135,0.171,-0.081,0.045,75,2008,sg_tee_to_green
96,96,Freddie Jacobson,78,0.134,-0.227,0.234,0.127,64,2008,sg_tee_to_green
97,97,Brad Adamonis,87,0.132,-0.082,-0.084,0.298,76,2008,sg_tee_to_green
T98,T98,Ken Duke,116,0.13,-0.012,0.159,-0.018,105,2008,sg_tee_to_green
T98,T98,Bo Van Pelt,101,0.13,0.187,0.014,-0.071,93,2008,sg_tee_to_green
100,100,Aaron Baddeley,76,0.123,0.096,-0.192,0.218,60,2008,sg_tee_to_green
101,101,Robert Gamez,79,0.122,0.096,0.18,-0.154,71,2008,sg_tee_to_green
