RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,TOTAL,DISTANCE RANK,ACCURACY RANK,year,measure
1,1,Brendan Steele,22,56,34,22,2019,total_driving
2,2,Gary Woodland,24,92,13,79,2019,total_driving
3,3,Paul Casey,22,95,62,33,2019,total_driving
4,4,Sepp Straka,25,96,22,74,2019,total_driving
5,5,Alex Prugh,26,98,27,71,2019,total_driving
6,7,Bryson DeChambeau,21,100,34,66,2019,total_driving
7,8,Daniel Berger,20,103,44,59,2019,total_driving
8,13,Rory McIlroy,19,106,2,104,2019,total_driving
9,9,Jason Kokrak,24,107,17,90,2019,total_driving
10,14,Corey Conners,28,108,66,42,2019,total_driving
11,T11,Keegan Bradley,25,111,61,50,2019,total_driving
T12,T11,Emiliano Grillo,23,112,85,27,2019,total_driving
T12,10,Brooks Koepka,21,112,10,102,2019,total_driving
14,15,Abraham Ancer,27,113,103,10,2019,total_driving
15,6,Jon Rahm,20,115,20,95,2019,total_driving
16,17,Louis Oosthuizen,19,118,77,41,2019,total_driving
17,16,Charles Howell III,27,120,32,88,2019,total_driving
18,19,Bronson Burgoon,20,126,79,47,2019,total_driving
19,23,Austin Cook,23,129,120,9,2019,total_driving
T20,18,Lucas Glover,26,130,79,51,2019,total_driving
T20,T21,Joel Dahmen,29,130,106,24,2019,total_driving
22,T21,Tommy Fleetwood,18,132,59,73,2019,total_driving
23,24,Kramer Hickok,26,137,120,17,2019,total_driving
T24,T25,Aaron Wise,21,140,33,107,2019,total_driving
T24,T25,Alex Noren,18,140,43,97,2019,total_driving
T26,T31,Scott Piercy,24,141,106,35,2019,total_driving
T26,T27,Martin Laird,26,141,57,84,2019,total_driving
T26,T27,Sungjae Im,35,141,81,60,2019,total_driving
T29,T31,Kevin Streelman,26,142,114,28,2019,total_driving
T29,T31,Carlos Ortiz,28,142,44,98,2019,total_driving
31,T27,Hunter Mahan,21,143,85,58,2019,total_driving
32,30,Jason Day,21,144,38,106,2019,total_driving
33,20,Hideki Matsuyama,24,145,31,114,2019,total_driving
34,T35,Wes Roach,21,147,93,54,2019,total_driving
T35,T37,Chase Wright,26,149,56,93,2019,total_driving
T35,T37,Joaquin Niemann,28,149,41,108,2019,total_driving
37,T39,Fabián Gómez,20,150,125,25,2019,total_driving
T38,T42,Adam Hadwin,24,151,119,32,2019,total_driving
T38,T35,Xander Schauffele,21,151,24,127,2019,total_driving
T40,T39,Hank Lebioda,23,152,95,57,2019,total_driving
T40,34,Rickie Fowler,20,152,30,122,2019,total_driving
T40,T39,Troy Merritt,21,152,103,49,2019,total_driving
43,46,Keith Mitchell,26,153,28,125,2019,total_driving
44,44,Harris English,28,155,44,111,2019,total_driving
T45,45,Tyrrell Hatton,17,157,72,85,2019,total_driving
T45,T42,Justin Rose,17,157,28,129,2019,total_driving
T47,T47,Jhonattan Vegas,23,158,12,146,2019,total_driving
T47,T47,Adam Long,27,158,112,46,2019,total_driving
T49,T49,Chez Reavie,28,159,158,1,2019,total_driving
T49,T49,Bubba Watson,19,159,6,153,2019,total_driving
T51,T54,Jason Dufner,25,160,129,31,2019,total_driving
T51,51,Kyle Stanley,25,160,141,19,2019,total_driving
T53,T52,Brice Garnett,28,161,154,7,2019,total_driving
T53,T52,Jim Herman,21,161,149,12,2019,total_driving
55,T54,Adam Schenk,31,162,47,115,2019,total_driving
T56,T58,Tyler Duncan,29,164,150,14,2019,total_driving
T56,57,Cameron Davis,25,164,10,154,2019,total_driving
T56,T54,Dylan Frittelli,24,164,73,91,2019,total_driving
T59,T58,Michael Thompson,22,165,147,18,2019,total_driving
T59,T58,Andrew Landry,25,165,159,6,2019,total_driving
61,T65,Sung Kang,27,166,48,118,2019,total_driving
62,T63,Russell Henley,25,168,152,16,2019,total_driving
63,T63,Seth Reeves,25,169,7,162,2019,total_driving
T64,T67,Byeong Hun An,22,170,15,155,2019,total_driving
T64,T65,Justin Thomas,20,170,37,133,2019,total_driving
66,T67,Sam Ryder,23,171,96,75,2019,total_driving
T67,T67,Harold Varner III,26,172,38,134,2019,total_driving
T67,T71,Brian Harman,29,172,147,25,2019,total_driving
69,61,Matt Kuchar,22,173,135,38,2019,total_driving
T70,76,Kevin Kisner,25,175,160,15,2019,total_driving
T70,T71,Wyndham Clark,27,175,5,170,2019,total_driving
T72,T74,Cameron Champ,26,176,1,175,2019,total_driving
T72,T74,Tony Finau,25,176,9,167,2019,total_driving
