RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:APP,MEASURED ROUNDS,year,measure
1,1,Tiger Woods,61,1.533,65.908,43,2013,sg_app_green
2,2,Stewart Cink,71,0.975,54.61,56,2013,sg_app_green
3,3,Justin Rose,62,0.961,44.216,46,2013,sg_app_green
4,4,Jim Furyk,80,0.95,60.808,64,2013,sg_app_green
5,5,Camilo Villegas,79,0.885,56.664,64,2013,sg_app_green
6,6,Henrik Stenson,65,0.776,34.158,44,2013,sg_app_green
7,7,Matt Kuchar,93,0.731,50.47,69,2013,sg_app_green
8,8,Ricky Barnes,74,0.714,46.429,65,2013,sg_app_green
9,9,Charl Schwartzel,69,0.711,38.416,54,2013,sg_app_green
10,10,Dustin Johnson,71,0.663,33.795,51,2013,sg_app_green
11,11,Graham DeLaet,94,0.64,51.86,81,2013,sg_app_green
12,12,Chris Kirk,89,0.62,50.184,81,2013,sg_app_green
13,13,Luke Donald,60,0.583,26.824,46,2013,sg_app_green
14,14,Robert Garrigus,69,0.571,27.992,49,2013,sg_app_green
15,15,Steve Stricker,51,0.567,19.845,35,2013,sg_app_green
16,16,Adam Scott,61,0.548,24.125,44,2013,sg_app_green
17,17,Sergio Garcia,65,0.538,25.282,47,2013,sg_app_green
18,18,Chad Campbell,78,0.525,37.789,72,2013,sg_app_green
19,19,Chris Stroud,88,0.52,40.564,78,2013,sg_app_green
20,20,Webb Simpson,92,0.517,36.164,70,2013,sg_app_green
21,21,Pat Perez,69,0.505,32.306,64,2013,sg_app_green
22,22,Vijay Singh,61,0.501,24.052,48,2013,sg_app_green
23,23,Phil Mickelson,78,0.494,28.135,57,2013,sg_app_green
24,24,Jordan Spieth,82,0.48,32.167,67,2013,sg_app_green
25,25,Lee Westwood,70,0.479,24.442,51,2013,sg_app_green
26,26,Rory Sabbatini,86,0.468,33.697,72,2013,sg_app_green
27,27,Justin Hicks,79,0.462,30.466,66,2013,sg_app_green
28,28,Ryan Palmer,79,0.461,31.831,69,2013,sg_app_green
29,29,Gary Woodland,94,0.459,38.069,83,2013,sg_app_green
30,30,Kevin Stadler,83,0.451,31.107,69,2013,sg_app_green
31,31,Jason Dufner,78,0.44,26.815,61,2013,sg_app_green
32,32,Rory McIlroy,56,0.42,17.229,41,2013,sg_app_green
33,33,Kyle Stanley,71,0.419,25.164,60,2013,sg_app_green
34,34,Brendon de Jonge,110,0.414,40.113,97,2013,sg_app_green
35,35,John Rollins,77,0.409,27.807,68,2013,sg_app_green
36,36,Jimmy Walker,84,0.407,30.546,75,2013,sg_app_green
37,37,Boo Weekley,100,0.401,33.3,83,2013,sg_app_green
38,38,Roberto Castro,97,0.379,31.799,84,2013,sg_app_green
39,39,Nicholas Thompson,99,0.373,32.092,86,2013,sg_app_green
40,40,Kevin Chappell,80,0.37,24.768,67,2013,sg_app_green
41,41,John Merrick,79,0.365,24.849,68,2013,sg_app_green
42,42,Nick Watney,88,0.362,26.433,73,2013,sg_app_green
43,43,Bill Haas,85,0.346,23.864,69,2013,sg_app_green
44,44,Marc Leishman,77,0.345,22.109,64,2013,sg_app_green
45,45,Nicolas Colsaerts,50,0.322,11.601,36,2013,sg_app_green
T46,T46,Ben Crane,62,0.313,17.231,55,2013,sg_app_green
T46,T46,Brad Fritsch,81,0.313,21.284,68,2013,sg_app_green
48,48,Lucas Glover,65,0.307,15.957,52,2013,sg_app_green
49,49,Freddie Jacobson,63,0.304,13.965,46,2013,sg_app_green
T50,T50,Robert Allenby,58,0.296,15.397,52,2013,sg_app_green
T50,T50,Matt Every,89,0.296,23.687,80,2013,sg_app_green
52,52,Bubba Watson,76,0.292,17.23,59,2013,sg_app_green
53,53,Hunter Mahan,91,0.285,19.351,68,2013,sg_app_green
54,54,Luke Guthrie,82,0.28,18.225,65,2013,sg_app_green
55,55,Bob Estes,66,0.277,17.204,62,2013,sg_app_green
56,56,Keegan Bradley,88,0.27,19.442,72,2013,sg_app_green
57,57,Charley Hoffman,84,0.262,19.111,73,2013,sg_app_green
58,58,Michael Bradley,56,0.257,11.061,43,2013,sg_app_green
59,59,George McNeill,68,0.255,16.344,64,2013,sg_app_green
60,60,Mark Wilson,56,0.252,12.612,50,2013,sg_app_green
61,61,Zach Johnson,84,0.251,16.793,67,2013,sg_app_green
62,62,Bud Cauley,67,0.238,13.345,56,2013,sg_app_green
63,63,Daniel Summerhays,83,0.227,17.71,78,2013,sg_app_green
64,64,Brian Davis,91,0.222,18.424,83,2013,sg_app_green
65,65,Graeme McDowell,53,0.217,8.026,37,2013,sg_app_green
66,66,Kevin Streelman,86,0.214,14.543,68,2013,sg_app_green
67,67,Brandt Jobe,62,0.209,11.09,53,2013,sg_app_green
68,68,Jason Kokrak,78,0.201,14.483,72,2013,sg_app_green
69,69,Peter Hanson,45,0.192,6.332,33,2013,sg_app_green
T70,T70,Ernie Els,63,0.191,9.16,48,2013,sg_app_green
T70,T70,Ryo Ishikawa,72,0.191,10.503,55,2013,sg_app_green
T70,T70,D.A. Points,87,0.191,12.979,68,2013,sg_app_green
73,73,Chez Reavie,72,0.186,12.451,67,2013,sg_app_green
74,74,David Hearn,88,0.179,13.034,73,2013,sg_app_green
75,75,Cameron Tringale,80,0.169,12.697,75,2013,sg_app_green
76,76,Trevor Immelman,73,0.162,10.037,62,2013,sg_app_green
77,77,Jerry Kelly,75,0.159,10.192,64,2013,sg_app_green
78,78,John Huh,88,0.155,11.643,75,2013,sg_app_green
79,79,K.J. Choi,85,0.154,9.707,63,2013,sg_app_green
80,80,Vaughn Taylor,50,0.148,5.923,40,2013,sg_app_green
T81,T81,Rickie Fowler,75,0.141,8.315,59,2013,sg_app_green
T81,T81,Jeff Maggert,63,0.141,8.041,57,2013,sg_app_green
83,83,Ken Duke,87,0.13,9.777,75,2013,sg_app_green
84,84,Robert Karlsson,56,0.125,4.609,37,2013,sg_app_green
85,85,Matt Jones,83,0.123,8.615,70,2013,sg_app_green
86,86,Brandt Snedeker,79,0.121,6.991,58,2013,sg_app_green
87,87,Brian Stuard,78,0.118,7.464,63,2013,sg_app_green
88,88,Jeff Overton,78,0.099,7.321,74,2013,sg_app_green
89,89,Harris English,95,0.098,8.028,82,2013,sg_app_green
90,90,Martin Flores,83,0.092,6.973,76,2013,sg_app_green
91,91,Tim Clark,64,0.087,3.733,43,2013,sg_app_green
92,92,Josh Teater,86,0.083,5.082,61,2013,sg_app_green
93,93,Padraig Harrington,52,0.067,2.331,35,2013,sg_app_green
94,94,Bryce Molder,82,0.052,3.723,71,2013,sg_app_green
95,95,"Ted Potter, Jr.",65,0.046,2.513,55,2013,sg_app_green
96,96,Jason Bohn,70,0.034,2.224,66,2013,sg_app_green
97,97,Bo Van Pelt,72,0.025,1.324,54,2013,sg_app_green
98,98,James Driscoll,76,0.022,1.385,63,2013,sg_app_green
99,99,Dicky Pride,71,0.012,0.71,59,2013,sg_app_green
100,100,Ryan Moore,72,0.007,0.392,57,2013,sg_app_green
101,101,Jason Day,86,-0.013,-0.767,61,2013,sg_app_green
102,102,David Toms,49,-0.026,-0.824,32,2013,sg_app_green
103,103,Ben Curtis,59,-0.034,-1.567,46,2013,sg_app_green
104,104,Scott Piercy,78,-0.038,-2.335,62,2013,sg_app_green
105,105,Greg Owen,73,-0.045,-2.965,66,2013,sg_app_green
106,106,Russell Henley,80,-0.053,-3.509,66,2013,sg_app_green
107,107,D.H. Lee,65,-0.055,-3.21,58,2013,sg_app_green
108,108,Casey Wittenberg,72,-0.067,-4.058,61,2013,sg_app_green
109,109,Martin Kaymer,61,-0.07,-2.945,42,2013,sg_app_green
110,110,Richard Lee,81,-0.074,-5.36,72,2013,sg_app_green
111,111,James Hahn,78,-0.079,-5.301,67,2013,sg_app_green
112,112,Charles Howell III,87,-0.084,-6.693,80,2013,sg_app_green
113,113,Jim Herman,59,-0.091,-4.019,44,2013,sg_app_green
114,114,Henrik Norlander,70,-0.105,-6.205,59,2013,sg_app_green
115,115,Ben Kohles,75,-0.113,-7.024,62,2013,sg_app_green
116,116,William McGirt,75,-0.118,-8.372,71,2013,sg_app_green
117,117,Mike Weir,60,-0.12,-5.637,47,2013,sg_app_green
118,118,Billy Horschel,96,-0.121,-10.045,83,2013,sg_app_green
119,119,J.J. Henry,83,-0.122,-9.064,74,2013,sg_app_green
120,120,Scott Langley,79,-0.124,-7.948,64,2013,sg_app_green
121,121,Brendan Steele,86,-0.135,-10.405,77,2013,sg_app_green
122,122,Ian Poulter,59,-0.153,-5.96,39,2013,sg_app_green
123,123,Seung-Yul Noh,71,-0.163,-10.076,62,2013,sg_app_green
124,124,David Lynn,70,-0.164,-9.204,56,2013,sg_app_green
125,125,Sangmoon Bae,83,-0.165,-11.892,72,2013,sg_app_green
126,126,Jin Park,52,-0.166,-7.119,43,2013,sg_app_green
T127,T127,Scott Brown,65,-0.174,-9.57,55,2013,sg_app_green
T127,T127,Tag Ridings,69,-0.174,-10.068,58,2013,sg_app_green
129,129,Michael Thompson,66,-0.179,-9.479,53,2013,sg_app_green
130,130,Martin Laird,68,-0.195,-10.316,53,2013,sg_app_green
131,131,Cameron Percy,68,-0.198,-11.272,57,2013,sg_app_green
132,132,Stuart Appleby,88,-0.219,-17.32,79,2013,sg_app_green
133,133,Will Claxton,67,-0.222,-12.411,56,2013,sg_app_green
134,134,Lee Williams,62,-0.23,-11.741,51,2013,sg_app_green
135,135,Greg Chalmers,77,-0.237,-16.559,70,2013,sg_app_green
136,136,Ángel Cabrera,73,-0.241,-13.736,57,2013,sg_app_green
137,137,Carl Pettersson,82,-0.252,-16.146,64,2013,sg_app_green
T138,T138,Justin Leonard,86,-0.255,-19.094,75,2013,sg_app_green
T138,T138,David Lingmerth,68,-0.255,-14.536,57,2013,sg_app_green
140,140,John Senden,79,-0.258,-15.709,61,2013,sg_app_green
141,141,David Mathis,71,-0.267,-16.576,62,2013,sg_app_green
142,142,Geoff Ogilvy,57,-0.268,-11.248,42,2013,sg_app_green
143,143,Steve LeBrun,66,-0.28,-14.845,53,2013,sg_app_green
144,144,Tim Herron,45,-0.285,-12.54,44,2013,sg_app_green
145,145,Andrew Svoboda,46,-0.295,-10.309,35,2013,sg_app_green
146,146,Shawn Stefani,63,-0.308,-15.376,50,2013,sg_app_green
147,147,Eric Meierdierks,48,-0.314,-11.619,37,2013,sg_app_green
148,148,Johnson Wagner,64,-0.32,-16.662,52,2013,sg_app_green
149,149,Patrick Reed,83,-0.327,-24.212,74,2013,sg_app_green
150,150,Morgan Hoffmann,64,-0.344,-18.232,53,2013,sg_app_green
151,151,Tommy Gainey,84,-0.361,-27.073,75,2013,sg_app_green
152,152,Erik Compton,74,-0.363,-23.621,65,2013,sg_app_green
153,153,Scott Stallings,79,-0.379,-24.984,66,2013,sg_app_green
154,154,Robert Streb,75,-0.398,-24.694,62,2013,sg_app_green
155,155,Darron Stiles,51,-0.401,-16.839,42,2013,sg_app_green
156,156,Fabián Gómez,65,-0.435,-24.367,56,2013,sg_app_green
T157,T157,Charlie Beljan,62,-0.437,-24.045,55,2013,sg_app_green
T157,T157,Andres Romero,63,-0.437,-22.731,52,2013,sg_app_green
159,159,D.J. Trahan,48,-0.448,-17.036,38,2013,sg_app_green
160,160,Brian Gay,79,-0.453,-32.144,71,2013,sg_app_green
161,161,Doug LaBelle II,72,-0.479,-28.27,59,2013,sg_app_green
162,162,Stephen Ames,49,-0.488,-21.45,44,2013,sg_app_green
T163,T163,Bobby Gates,49,-0.498,-18.908,38,2013,sg_app_green
T163,T163,Charlie Wi,75,-0.498,-32.896,66,2013,sg_app_green
165,165,Y.E. Yang,56,-0.5,-20.513,41,2013,sg_app_green
166,166,Scott Gardiner,61,-0.527,-27.405,52,2013,sg_app_green
167,167,Luke List,65,-0.533,-27.722,52,2013,sg_app_green
168,168,Derek Ernst,58,-0.564,-27.623,49,2013,sg_app_green
169,169,Rod Pampling,46,-0.568,-19.865,35,2013,sg_app_green
170,170,Sean O'Hair,56,-0.576,-29.369,51,2013,sg_app_green
171,171,Troy Matteson,68,-0.583,-34.406,59,2013,sg_app_green
172,172,Alistair Presnell,59,-0.585,-26.908,46,2013,sg_app_green
173,173,Steven Bowditch,67,-0.641,-37.159,58,2013,sg_app_green
174,174,Aaron Baddeley,68,-0.669,-39.474,59,2013,sg_app_green
175,175,Aaron Watkins,46,-0.707,-24.752,35,2013,sg_app_green
176,176,Justin Bolli,59,-0.787,-36.221,46,2013,sg_app_green
177,177,Colt Knost,69,-0.847,-49.125,58,2013,sg_app_green
178,178,Brian Harman,89,-0.856,-65.058,76,2013,sg_app_green
179,179,Jonas Blixt,76,-0.882,-59.081,67,2013,sg_app_green
180,180,Tom Gillis,69,-0.905,-54.3,60,2013,sg_app_green
