RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR,year,measure
1,1,Tiger Woods,63,71.02,767,"1,080",-0.32,2007,gir_pct
2,2,John Senden,97,70.33,"1,228","1,746",-0.22,2007,gir_pct
3,3,Jeff Gove,103,70.17,"1,301","1,854",-0.22,2007,gir_pct
4,5,Cameron Beckman,96,69.87,"1,157","1,656",-0.24,2007,gir_pct
5,4,Tommy Armour III,81,69.84,968,"1,386",-0.24,2007,gir_pct
T6,T6,Jim Furyk,84,69.44,"1,025","1,476",-0.24,2007,gir_pct
T6,T6,Alex Cejka,80,69.44,975,"1,404",-0.25,2007,gir_pct
8,8,Briny Baird,115,69.27,"1,384","1,998",-0.24,2007,gir_pct
9,9,John Merrick,92,69.13,"1,095","1,584",-0.22,2007,gir_pct
10,11,Jeff Overton,60,68.87,719,"1,044",-0.26,2007,gir_pct
11,10,Mathew Goggin,97,68.84,"1,202","1,746",-0.22,2007,gir_pct
12,15,Joe Durant,88,68.52,"1,073","1,566",-0.19,2007,gir_pct
13,12,Stephen Leaney,82,68.43,"1,010","1,476",-0.22,2007,gir_pct
14,14,Charles Warren,101,68.37,"1,243","1,818",-0.26,2007,gir_pct
15,13,Robert Allenby,90,68.29,"1,094","1,602",-0.24,2007,gir_pct
16,16,Tom Lehman,62,68.19,761,"1,116",-0.22,2007,gir_pct
17,19,Greg Owen,81,68.14,969,"1,422",-0.22,2007,gir_pct
18,17,Billy Mayfair,98,68.08,"1,201","1,764",-0.23,2007,gir_pct
19,18,Johnson Wagner,97,67.75,"1,183","1,746",-0.24,2007,gir_pct
20,20,Kenny Perry,83,67.54,"1,009","1,494",-0.22,2007,gir_pct
21,22,Ted Purdy,102,67.23,"1,186","1,764",-0.22,2007,gir_pct
22,T31,Craig Barlow,52,67.2,629,936,-0.24,2007,gir_pct
23,24,Sean O'Hair,98,67.12,"1,184","1,764",-0.25,2007,gir_pct
24,29,Michael Putnam,96,67.03,"1,110","1,656",-0.24,2007,gir_pct
25,T26,Robert Garrigus,95,67.02,"1,146","1,710",-0.27,2007,gir_pct
26,21,Duffy Waldorf,69,66.99,832,"1,242",-0.24,2007,gir_pct
T27,23,Kent Jones,97,66.95,"1,169","1,746",-0.25,2007,gir_pct
T27,25,D.J. Trahan,99,66.95,"1,193","1,782",-0.21,2007,gir_pct
29,T26,Hunter Mahan,91,66.91,"1,096","1,638",-0.25,2007,gir_pct
T30,30,J.J. Henry,86,66.67,"1,020","1,530",-0.23,2007,gir_pct
T30,48,Joey Sindelar,75,66.67,900,"1,350",-0.22,2007,gir_pct
32,35,Michael Allen,74,66.59,839,"1,260",-0.26,2007,gir_pct
T33,34,Jeff Maggert,79,66.53,946,"1,422",-0.24,2007,gir_pct
T33,33,Jesper Parnevik,88,66.53,"1,006","1,512",-0.29,2007,gir_pct
35,39,Nick Watney,87,66.48,"1,041","1,566",-0.24,2007,gir_pct
36,T31,Heath Slocum,101,66.45,"1,208","1,818",-0.28,2007,gir_pct
