RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:ARG,MEASURED ROUNDS,year,measure
1,1,Aaron Baddeley,84,0.595,41.617,70,2018,sg_around_green
2,4,Patrick Reed,94,0.545,34.343,63,2018,sg_around_green
3,3,Jamie Lovemark,92,0.519,40.475,78,2018,sg_around_green
4,5,Alex Cejka,77,0.495,29.7,60,2018,sg_around_green
5,2,Jason Day,75,0.479,23.487,49,2018,sg_around_green
6,6,Justin Rose,70,0.45,23.868,53,2018,sg_around_green
7,10,Zach Johnson,94,0.425,30.633,72,2018,sg_around_green
8,T13,Louis Oosthuizen,62,0.408,18.778,46,2018,sg_around_green
9,7,Wesley Bryan,69,0.407,20.758,51,2018,sg_around_green
10,9,Zac Blair,64,0.394,18.112,46,2018,sg_around_green
11,11,Tiger Woods,68,0.385,22.732,59,2018,sg_around_green
12,8,Kevin Na,91,0.373,26.099,70,2018,sg_around_green
13,17,Webb Simpson,95,0.37,30.005,81,2018,sg_around_green
14,T13,Bill Haas,76,0.368,24.267,66,2018,sg_around_green
15,12,Luke List,98,0.349,27.203,78,2018,sg_around_green
16,15,Jonathan Byrd,70,0.339,16.249,48,2018,sg_around_green
17,31,Francesco Molinari,73,0.327,18.614,57,2018,sg_around_green
18,16,Rory McIlroy,64,0.322,16.419,51,2018,sg_around_green
19,19,Brandt Snedeker,84,0.318,23.537,74,2018,sg_around_green
20,22,Justin Thomas,91,0.311,21.127,68,2018,sg_around_green
21,18,Tommy Fleetwood,73,0.296,15.981,54,2018,sg_around_green
22,20,Marc Leishman,93,0.292,21.35,73,2018,sg_around_green
23,21,Si Woo Kim,108,0.291,22.694,78,2018,sg_around_green
24,24,Ryan Moore,78,0.273,18.042,66,2018,sg_around_green
25,30,Adam Hadwin,92,0.267,17.621,66,2018,sg_around_green
26,27,Ricky Barnes,65,0.257,11.565,45,2018,sg_around_green
27,28,Peter Malnati,87,0.255,19.125,75,2018,sg_around_green
28,26,Brian Gay,103,0.253,23.286,92,2018,sg_around_green
29,59,Tyrrell Hatton,58,0.252,10.59,42,2018,sg_around_green
30,25,Ollie Schniederjans,91,0.25,19.216,77,2018,sg_around_green
31,23,Rickie Fowler,74,0.242,14.783,61,2018,sg_around_green
32,32,Bud Cauley,55,0.239,9.785,41,2018,sg_around_green
33,T60,Dustin Johnson,77,0.238,14.784,62,2018,sg_around_green
34,29,Jim Furyk,50,0.235,10.81,46,2018,sg_around_green
35,33,Rory Sabbatini,91,0.234,17.546,75,2018,sg_around_green
36,35,Johnson Wagner,75,0.226,12.456,55,2018,sg_around_green
37,34,Tony Finau,105,0.222,17.966,81,2018,sg_around_green
38,44,Cameron Smith,85,0.218,13.306,61,2018,sg_around_green
39,T36,Matt Kuchar,88,0.211,13.726,65,2018,sg_around_green
40,41,Cameron Percy,56,0.21,8.615,41,2018,sg_around_green
41,42,Martin Laird,73,0.209,12.751,61,2018,sg_around_green
42,45,Jonas Blixt,67,0.196,9.412,48,2018,sg_around_green
T43,T46,William McGirt,84,0.194,14.532,75,2018,sg_around_green
T43,T46,Ryan Armour,109,0.194,18.623,96,2018,sg_around_green
45,56,Matt Jones,70,0.192,9.018,47,2018,sg_around_green
46,48,Chris Kirk,108,0.19,18.204,96,2018,sg_around_green
T47,T49,Tyrone Van Aswegen,101,0.187,15.542,83,2018,sg_around_green
T47,T49,Andrew Putnam,97,0.187,14.377,77,2018,sg_around_green
T49,T36,Jordan Spieth,81,0.184,12.114,66,2018,sg_around_green
T49,51,Ben Crane,65,0.184,8.46,46,2018,sg_around_green
51,53,Austin Cook,107,0.179,16.463,92,2018,sg_around_green
52,55,Jon Rahm,71,0.176,8.97,51,2018,sg_around_green
53,54,Stephan Jaeger,81,0.175,11.049,63,2018,sg_around_green
54,39,Byeong Hun An,86,0.167,12.222,73,2018,sg_around_green
55,52,Jimmy Walker,81,0.166,10.954,66,2018,sg_around_green
56,40,Brooks Koepka,64,0.162,8.761,54,2018,sg_around_green
57,43,Peter Uihlein,83,0.156,10.148,65,2018,sg_around_green
58,58,Russell Knox,94,0.149,11.036,74,2018,sg_around_green
59,57,Patrick Cantlay,87,0.146,9.77,67,2018,sg_around_green
60,38,Hideki Matsuyama,75,0.143,8.15,57,2018,sg_around_green
61,63,Billy Hurley III,70,0.139,7.931,57,2018,sg_around_green
62,67,Kiradech Aphibarnrat,51,0.135,4.588,34,2018,sg_around_green
63,65,Dominic Bozzelli,65,0.133,8.095,61,2018,sg_around_green
T64,71,Adam Scott,78,0.125,7.52,60,2018,sg_around_green
T64,64,Branden Grace,67,0.125,5.505,44,2018,sg_around_green
66,66,Anirban Lahiri,82,0.12,8.053,67,2018,sg_around_green
67,68,Harris English,84,0.111,7.539,68,2018,sg_around_green
68,79,Paul Casey,74,0.109,5.328,49,2018,sg_around_green
69,70,"Ted Potter, Jr.",87,0.105,8.061,77,2018,sg_around_green
70,T81,Scott Piercy,84,0.097,6.612,68,2018,sg_around_green
71,103,Rafa Cabrera Bello,75,0.096,4.603,48,2018,sg_around_green
72,75,Charles Howell III,104,0.095,7.384,78,2018,sg_around_green
73,73,Phil Mickelson,90,0.091,6.359,70,2018,sg_around_green
74,74,Cameron Tringale,67,0.088,4.506,51,2018,sg_around_green
75,76,Robert Streb,78,0.084,5.066,60,2018,sg_around_green
76,77,Nate Lashley,51,0.08,2.807,35,2018,sg_around_green
77,80,Richy Werenski,98,0.077,5.719,74,2018,sg_around_green
78,62,Bryson DeChambeau,93,0.07,5.426,78,2018,sg_around_green
79,78,C.T. Pan,104,0.063,5.141,82,2018,sg_around_green
80,T81,Stewart Cink,87,0.055,3.661,67,2018,sg_around_green
81,83,Talor Gooch,78,0.053,3.292,62,2018,sg_around_green
T82,T85,D.A. Points,63,0.051,2.465,48,2018,sg_around_green
T82,T60,Ian Poulter,73,0.051,2.537,50,2018,sg_around_green
T82,T85,Danny Lee,88,0.051,3.557,70,2018,sg_around_green
T85,T87,Rob Oppenheim,74,0.05,2.679,54,2018,sg_around_green
T85,T87,Michael Thompson,62,0.05,2.809,56,2018,sg_around_green
87,72,Graeme McDowell,67,0.049,2.239,46,2018,sg_around_green
88,T101,Aaron Wise,90,0.042,3.339,80,2018,sg_around_green
89,89,Pat Perez,82,0.037,1.901,51,2018,sg_around_green
90,90,Patrick Rodgers,97,0.034,2.497,73,2018,sg_around_green
91,91,J.B. Holmes,77,0.032,2.156,68,2018,sg_around_green
92,92,James Hahn,85,0.028,1.921,69,2018,sg_around_green
T93,95,Brian Stuard,103,0.026,2.3,88,2018,sg_around_green
T93,69,Keegan Bradley,98,0.026,2.04,80,2018,sg_around_green
95,94,Chad Campbell,87,0.023,1.521,67,2018,sg_around_green
96,84,Harold Varner III,91,0.021,1.59,74,2018,sg_around_green
97,96,Nick Taylor,94,0.017,1.282,74,2018,sg_around_green
98,97,Kevin Streelman,94,0.014,1.166,82,2018,sg_around_green
