RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,%,OFFICIAL MONEY WON,POTENTIAL MONEY,year,measure
1,1,Rory McIlroy,17,33.33,"$8,280,095","$24,845,787",2014,pct_total_money_won
2,2,Bubba Watson,21,21.51,"$6,336,978","$29,453,787",2014,pct_total_money_won
3,3,Sergio Garcia,16,21.09,"$4,939,606","$23,423,787",2014,pct_total_money_won
4,4,Jim Furyk,21,20.67,"$5,987,395","$28,971,787",2014,pct_total_money_won
5,5,Dustin Johnson,17,18.85,"$4,249,180","$22,547,787",2014,pct_total_money_won
6,6,Jason Day,15,17.86,"$3,789,574","$21,213,787",2014,pct_total_money_won
7,7,Adam Scott,17,17.12,"$4,098,588","$23,937,787",2014,pct_total_money_won
8,8,Martin Kaymer,19,16.71,"$4,532,537","$27,131,787",2014,pct_total_money_won
9,9,Jimmy Walker,27,15.98,"$5,787,015","$36,209,787",2014,pct_total_money_won
10,10,Matt Kuchar,24,14.96,"$4,695,515","$31,389,787",2014,pct_total_money_won
11,11,Justin Rose,19,14.59,"$3,926,767","$26,915,787",2014,pct_total_money_won
12,12,Bernhard Langer,1,14.44,"$234,000","$1,620,000",2014,pct_total_money_won
13,13,Billy Horschel,27,13.71,"$4,814,786","$35,129,787",2014,pct_total_money_won
14,14,Rickie Fowler,26,13.7,"$4,806,116","$35,087,787",2014,pct_total_money_won
15,15,Chris Kirk,28,13.28,"$4,854,777","$36,555,787",2014,pct_total_money_won
16,16,Jordan Spieth,27,12.14,"$4,342,748","$35,759,787",2014,pct_total_money_won
17,17,Victor Dubuisson,10,11.45,"$1,693,485","$14,787,787",2014,pct_total_money_won
18,18,Patrick Reed,28,11.04,"$4,026,075","$36,483,787",2014,pct_total_money_won
19,19,Webb Simpson,25,10.67,"$3,539,600","$33,171,787",2014,pct_total_money_won
20,20,Zach Johnson,26,9.91,"$3,353,417","$33,855,787",2014,pct_total_money_won
21,21,Ryan Palmer,23,9.88,"$2,924,300","$29,583,787",2014,pct_total_money_won
22,22,Austin Cook,1,9.81,"$102,466","$1,044,000",2014,pct_total_money_won
23,23,Ryan Moore,24,9.57,"$3,098,262","$32,375,787",2014,pct_total_money_won
24,24,Brendon Todd,29,9.55,"$3,396,746","$35,577,787",2014,pct_total_money_won
25,25,Kevin Na,27,9.38,"$3,153,107","$33,597,787",2014,pct_total_money_won
26,26,Hunter Mahan,25,9.22,"$3,097,983","$33,597,787",2014,pct_total_money_won
27,27,Hideki Matsuyama,24,8.75,"$2,837,477","$32,423,787",2014,pct_total_money_won
28,28,Graeme McDowell,17,8.7,"$2,077,386","$23,873,787",2014,pct_total_money_won
29,29,Henrik Stenson,15,8.55,"$1,894,235","$22,163,787",2014,pct_total_money_won
30,30,John Senden,27,8.37,"$2,856,684","$34,119,787",2014,pct_total_money_won
31,31,Edoardo Molinari,2,8.34,"$288,911","$3,465,787",2014,pct_total_money_won
32,32,Marc Leishman,24,8.25,"$2,558,657","$31,005,787",2014,pct_total_money_won
33,33,Harris English,28,8.21,"$2,947,321","$35,907,787",2014,pct_total_money_won
34,34,Gary Woodland,25,8.17,"$2,734,152","$33,477,787",2014,pct_total_money_won
35,35,Keegan Bradley,26,8.1,"$2,828,637","$34,907,787",2014,pct_total_money_won
36,36,Graham DeLaet,24,8.05,"$2,616,517","$32,513,787",2014,pct_total_money_won
37,37,Charl Schwartzel,18,7.9,"$1,997,481","$25,281,787",2014,pct_total_money_won
38,38,J.B. Holmes,24,7.67,"$2,365,204","$30,843,787",2014,pct_total_money_won
T39,T39,Matt Every,26,7.65,"$2,540,370","$33,201,787",2014,pct_total_money_won
T39,T39,Bill Haas,28,7.65,"$2,841,520","$37,127,787",2014,pct_total_money_won
41,41,Phil Mickelson,21,7.52,"$2,158,018","$28,697,787",2014,pct_total_money_won
42,42,Jamie Donaldson,12,7.42,"$1,329,822","$17,933,787",2014,pct_total_money_won
43,43,Steve Stricker,11,7.35,"$1,154,746","$15,714,000",2014,pct_total_money_won
44,44,Bob Estes,2,7.22,"$156,000","$2,160,000",2014,pct_total_money_won
45,45,Jason Dufner,17,7.01,"$1,651,490","$23,555,787",2014,pct_total_money_won
46,46,Russell Henley,29,6.96,"$2,590,493","$37,221,787",2014,pct_total_money_won
47,47,George McNeill,24,6.92,"$2,014,357","$29,115,787",2014,pct_total_money_won
48,48,Jason Allred,9,6.87,"$626,733","$9,126,000",2014,pct_total_money_won
49,49,Tim Clark,26,6.76,"$2,066,343","$30,546,000",2014,pct_total_money_won
50,50,Kevin Stadler,26,6.72,"$2,300,306","$34,209,787",2014,pct_total_money_won
51,51,Ian Poulter,17,6.71,"$1,616,693","$24,107,787",2014,pct_total_money_won
52,52,Shiv Kapur,2,6.67,"$191,968","$2,880,000",2014,pct_total_money_won
53,53,Kevin Streelman,24,6.56,"$2,107,993","$32,123,787",2014,pct_total_money_won
54,54,Robert Karlsson,7,6.53,"$545,695","$8,361,787",2014,pct_total_money_won
55,55,Seung-Yul Noh,27,6.49,"$2,115,233","$32,580,000",2014,pct_total_money_won
56,56,Charley Hoffman,25,6.43,"$1,977,295","$30,771,787",2014,pct_total_money_won
57,57,Shawn Stefani,17,6.38,"$1,369,258","$21,447,787",2014,pct_total_money_won
58,58,Brian Harman,32,6.3,"$2,414,333","$38,295,787",2014,pct_total_money_won
T59,T59,Francesco Molinari,12,6.28,"$1,116,574","$17,771,787",2014,pct_total_money_won
T59,T59,Richard Sterne,7,6.28,"$654,232","$10,409,787",2014,pct_total_money_won
61,61,Ángel Cabrera,23,6.2,"$1,868,559","$30,123,787",2014,pct_total_money_won
62,62,Chris Stroud,25,6.12,"$1,826,399","$29,853,787",2014,pct_total_money_won
T63,T63,Luke Donald,17,6.09,"$1,451,439","$23,819,787",2014,pct_total_money_won
T63,T63,Cody Gribble,1,6.09,"$98,598","$1,620,000",2014,pct_total_money_won
65,65,Matt Jones,25,6.02,"$1,928,154","$32,013,787",2014,pct_total_money_won
