RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS,year,measure
1,1,Greg Chalmers,77,0.857,59.966,70,2013,sg_putting
2,2,Steve Stricker,51,0.72,25.185,35,2013,sg_putting
3,3,Stephen Ames,49,0.713,31.372,44,2013,sg_putting
4,4,Brandt Snedeker,79,0.692,40.15,58,2013,sg_putting
T5,T5,Aaron Baddeley,68,0.661,38.976,59,2013,sg_putting
T5,T5,Phil Mickelson,78,0.661,37.669,57,2013,sg_putting
7,7,James Driscoll,76,0.65,40.948,63,2013,sg_putting
8,8,Russell Henley,80,0.609,40.206,66,2013,sg_putting
9,9,Bryce Molder,82,0.594,42.205,71,2013,sg_putting
10,10,Sergio Garcia,65,0.591,27.798,47,2013,sg_putting
11,11,Richard Lee,81,0.564,40.621,72,2013,sg_putting
12,12,Doug LaBelle II,72,0.545,32.18,59,2013,sg_putting
13,13,Luke Donald,60,0.528,24.266,46,2013,sg_putting
T14,T14,Peter Hanson,45,0.484,15.973,33,2013,sg_putting
T14,T14,David Hearn,88,0.484,35.344,73,2013,sg_putting
16,16,Harris English,95,0.477,39.119,82,2013,sg_putting
17,17,Chris Kirk,89,0.456,36.956,81,2013,sg_putting
18,18,Freddie Jacobson,63,0.449,20.669,46,2013,sg_putting
19,19,Charles Howell III,87,0.438,35.056,80,2013,sg_putting
20,20,Colt Knost,69,0.435,25.252,58,2013,sg_putting
21,21,David Lynn,70,0.432,24.168,56,2013,sg_putting
22,22,Brian Gay,79,0.428,30.362,71,2013,sg_putting
23,23,Tiger Woods,61,0.426,18.333,43,2013,sg_putting
24,24,Rickie Fowler,75,0.425,25.099,59,2013,sg_putting
25,25,Aaron Watkins,46,0.402,14.068,35,2013,sg_putting
26,26,Matt Kuchar,93,0.398,27.495,69,2013,sg_putting
27,27,Hunter Mahan,91,0.382,25.964,68,2013,sg_putting
28,28,Billy Horschel,96,0.381,31.619,83,2013,sg_putting
29,29,Sangmoon Bae,83,0.371,26.74,72,2013,sg_putting
30,30,Jason Day,86,0.37,22.546,61,2013,sg_putting
31,31,Zach Johnson,84,0.365,24.485,67,2013,sg_putting
32,32,Stuart Appleby,88,0.353,27.895,79,2013,sg_putting
33,33,Patrick Reed,83,0.35,25.875,74,2013,sg_putting
34,34,Justin Leonard,86,0.348,26.068,75,2013,sg_putting
35,35,Chris Stroud,88,0.34,26.558,78,2013,sg_putting
36,36,Shawn Stefani,63,0.338,16.905,50,2013,sg_putting
37,37,K.J. Choi,85,0.337,21.244,63,2013,sg_putting
38,38,Bob Estes,66,0.335,20.768,62,2013,sg_putting
39,39,Ryan Palmer,79,0.333,22.968,69,2013,sg_putting
40,40,Jeff Overton,78,0.315,23.314,74,2013,sg_putting
41,41,Webb Simpson,92,0.313,21.939,70,2013,sg_putting
42,42,Jonas Blixt,76,0.312,20.883,67,2013,sg_putting
43,43,Charl Schwartzel,69,0.301,16.246,54,2013,sg_putting
44,44,Mike Weir,60,0.288,13.544,47,2013,sg_putting
45,45,Jimmy Walker,84,0.276,20.687,75,2013,sg_putting
46,46,Johnson Wagner,64,0.271,14.096,52,2013,sg_putting
47,47,Bill Haas,85,0.266,18.348,69,2013,sg_putting
48,48,Casey Wittenberg,72,0.254,15.516,61,2013,sg_putting
49,49,Keegan Bradley,88,0.25,18.002,72,2013,sg_putting
50,50,"Ted Potter, Jr.",65,0.247,13.565,55,2013,sg_putting
51,51,Kevin Streelman,86,0.246,16.735,68,2013,sg_putting
52,52,Erik Compton,74,0.234,15.213,65,2013,sg_putting
53,53,Brian Davis,91,0.232,19.228,83,2013,sg_putting
54,54,William McGirt,75,0.229,16.251,71,2013,sg_putting
55,55,Daniel Summerhays,83,0.221,17.267,78,2013,sg_putting
56,56,Ben Curtis,59,0.211,9.689,46,2013,sg_putting
57,57,Jerry Kelly,75,0.198,12.687,64,2013,sg_putting
58,58,Morgan Hoffmann,64,0.193,10.24,53,2013,sg_putting
59,59,Jason Bohn,70,0.185,12.192,66,2013,sg_putting
60,60,Jordan Spieth,82,0.182,12.183,67,2013,sg_putting
61,61,Ian Poulter,59,0.177,6.906,39,2013,sg_putting
62,62,Charlie Wi,75,0.176,11.63,66,2013,sg_putting
63,63,Tom Gillis,69,0.173,10.396,60,2013,sg_putting
64,64,Brian Harman,89,0.147,11.191,76,2013,sg_putting
T65,T65,J.J. Henry,83,0.146,10.78,74,2013,sg_putting
T65,T65,Scott Stallings,79,0.146,9.62,66,2013,sg_putting
67,67,Matt Jones,83,0.145,10.147,70,2013,sg_putting
68,68,Martin Kaymer,61,0.137,5.77,42,2013,sg_putting
69,69,Graeme McDowell,53,0.136,5.027,37,2013,sg_putting
70,70,Charley Hoffman,84,0.128,9.35,73,2013,sg_putting
71,71,Fabián Gómez,65,0.124,6.947,56,2013,sg_putting
72,72,Cameron Percy,68,0.121,6.908,57,2013,sg_putting
73,73,Andres Romero,63,0.117,6.092,52,2013,sg_putting
74,74,Cameron Tringale,80,0.104,7.766,75,2013,sg_putting
75,75,Vaughn Taylor,50,0.103,4.118,40,2013,sg_putting
76,76,Graham DeLaet,94,0.1,8.078,81,2013,sg_putting
77,77,Jim Furyk,80,0.092,5.901,64,2013,sg_putting
78,78,Tommy Gainey,84,0.089,6.682,75,2013,sg_putting
T79,T79,Martin Flores,83,0.08,6.065,76,2013,sg_putting
T79,T79,Marc Leishman,77,0.08,5.144,64,2013,sg_putting
81,81,Ángel Cabrera,73,0.069,3.943,57,2013,sg_putting
T82,T82,Brian Stuard,78,0.067,4.232,63,2013,sg_putting
T82,T82,Andrew Svoboda,46,0.067,2.342,35,2013,sg_putting
84,84,John Merrick,79,0.063,4.317,68,2013,sg_putting
85,85,Gary Woodland,94,0.062,5.105,83,2013,sg_putting
86,86,Tim Clark,64,0.058,2.497,43,2013,sg_putting
87,87,Tag Ridings,69,0.053,3.08,58,2013,sg_putting
