RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR,year,measure
1,1,Lucas Glover,75,71.63,967,"1,350",-0.27,2016,gir_pct
2,2,Paul Casey,77,70.8,943,"1,332",-0.25,2016,gir_pct
3,3,Adam Scott,79,70.76,968,"1,368",-0.29,2016,gir_pct
4,4,Stewart Cink,61,70.4,773,"1,098",-0.25,2016,gir_pct
5,5,Thomas Aiken,70,70.2,834,"1,188",-0.21,2016,gir_pct
T6,T6,Jason Dufner,105,70.15,"1,288","1,836",-0.25,2016,gir_pct
T6,T6,Sergio Garcia,54,70.15,644,918,-0.26,2016,gir_pct
8,8,Greg Owen,85,69.75,"1,017","1,458",-0.23,2016,gir_pct
9,9,Russell Knox,92,69.73,"1,117","1,602",-0.24,2016,gir_pct
10,10,Jhonattan Vegas,97,69.71,"1,167","1,674",-0.26,2016,gir_pct
11,11,Rory McIlroy,69,69.62,777,"1,116",-0.32,2016,gir_pct
12,12,Keegan Bradley,82,69.58,"1,027","1,476",-0.24,2016,gir_pct
13,13,Johnson Wagner,86,69.38,"1,074","1,548",-0.25,2016,gir_pct
14,14,Robert Garrigus,69,69.32,811,"1,170",-0.29,2016,gir_pct
15,15,Rickie Fowler,80,69.26,960,"1,386",-0.28,2016,gir_pct
16,16,Patrick Rodgers,89,69.22,"1,059","1,530",-0.26,2016,gir_pct
17,17,Kevin Streelman,82,69.17,"1,021","1,476",-0.25,2016,gir_pct
18,18,Bubba Watson,72,69.16,859,"1,242",-0.28,2016,gir_pct
19,19,Roberto Castro,97,69.13,"1,207","1,746",-0.27,2016,gir_pct
20,20,Scott Pinckney,87,69.02,"1,056","1,530",-0.25,2016,gir_pct
21,21,John Senden,88,68.86,"1,066","1,548",-0.25,2016,gir_pct
22,22,Hudson Swafford,104,68.8,"1,288","1,872",-0.28,2016,gir_pct
23,23,Gary Woodland,95,68.74,"1,126","1,638",-0.27,2016,gir_pct
24,24,Charl Schwartzel,73,68.73,866,"1,260",-0.26,2016,gir_pct
25,25,Brendan Steele,88,68.72,"1,039","1,512",-0.26,2016,gir_pct
26,26,Jason Kokrak,89,68.66,"1,100","1,602",-0.26,2016,gir_pct
27,27,Emiliano Grillo,93,68.52,"1,110","1,620",-0.26,2016,gir_pct
28,28,Graham DeLaet,70,68.35,812,"1,188",-0.28,2016,gir_pct
T29,T29,Jim Furyk,52,68.27,639,936,-0.22,2016,gir_pct
T29,T29,Russell Henley,76,68.27,934,"1,368",-0.25,2016,gir_pct
31,31,David Hearn,95,68.25,"1,167","1,710",-0.26,2016,gir_pct
32,32,Henrik Norlander,71,68.24,823,"1,206",-0.25,2016,gir_pct
T33,T33,Chad Campbell,90,68.15,"1,104","1,620",-0.25,2016,gir_pct
T33,T33,Louis Oosthuizen,63,68.15,687,"1,008",-0.25,2016,gir_pct
T35,T35,Rhein Gibson,58,68.11,662,972,-0.22,2016,gir_pct
T35,T35,Hideki Matsuyama,76,68.11,895,"1,314",-0.3,2016,gir_pct
37,37,Chez Reavie,90,68.09,"1,054","1,548",-0.26,2016,gir_pct
38,38,Charles Howell III,91,68.01,"1,114","1,638",-0.29,2016,gir_pct
39,39,Alex Cejka,71,67.99,820,"1,206",-0.28,2016,gir_pct
40,40,Justin Rose,65,67.92,758,"1,116",-0.27,2016,gir_pct
41,41,Boo Weekley,83,67.87,"1,014","1,494",-0.26,2016,gir_pct
42,42,Ryan Palmer,86,67.83,"1,050","1,548",-0.29,2016,gir_pct
T43,T43,Dustin Johnson,87,67.82,"1,001","1,476",-0.36,2016,gir_pct
T43,T43,Matt Kuchar,100,67.82,"1,172","1,728",-0.28,2016,gir_pct
45,45,Billy Horschel,73,67.7,853,"1,260",-0.27,2016,gir_pct
46,46,Daniel Berger,92,67.67,"1,084","1,602",-0.28,2016,gir_pct
47,47,Martin Laird,82,67.66,950,"1,404",-0.27,2016,gir_pct
48,48,Kyle Reifers,115,67.62,"1,351","1,998",-0.27,2016,gir_pct
49,49,J.J. Henry,68,67.51,802,"1,188",-0.18,2016,gir_pct
50,50,Kelly Kraft,63,67.42,716,"1,062",-0.27,2016,gir_pct
51,51,William McGirt,98,67.35,"1,188","1,764",-0.26,2016,gir_pct
52,52,Scott Piercy,87,67.33,"1,018","1,512",-0.26,2016,gir_pct
53,53,Jason Day,76,67.23,835,"1,242",-0.34,2016,gir_pct
T54,T54,Luke List,79,67.17,931,"1,386",-0.26,2016,gir_pct
T54,T54,Sean O'Hair,89,67.17,"1,076","1,602",-0.28,2016,gir_pct
T54,T54,Kyle Stanley,92,67.17,"1,076","1,602",-0.25,2016,gir_pct
T57,T57,Bill Haas,86,67.14,991,"1,476",-0.23,2016,gir_pct
T57,T57,Webb Simpson,70,67.14,846,"1,260",-0.26,2016,gir_pct
59,59,Brooks Koepka,75,66.98,844,"1,260",-0.31,2016,gir_pct
60,60,Brett Stegmaier,87,66.8,"1,022","1,530",-0.25,2016,gir_pct
61,61,Branden Grace,63,66.76,721,"1,080",-0.26,2016,gir_pct
62,62,Dawie van der Walt,72,66.75,841,"1,260",-0.26,2016,gir_pct
63,63,Blayne Barber,84,66.74,961,"1,440",-0.25,2016,gir_pct
T64,T64,Ben Martin,92,66.73,"1,057","1,584",-0.28,2016,gir_pct
T64,T64,Kevin Na,96,66.73,"1,117","1,674",-0.28,2016,gir_pct
66,66,Jerry Kelly,76,66.67,912,"1,368",-0.24,2016,gir_pct
67,67,Chris Stroud,82,66.6,959,"1,440",-0.27,2016,gir_pct
68,68,Jason Gore,78,66.52,886,"1,332",-0.26,2016,gir_pct
69,69,Shawn Stefani,91,66.48,"1,041","1,566",-0.23,2016,gir_pct
70,70,Will MacKenzie,84,66.39,956,"1,440",-0.23,2016,gir_pct
71,71,Kevin Chappell,93,66.37,"1,111","1,674",-0.27,2016,gir_pct
T72,T72,Jason Bohn,67,66.33,800,"1,206",-0.28,2016,gir_pct
T72,T72,Spencer Levin,104,66.33,"1,194","1,800",-0.27,2016,gir_pct
74,74,Smylie Kaufman,91,66.29,"1,050","1,584",-0.29,2016,gir_pct
T75,T75,Bronson Burgoon,83,66.24,942,"1,422",-0.25,2016,gir_pct
T75,T75,Harold Varner III,92,66.24,"1,097","1,656",-0.25,2016,gir_pct
77,77,John Huh,86,66.21,"1,013","1,530",-0.24,2016,gir_pct
78,78,Robert Streb,87,66.2,"1,001","1,512",-0.23,2016,gir_pct
T79,T79,Derek Ernst,59,66.18,679,"1,026",-0.21,2016,gir_pct
T79,T79,Michael Thompson,71,66.18,810,"1,224",-0.28,2016,gir_pct
81,81,Andres Gonzales,80,66.17,929,"1,404",-0.25,2016,gir_pct
82,82,Scott Stallings,74,66.11,833,"1,260",-0.25,2016,gir_pct
83,83,Adam Hadwin,93,66.07,"1,106","1,674",-0.3,2016,gir_pct
84,84,Phil Mickelson,75,66.05,856,"1,296",-0.31,2016,gir_pct
