RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS,year,measure
1,1,Bubba Watson,71,1.876,1.194,0.684,-0.002,56,2015,sg_tee_to_green
2,2,Henrik Stenson,63,1.774,0.448,1.244,0.082,44,2015,sg_tee_to_green
3,3,Jim Furyk,71,1.658,0.064,1.081,0.513,52,2015,sg_tee_to_green
4,4,Jordan Spieth,91,1.583,0.494,0.618,0.471,66,2015,sg_tee_to_green
5,5,Jason Day,75,1.52,0.772,0.461,0.287,57,2015,sg_tee_to_green
6,6,Justin Rose,69,1.471,0.55,0.692,0.228,49,2015,sg_tee_to_green
7,7,Hideki Matsuyama,95,1.388,0.496,0.637,0.254,70,2015,sg_tee_to_green
8,8,Webb Simpson,81,1.346,0.225,0.582,0.539,64,2015,sg_tee_to_green
9,9,Dustin Johnson,75,1.326,0.96,0.579,-0.212,54,2015,sg_tee_to_green
10,10,Paul Casey,87,1.202,0.392,0.991,-0.182,63,2015,sg_tee_to_green
11,11,Lucas Glover,79,1.17,0.591,0.691,-0.111,72,2015,sg_tee_to_green
12,12,Keegan Bradley,87,1.088,0.436,0.389,0.263,64,2015,sg_tee_to_green
13,13,Zach Johnson,90,1.081,0.24,0.605,0.236,70,2015,sg_tee_to_green
14,14,Sergio Garcia,59,1.067,0.442,0.468,0.157,36,2015,sg_tee_to_green
15,15,Brendan Steele,88,1.005,0.363,0.6,0.041,76,2015,sg_tee_to_green
16,16,J.B. Holmes,89,0.949,0.427,0.253,0.268,66,2015,sg_tee_to_green
17,17,Justin Thomas,106,0.926,0.352,0.385,0.188,96,2015,sg_tee_to_green
18,18,Jason Dufner,76,0.922,0.242,0.399,0.281,48,2015,sg_tee_to_green
19,19,Willy Wilcox,58,0.863,0.662,0.144,0.058,41,2015,sg_tee_to_green
20,20,Francesco Molinari,56,0.859,0.324,0.572,-0.037,43,2015,sg_tee_to_green
21,21,Russell Knox,96,0.827,0.098,0.622,0.107,87,2015,sg_tee_to_green
22,22,Louis Oosthuizen,68,0.825,0.339,0.397,0.088,47,2015,sg_tee_to_green
23,23,Matt Kuchar,97,0.817,0.136,0.202,0.479,77,2015,sg_tee_to_green
24,24,Ryan Palmer,80,0.813,0.356,0.529,-0.072,54,2015,sg_tee_to_green
25,25,Vijay Singh,78,0.812,0.152,0.42,0.241,69,2015,sg_tee_to_green
26,26,Rickie Fowler,76,0.779,0.123,0.59,0.066,57,2015,sg_tee_to_green
27,27,Robert Streb,110,0.712,0.309,0.175,0.228,96,2015,sg_tee_to_green
28,28,Kevin Na,98,0.711,-0.329,0.381,0.66,71,2015,sg_tee_to_green
29,29,Bill Haas,89,0.689,0.14,0.422,0.126,71,2015,sg_tee_to_green
30,30,Daniel Berger,97,0.682,0.372,0.526,-0.217,83,2015,sg_tee_to_green
31,31,Boo Weekley,79,0.671,0.548,0.108,0.015,67,2015,sg_tee_to_green
32,32,Nick Watney,91,0.661,0.31,0.238,0.112,81,2015,sg_tee_to_green
33,33,Brooks Koepka,84,0.66,0.407,0.2,0.052,65,2015,sg_tee_to_green
34,34,Tony Finau,106,0.634,0.383,0.224,0.027,92,2015,sg_tee_to_green
35,35,Charl Schwartzel,67,0.629,0.669,-0.132,0.092,41,2015,sg_tee_to_green
36,36,Roberto Castro,54,0.612,0.079,0.347,0.187,36,2015,sg_tee_to_green
37,37,Adam Scott,51,0.601,0.682,0.114,-0.195,32,2015,sg_tee_to_green
38,38,Charles Howell III,105,0.599,0.34,0.199,0.059,99,2015,sg_tee_to_green
39,39,Greg Owen,58,0.572,0.036,0.407,0.129,40,2015,sg_tee_to_green
40,40,Rory Sabbatini,81,0.567,0.094,0.375,0.097,66,2015,sg_tee_to_green
41,41,Jason Bohn,95,0.538,0.019,0.561,-0.042,87,2015,sg_tee_to_green
42,42,Chad Campbell,97,0.482,0.13,0.192,0.159,91,2015,sg_tee_to_green
43,43,Patrick Reed,103,0.465,-0.071,0.263,0.273,76,2015,sg_tee_to_green
44,44,John Peterson,84,0.435,0.333,0.276,-0.175,77,2015,sg_tee_to_green
45,45,Shawn Stefani,94,0.423,0.332,0.283,-0.192,88,2015,sg_tee_to_green
46,46,John Merrick,78,0.42,0.056,0.358,0.006,58,2015,sg_tee_to_green
47,47,Ryan Moore,81,0.418,0.071,0.246,0.102,61,2015,sg_tee_to_green
48,48,Tom Hoge,83,0.41,0.035,0.456,-0.08,65,2015,sg_tee_to_green
49,49,Jim Herman,88,0.407,0.467,0.285,-0.345,77,2015,sg_tee_to_green
50,50,William McGirt,103,0.395,0.087,0.06,0.248,97,2015,sg_tee_to_green
51,51,Kevin Kisner,104,0.389,0.316,0.141,-0.068,94,2015,sg_tee_to_green
52,52,Michael Putnam,87,0.373,-0.025,0.42,-0.022,68,2015,sg_tee_to_green
53,53,Stewart Cink,77,0.367,0.087,0.561,-0.282,66,2015,sg_tee_to_green
54,54,David Lingmerth,90,0.366,0.379,0.013,-0.025,74,2015,sg_tee_to_green
55,55,Danny Lee,120,0.354,-0.301,0.718,-0.062,100,2015,sg_tee_to_green
56,56,Kevin Streelman,95,0.352,0.563,0.005,-0.216,73,2015,sg_tee_to_green
57,57,George McNeill,93,0.351,-0.223,0.645,-0.071,89,2015,sg_tee_to_green
58,58,Chris Kirk,76,0.35,-0.15,0.302,0.198,56,2015,sg_tee_to_green
59,59,Chez Reavie,56,0.342,0.384,0.298,-0.34,50,2015,sg_tee_to_green
60,60,Ian Poulter,68,0.329,-0.054,0.235,0.147,48,2015,sg_tee_to_green
T61,T61,Marc Leishman,74,0.322,0.021,0.199,0.102,54,2015,sg_tee_to_green
T61,T61,Scott Piercy,90,0.322,0.27,0.224,-0.172,83,2015,sg_tee_to_green
63,63,Brendon de Jonge,106,0.32,0.276,0.196,-0.152,92,2015,sg_tee_to_green
64,64,Phil Mickelson,70,0.319,0.072,0.022,0.225,55,2015,sg_tee_to_green
65,65,James Hahn,94,0.307,0.106,0.135,0.065,78,2015,sg_tee_to_green
66,66,Jason Kokrak,88,0.306,0.464,-0.014,-0.144,80,2015,sg_tee_to_green
67,67,Graham DeLaet,65,0.299,0.027,0.328,-0.056,54,2015,sg_tee_to_green
68,68,Luke Donald,71,0.295,-0.793,0.573,0.514,54,2015,sg_tee_to_green
69,69,Lee Westwood,56,0.283,0.094,0.292,-0.102,32,2015,sg_tee_to_green
70,70,Charley Hoffman,97,0.269,0.47,0.137,-0.338,76,2015,sg_tee_to_green
71,71,Matt Jones,89,0.263,0.249,-0.319,0.333,67,2015,sg_tee_to_green
72,72,Geoff Ogilvy,50,0.26,0.138,0.082,0.039,35,2015,sg_tee_to_green
73,73,Steven Bowditch,103,0.256,-0.053,0.056,0.253,88,2015,sg_tee_to_green
74,74,Martin Flores,95,0.255,0.349,-0.142,0.047,79,2015,sg_tee_to_green
75,75,Brendon Todd,96,0.248,-0.168,0.136,0.28,76,2015,sg_tee_to_green
76,76,Cameron Tringale,96,0.244,-0.074,-0.054,0.373,79,2015,sg_tee_to_green
77,77,Jimmy Walker,89,0.241,-0.161,0.334,0.068,64,2015,sg_tee_to_green
78,78,Pat Perez,96,0.222,-0.01,0.187,0.045,83,2015,sg_tee_to_green
79,79,Harris English,105,0.217,0.009,0.207,0,88,2015,sg_tee_to_green
80,80,Scott Brown,97,0.216,0.296,0.031,-0.111,81,2015,sg_tee_to_green
81,81,Martin Laird,77,0.206,-0.078,0.302,-0.019,73,2015,sg_tee_to_green
T82,T82,Kevin Chappell,86,0.202,0.16,-0.105,0.148,75,2015,sg_tee_to_green
T82,T82,Billy Horschel,99,0.202,0.366,0.137,-0.301,73,2015,sg_tee_to_green
84,84,Chad Collins,79,0.201,-0.25,0.246,0.205,63,2015,sg_tee_to_green
85,85,Jerry Kelly,79,0.186,0.073,-0.052,0.166,66,2015,sg_tee_to_green
T86,T86,Chris Stroud,84,0.178,-0.249,0.132,0.295,68,2015,sg_tee_to_green
T86,T86,David Toms,62,0.178,-0.041,-0.028,0.248,55,2015,sg_tee_to_green
88,88,Brian Harman,90,0.177,0.322,-0.176,0.03,78,2015,sg_tee_to_green
T89,T89,Steven Alker,62,0.163,-0.129,-0.114,0.406,50,2015,sg_tee_to_green
T89,T89,Cameron Percy,72,0.163,0.128,-0.002,0.037,58,2015,sg_tee_to_green
91,91,Jason Gore,76,0.157,0.284,0.266,-0.393,58,2015,sg_tee_to_green
92,92,Ben Martin,93,0.153,-0.016,0.268,-0.1,77,2015,sg_tee_to_green
93,93,Jonathan Byrd,69,0.148,-0.145,-0.303,0.596,51,2015,sg_tee_to_green
94,94,John Senden,80,0.142,0.331,-0.171,-0.017,51,2015,sg_tee_to_green
95,95,Spencer Levin,99,0.135,0.204,0.181,-0.25,83,2015,sg_tee_to_green
96,96,Patrick Rodgers,57,0.133,0.68,-0.456,-0.09,46,2015,sg_tee_to_green
97,97,Gary Woodland,81,0.121,0.177,0.227,-0.284,54,2015,sg_tee_to_green
98,98,Scott Langley,94,0.108,-0.128,0.056,0.18,79,2015,sg_tee_to_green
99,99,J.J. Henry,94,0.105,0.066,-0.088,0.127,76,2015,sg_tee_to_green
100,100,Kyle Reifers,96,0.101,0.108,-0.084,0.076,80,2015,sg_tee_to_green
101,101,Mark Wilson,89,0.092,-0.299,0.013,0.377,81,2015,sg_tee_to_green
102,102,Whee Kim,71,0.081,-0.201,0.324,-0.043,56,2015,sg_tee_to_green
103,103,Ryo Ishikawa,90,0.052,-0.408,0.436,0.025,75,2015,sg_tee_to_green
104,104,Alex Prugh,84,0.051,0.319,-0.085,-0.183,72,2015,sg_tee_to_green
105,105,Brandt Snedeker,98,0.02,-0.126,-0.199,0.344,75,2015,sg_tee_to_green
106,106,Alex Cejka,94,0.015,-0.233,0.113,0.135,79,2015,sg_tee_to_green
107,107,Sean O'Hair,86,0.012,0.153,-0.284,0.142,81,2015,sg_tee_to_green
108,108,Ernie Els,57,0.009,-0.285,0.192,0.102,39,2015,sg_tee_to_green
109,109,David Hearn,97,-0.002,-0.216,0.243,-0.029,85,2015,sg_tee_to_green
110,110,Jamie Donaldson,50,-0.008,0.095,-0.15,0.046,32,2015,sg_tee_to_green
111,111,Jeff Overton,94,-0.014,-0.036,0.041,-0.018,75,2015,sg_tee_to_green
112,112,Derek Ernst,75,-0.015,0.676,-0.547,-0.144,63,2015,sg_tee_to_green
113,113,Camilo Villegas,83,-0.019,-0.296,0.133,0.143,74,2015,sg_tee_to_green
114,114,Hudson Swafford,97,-0.022,0.273,0.109,-0.404,83,2015,sg_tee_to_green
115,115,Davis Love III,51,-0.031,0.189,-0.335,0.116,42,2015,sg_tee_to_green
116,116,Ángel Cabrera,53,-0.032,0.06,0.336,-0.428,42,2015,sg_tee_to_green
117,117,Morgan Hoffmann,85,-0.035,-0.032,-0.347,0.343,69,2015,sg_tee_to_green
118,118,Carlos Ortiz,100,-0.048,0.355,-0.238,-0.166,83,2015,sg_tee_to_green
119,119,Adam Hadwin,95,-0.051,0.088,-0.183,0.044,81,2015,sg_tee_to_green
120,120,Jon Curran,83,-0.059,-0.406,0.077,0.27,65,2015,sg_tee_to_green
121,121,Carl Pettersson,106,-0.099,-0.038,0.035,-0.097,96,2015,sg_tee_to_green
122,122,Daniel Summerhays,101,-0.103,-0.111,0.194,-0.186,89,2015,sg_tee_to_green
123,123,Johnson Wagner,68,-0.108,-0.013,0.106,-0.201,57,2015,sg_tee_to_green
124,124,Russell Henley,87,-0.116,0.343,-0.269,-0.191,67,2015,sg_tee_to_green
125,125,Gonzalo Fernandez-Castaño,81,-0.125,0.187,-0.495,0.183,63,2015,sg_tee_to_green
126,126,Charlie Beljan,76,-0.134,0.583,-0.293,-0.424,57,2015,sg_tee_to_green
127,127,Luke Guthrie,84,-0.147,-0.314,0.02,0.147,68,2015,sg_tee_to_green
128,128,Colt Knost,90,-0.152,-0.084,0.017,-0.085,74,2015,sg_tee_to_green
129,129,Ken Duke,93,-0.156,0.067,0.025,-0.248,78,2015,sg_tee_to_green
130,130,K.J. Choi,66,-0.159,-0.522,0.153,0.21,57,2015,sg_tee_to_green
131,131,Scott Stallings,60,-0.166,-0.061,-0.053,-0.052,49,2015,sg_tee_to_green
132,132,Sung Joon Park,79,-0.167,0.104,-0.326,0.055,63,2015,sg_tee_to_green
133,133,Robert Garrigus,70,-0.189,0.345,-0.318,-0.217,55,2015,sg_tee_to_green
134,134,John Huh,102,-0.191,-0.041,-0.12,-0.03,89,2015,sg_tee_to_green
135,135,Sangmoon Bae,98,-0.201,0.251,-0.276,-0.176,88,2015,sg_tee_to_green
136,136,Robert Allenby,63,-0.215,-0.262,0.26,-0.213,51,2015,sg_tee_to_green
137,137,Nicholas Thompson,90,-0.219,0.37,-0.139,-0.45,70,2015,sg_tee_to_green
138,138,Seung-Yul Noh,65,-0.22,-0.555,0.147,0.188,54,2015,sg_tee_to_green
139,139,Padraig Harrington,60,-0.263,-0.434,-0.165,0.336,49,2015,sg_tee_to_green
140,140,Hunter Mahan,88,-0.27,-0.023,-0.249,0.003,65,2015,sg_tee_to_green
141,141,Byron Smith,59,-0.276,-0.085,-0.149,-0.042,43,2015,sg_tee_to_green
142,142,Mark Hubbard,79,-0.281,-0.06,-0.35,0.128,61,2015,sg_tee_to_green
