RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR,year,measure
1,1,Henrik Stenson,65,71.96,829,"1,152",-0.27,2013,gir_pct
2,2,Steve Stricker,51,71.16,602,846,-0.3,2013,gir_pct
3,3,Graham DeLaet,94,70.51,"1,193","1,692",-0.25,2013,gir_pct
4,4,Ricky Barnes,74,70.48,888,"1,260",-0.21,2013,gir_pct
5,7,Bubba Watson,76,69.41,912,"1,314",-0.27,2013,gir_pct
6,6,Boo Weekley,100,69.39,"1,249","1,800",-0.24,2013,gir_pct
7,8,Vijay Singh,61,69.13,759,"1,098",-0.16,2013,gir_pct
8,9,Kevin Stadler,83,68.92,980,"1,422",-0.29,2013,gir_pct
9,11,Justin Rose,62,68.89,744,"1,080",-0.26,2013,gir_pct
10,10,Brendon de Jonge,110,68.84,"1,363","1,980",-0.26,2013,gir_pct
11,14,Adam Scott,61,68.8,743,"1,080",-0.27,2013,gir_pct
12,12,Justin Hicks,79,68.59,926,"1,350",-0.23,2013,gir_pct
13,13,Nick Watney,88,68.48,"1,060","1,548",-0.24,2013,gir_pct
14,15,Jim Furyk,80,68.3,959,"1,404",-0.25,2013,gir_pct
15,25,Zach Johnson,84,68.14,"1,018","1,494",-0.25,2013,gir_pct
16,16,Jim Herman,59,67.98,673,990,-0.24,2013,gir_pct
17,17,J.J. Henry,83,67.97,991,"1,458",-0.21,2013,gir_pct
T18,T18,D.J. Trahan,48,67.87,562,828,-0.24,2013,gir_pct
T18,T18,Pat Perez,69,67.87,843,"1,242",-0.27,2013,gir_pct
20,20,Nicholas Thompson,99,67.85,"1,209","1,782",-0.24,2013,gir_pct
21,21,Bill Haas,85,67.79,"1,025","1,512",-0.26,2013,gir_pct
22,T22,Stewart Cink,71,67.76,866,"1,278",-0.24,2013,gir_pct
23,24,Rory Sabbatini,86,67.75,"1,000","1,476",-0.28,2013,gir_pct
24,T22,Tiger Woods,61,67.59,730,"1,080",-0.31,2013,gir_pct
25,27,Hunter Mahan,91,67.58,"1,034","1,530",-0.26,2013,gir_pct
26,26,Jason Dufner,78,67.53,936,"1,386",-0.24,2013,gir_pct
27,31,Billy Horschel,96,67.48,"1,166","1,728",-0.29,2013,gir_pct
28,28,Steve LeBrun,66,67.47,753,"1,116",-0.22,2013,gir_pct
29,33,Sergio Garcia,65,67.46,765,"1,134",-0.28,2013,gir_pct
30,29,John Rollins,77,67.43,886,"1,314",-0.26,2013,gir_pct
31,30,Henrik Norlander,70,67.4,825,"1,224",-0.24,2013,gir_pct
32,32,Kyle Stanley,71,67.37,861,"1,278",-0.21,2013,gir_pct
33,T35,Roberto Castro,97,67.3,"1,175","1,746",-0.26,2013,gir_pct
34,T35,Chad Campbell,78,67.03,917,"1,368",-0.24,2013,gir_pct
35,37,Cameron Tringale,80,67.01,965,"1,440",-0.25,2013,gir_pct
36,38,Gary Woodland,94,66.98,"1,085","1,620",-0.28,2013,gir_pct
37,T40,Jordan Spieth,82,66.94,988,"1,476",-0.3,2013,gir_pct
38,39,Nicolas Colsaerts,50,66.78,565,846,-0.2,2013,gir_pct
39,T55,Dustin Johnson,71,66.75,841,"1,260",-0.29,2013,gir_pct
T40,T40,Camilo Villegas,79,66.74,901,"1,350",-0.27,2013,gir_pct
T40,T40,Chez Reavie,72,66.74,865,"1,296",-0.25,2013,gir_pct
42,43,Charles Howell III,87,66.73,"1,021","1,530",-0.28,2013,gir_pct
T43,57,Phil Mickelson,78,66.67,936,"1,404",-0.32,2013,gir_pct
T43,T44,Webb Simpson,92,66.67,"1,056","1,584",-0.27,2013,gir_pct
