RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,%,OFFICIAL MONEY WON,POTENTIAL MONEY,year,measure
1,1,Tiger Woods,21,46.73,"10,628,023","22,745,584",2005,pct_total_money_won
2,2,Michael Campbell,5,26.8,"1,661,810","6,201,584",2005,pct_total_money_won
3,3,Vijay Singh,30,25.77,"8,017,335","31,106,584",2005,pct_total_money_won
4,4,Phil Mickelson,21,25.67,"5,699,604","22,207,584",2005,pct_total_money_won
5,5,Colin Montgomerie,6,20.53,"1,450,735","7,065,584",2005,pct_total_money_won
6,6,Retief Goosen,18,17.97,"3,494,105","19,447,584",2005,pct_total_money_won
7,7,Jim Furyk,26,15.65,"4,255,368","27,184,584",2005,pct_total_money_won
8,8,Padraig Harrington,15,15.56,"2,615,731","16,815,000",2005,pct_total_money_won
9,9,David Toms,25,15.08,"3,962,013","26,273,584",2005,pct_total_money_won
10,10,Kenny Perry,23,14.8,"3,607,155","24,376,584",2005,pct_total_money_won
11,11,Sergio Garcia,20,14.52,"3,213,375","22,124,584",2005,pct_total_money_won
12,12,Chris DiMarco,24,14.12,"3,562,547","25,222,584",2005,pct_total_money_won
13,13,Ernie Els,11,13.76,"1,627,183","11,825,584",2005,pct_total_money_won
14,14,Luke Donald,18,12.61,"2,480,561","19,669,584",2005,pct_total_money_won
15,16,Ben Crane,21,12.54,"2,457,329","19,592,000",2005,pct_total_money_won
16,T32,Bart Bryant,26,12.44,"3,249,135","26,116,584",2005,pct_total_money_won
17,17,Adam Scott,19,12.42,"2,592,255","20,873,584",2005,pct_total_money_won
18,15,Jason Gore,8,12.28,"871,135","7,092,000",2005,pct_total_money_won
19,18,Darren Clarke,12,11.22,"1,465,921","13,059,584",2005,pct_total_money_won
20,19,José María Olazábal,16,10.96,"1,764,227","16,101,584",2005,pct_total_money_won
21,20,Chris Couch,1,10.74,"96,666","900,000",2005,pct_total_money_won
22,22,Peter Hedblom,1,10.59,"123,857","1,170,000",2005,pct_total_money_won
23,21,Justin Leonard,24,10.57,"2,665,131","25,204,584",2005,pct_total_money_won
24,24,Davis Love III,24,10.43,"2,658,779","25,501,584",2005,pct_total_money_won
T25,27,Scott Verplank,25,9.98,"2,580,213","25,861,584",2005,pct_total_money_won
T25,23,Henrik Stenson,4,9.98,"501,985","5,031,584",2005,pct_total_money_won
27,25,Matt Hendrix,1,9.52,"51,428","540,000",2005,pct_total_money_won
28,26,Fred Funk,30,9.23,"2,830,045","30,656,584",2005,pct_total_money_won
