RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:OTT,MEASURED ROUNDS,year,measure
1,1,Adam Scott,70,0.955,48.704,51,2006,sg_off_tee
2,3,Bubba Watson,83,0.807,58.081,72,2006,sg_off_tee
3,4,Tiger Woods,55,0.803,29.709,37,2006,sg_off_tee
4,2,Brett Wetterich,82,0.801,58.506,73,2006,sg_off_tee
5,5,J.B. Holmes,81,0.758,47.763,63,2006,sg_off_tee
6,6,Joe Durant,101,0.75,71.99,96,2006,sg_off_tee
7,7,Kenny Perry,73,0.742,44.52,60,2006,sg_off_tee
8,8,Charles Warren,93,0.74,59.955,81,2006,sg_off_tee
9,9,Lucas Glover,105,0.724,62.298,86,2006,sg_off_tee
10,10,Greg Owen,79,0.636,39.417,62,2006,sg_off_tee
11,11,Camilo Villegas,95,0.629,51.589,82,2006,sg_off_tee
12,12,Phil Mickelson,74,0.569,26.737,47,2006,sg_off_tee
13,13,Chris Smith,67,0.556,32.819,59,2006,sg_off_tee
14,20,Trevor Immelman,86,0.544,39.74,73,2006,sg_off_tee
T15,T14,Fred Couples,52,0.543,17.368,32,2006,sg_off_tee
T15,T14,Jonathan Byrd,66,0.543,29.319,54,2006,sg_off_tee
17,16,Chris Couch,75,0.533,35.684,67,2006,sg_off_tee
T18,T17,Robert Allenby,79,0.524,31.456,60,2006,sg_off_tee
T18,T17,John Senden,96,0.524,41.431,79,2006,sg_off_tee
20,19,Charley Hoffman,100,0.516,45.931,89,2006,sg_off_tee
21,22,Nicholas Thompson,96,0.497,38.749,78,2006,sg_off_tee
22,23,Jonathan Kaye,95,0.478,41.098,86,2006,sg_off_tee
23,21,Jim Furyk,89,0.475,32.322,68,2006,sg_off_tee
24,24,Jeff Overton,95,0.466,40.501,87,2006,sg_off_tee
25,26,Mathew Goggin,72,0.457,26.53,58,2006,sg_off_tee
26,27,Ian Poulter,53,0.456,19.145,42,2006,sg_off_tee
27,28,Mathias Grönberg,92,0.449,35.464,79,2006,sg_off_tee
28,29,Vijay Singh,103,0.447,37.571,84,2006,sg_off_tee
29,25,Davis Love III,85,0.446,25.396,57,2006,sg_off_tee
30,30,Bo Van Pelt,102,0.437,39.339,90,2006,sg_off_tee
31,31,Zach Johnson,98,0.418,32.178,77,2006,sg_off_tee
32,32,Nick Watney,97,0.385,33.127,86,2006,sg_off_tee
33,33,Sergio Garcia,59,0.383,14.953,39,2006,sg_off_tee
34,34,Harrison Frazar,95,0.379,28.393,75,2006,sg_off_tee
35,36,Rich Beem,85,0.353,22.952,65,2006,sg_off_tee
36,37,Matt Hansen,68,0.352,20.405,58,2006,sg_off_tee
37,38,Ernie Els,69,0.344,16.176,47,2006,sg_off_tee
38,39,Robert Garrigus,85,0.334,24.679,74,2006,sg_off_tee
T39,T40,Scott Gutschewski,53,0.333,14.984,45,2006,sg_off_tee
T39,T40,Heath Slocum,96,0.333,27.988,84,2006,sg_off_tee
41,35,Stuart Appleby,83,0.33,21.124,64,2006,sg_off_tee
42,43,Ryan Palmer,101,0.318,26.041,82,2006,sg_off_tee
43,T44,Ryan Moore,68,0.313,18.153,58,2006,sg_off_tee
44,46,Tom Lehman,70,0.306,14.398,47,2006,sg_off_tee
45,47,Steve Elkington,52,0.302,13.891,46,2006,sg_off_tee
46,48,Bart Bryant,87,0.299,21.213,71,2006,sg_off_tee
47,49,Hunter Mahan,98,0.295,26.252,89,2006,sg_off_tee
