RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:OTT,MEASURED ROUNDS,year,measure
1,1,Bubba Watson,71,1.194,66.846,56,2015,sg_off_tee
2,2,Dustin Johnson,75,0.96,51.833,54,2015,sg_off_tee
3,3,Jason Day,75,0.772,44.027,57,2015,sg_off_tee
4,4,Adam Scott,51,0.682,21.818,32,2015,sg_off_tee
5,5,Patrick Rodgers,57,0.68,31.268,46,2015,sg_off_tee
6,6,Derek Ernst,75,0.676,42.578,63,2015,sg_off_tee
7,7,Charl Schwartzel,67,0.669,27.444,41,2015,sg_off_tee
8,8,Will Wilcox,58,0.662,27.132,41,2015,sg_off_tee
9,9,Lucas Glover,79,0.591,42.52,72,2015,sg_off_tee
10,10,Charlie Beljan,76,0.583,33.212,57,2015,sg_off_tee
11,11,Kevin Streelman,95,0.563,41.071,73,2015,sg_off_tee
12,12,Justin Rose,69,0.55,26.937,49,2015,sg_off_tee
13,13,Boo Weekley,79,0.548,36.729,67,2015,sg_off_tee
14,14,Hideki Matsuyama,95,0.496,34.719,70,2015,sg_off_tee
15,16,Jordan Spieth,91,0.494,32.635,66,2015,sg_off_tee
16,15,Charley Hoffman,97,0.47,35.724,76,2015,sg_off_tee
17,17,Jim Herman,88,0.467,35.93,77,2015,sg_off_tee
18,18,Jason Kokrak,88,0.464,37.11,80,2015,sg_off_tee
19,19,Henrik Stenson,63,0.448,19.704,44,2015,sg_off_tee
20,20,Sergio Garcia,59,0.442,15.901,36,2015,sg_off_tee
21,21,Keegan Bradley,87,0.436,27.888,64,2015,sg_off_tee
22,22,J.B. Holmes,89,0.427,28.194,66,2015,sg_off_tee
23,23,Brooks Koepka,84,0.407,26.468,65,2015,sg_off_tee
24,27,Paul Casey,87,0.392,24.689,63,2015,sg_off_tee
25,24,Chez Reavie,56,0.384,19.221,50,2015,sg_off_tee
26,25,Tony Finau,106,0.383,35.193,92,2015,sg_off_tee
27,26,David Lingmerth,90,0.379,28.016,74,2015,sg_off_tee
28,T33,Daniel Berger,97,0.372,30.893,83,2015,sg_off_tee
29,28,Nicholas Thompson,90,0.37,25.909,70,2015,sg_off_tee
30,29,Billy Horschel,99,0.366,26.704,73,2015,sg_off_tee
31,30,Brendan Steele,88,0.363,27.623,76,2015,sg_off_tee
32,31,Ryan Palmer,80,0.356,19.246,54,2015,sg_off_tee
33,32,Carlos Ortiz,100,0.355,29.502,83,2015,sg_off_tee
34,T33,Justin Thomas,106,0.352,33.811,96,2015,sg_off_tee
35,36,Martin Flores,95,0.349,27.6,79,2015,sg_off_tee
36,T37,Robert Garrigus,70,0.345,19.001,55,2015,sg_off_tee
37,39,Russell Henley,87,0.343,22.975,67,2015,sg_off_tee
38,40,Charles Howell III,105,0.34,33.677,99,2015,sg_off_tee
39,41,Louis Oosthuizen,68,0.339,15.95,47,2015,sg_off_tee
40,42,John Peterson,84,0.333,25.661,77,2015,sg_off_tee
41,43,Shawn Stefani,94,0.332,29.245,88,2015,sg_off_tee
42,44,John Senden,80,0.331,16.863,51,2015,sg_off_tee
43,45,Francesco Molinari,56,0.324,13.933,43,2015,sg_off_tee
