RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS,year,measure
1,1,Justin Rose,62,1.912,0.459,0.961,0.491,46,2013,sg_tee_to_green
2,2,Tiger Woods,61,1.637,-0.142,1.533,0.247,43,2013,sg_tee_to_green
3,3,Henrik Stenson,65,1.614,0.71,0.776,0.128,44,2013,sg_tee_to_green
4,4,Steve Stricker,51,1.474,0.311,0.567,0.596,35,2013,sg_tee_to_green
5,5,Adam Scott,61,1.337,0.734,0.548,0.055,44,2013,sg_tee_to_green
6,6,Jim Furyk,80,1.297,0.023,0.95,0.323,64,2013,sg_tee_to_green
7,7,Jordan Spieth,82,1.291,0.611,0.48,0.2,67,2013,sg_tee_to_green
8,8,Bubba Watson,76,1.164,0.937,0.292,-0.065,59,2013,sg_tee_to_green
9,9,Keegan Bradley,88,1.153,0.698,0.27,0.185,72,2013,sg_tee_to_green
10,10,Lee Westwood,70,1.088,0.439,0.479,0.17,51,2013,sg_tee_to_green
11,11,Rory McIlroy,56,1.077,0.624,0.42,0.032,41,2013,sg_tee_to_green
T12,T12,Bill Haas,85,0.999,0.365,0.346,0.289,69,2013,sg_tee_to_green
T12,T12,Matt Kuchar,93,0.999,-0.01,0.731,0.278,69,2013,sg_tee_to_green
14,14,Graham DeLaet,94,0.969,0.488,0.64,-0.159,81,2013,sg_tee_to_green
15,15,Charl Schwartzel,69,0.967,0.195,0.711,0.061,54,2013,sg_tee_to_green
16,16,Webb Simpson,92,0.958,0.216,0.517,0.225,70,2013,sg_tee_to_green
17,17,Roberto Castro,97,0.931,0.204,0.379,0.348,84,2013,sg_tee_to_green
18,18,Sergio Garcia,65,0.928,0.131,0.538,0.259,47,2013,sg_tee_to_green
19,19,Dustin Johnson,71,0.906,0.332,0.663,-0.09,51,2013,sg_tee_to_green
20,20,Vijay Singh,61,0.851,0.371,0.501,-0.021,48,2013,sg_tee_to_green
21,21,Jason Dufner,78,0.812,0.475,0.44,-0.103,61,2013,sg_tee_to_green
22,22,Phil Mickelson,78,0.775,0.021,0.494,0.26,57,2013,sg_tee_to_green
23,23,Boo Weekley,100,0.774,0.594,0.401,-0.221,83,2013,sg_tee_to_green
24,24,Lucas Glover,65,0.765,0.541,0.307,-0.083,52,2013,sg_tee_to_green
T25,T25,Luke Donald,60,0.752,-0.459,0.583,0.628,46,2013,sg_tee_to_green
T25,T25,Hunter Mahan,91,0.752,0.417,0.285,0.05,68,2013,sg_tee_to_green
27,27,Kevin Stadler,83,0.751,0.41,0.451,-0.11,69,2013,sg_tee_to_green
28,28,Rory Sabbatini,86,0.743,0.273,0.468,0.002,72,2013,sg_tee_to_green
29,29,Matt Jones,83,0.74,0.396,0.123,0.22,70,2013,sg_tee_to_green
30,30,Brendon de Jonge,110,0.725,0.28,0.414,0.032,97,2013,sg_tee_to_green
31,31,Kevin Chappell,80,0.722,0.276,0.37,0.077,67,2013,sg_tee_to_green
T32,T32,Stewart Cink,71,0.654,-0.264,0.975,-0.058,56,2013,sg_tee_to_green
T32,T32,Jimmy Walker,84,0.654,0.082,0.407,0.164,75,2013,sg_tee_to_green
34,34,Freddie Jacobson,63,0.626,0.075,0.304,0.247,46,2013,sg_tee_to_green
35,35,Kevin Streelman,86,0.611,0.406,0.214,-0.008,68,2013,sg_tee_to_green
36,36,Camilo Villegas,79,0.608,-0.183,0.885,-0.095,64,2013,sg_tee_to_green
37,37,Jason Day,86,0.606,0.452,-0.013,0.167,61,2013,sg_tee_to_green
38,38,Robert Garrigus,69,0.553,0.509,0.571,-0.528,49,2013,sg_tee_to_green
39,39,Ryan Palmer,79,0.55,0.411,0.461,-0.323,69,2013,sg_tee_to_green
40,40,John Huh,88,0.525,0.179,0.155,0.19,75,2013,sg_tee_to_green
41,41,Mark Wilson,56,0.51,0.185,0.252,0.072,50,2013,sg_tee_to_green
42,42,K.J. Choi,85,0.508,0.096,0.154,0.258,63,2013,sg_tee_to_green
T43,T43,Chris Kirk,89,0.506,-0.213,0.62,0.099,81,2013,sg_tee_to_green
T43,T43,Nick Watney,88,0.506,0.461,0.362,-0.317,73,2013,sg_tee_to_green
45,45,Nicholas Thompson,99,0.505,0.42,0.373,-0.288,86,2013,sg_tee_to_green
46,46,Zach Johnson,84,0.479,0.181,0.251,0.047,67,2013,sg_tee_to_green
47,47,John Rollins,77,0.47,0.164,0.409,-0.103,68,2013,sg_tee_to_green
48,48,Brian Davis,91,0.458,0.051,0.222,0.185,83,2013,sg_tee_to_green
49,49,John Merrick,79,0.454,0.038,0.365,0.051,68,2013,sg_tee_to_green
50,50,Charley Hoffman,84,0.45,0.333,0.262,-0.145,73,2013,sg_tee_to_green
51,51,Brandt Snedeker,79,0.449,-0.025,0.121,0.354,58,2013,sg_tee_to_green
52,52,Ernie Els,63,0.444,0.11,0.191,0.143,48,2013,sg_tee_to_green
T53,T53,Bob Estes,66,0.424,-0.216,0.277,0.362,62,2013,sg_tee_to_green
T53,T53,Charles Howell III,87,0.424,0.133,-0.084,0.374,80,2013,sg_tee_to_green
55,55,Graeme McDowell,53,0.407,0.251,0.217,-0.061,37,2013,sg_tee_to_green
56,56,Gary Woodland,94,0.397,0.331,0.459,-0.392,83,2013,sg_tee_to_green
57,57,Jerry Kelly,75,0.394,0.109,0.159,0.125,64,2013,sg_tee_to_green
58,58,Matt Every,89,0.385,0.323,0.296,-0.234,80,2013,sg_tee_to_green
59,59,Chez Reavie,72,0.383,0.381,0.186,-0.184,67,2013,sg_tee_to_green
60,60,Ryan Moore,72,0.377,0.232,0.007,0.139,57,2013,sg_tee_to_green
61,61,Rickie Fowler,75,0.358,0.143,0.141,0.074,59,2013,sg_tee_to_green
62,62,Kyle Stanley,71,0.351,0.64,0.419,-0.708,60,2013,sg_tee_to_green
