RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,TOTAL,DISTANCE RANK,ACCURACY RANK,year,measure
T107,108,Keith Mitchell,7,239,135,104,2007,total_driving
T107,T130,Cameron Davis,8,239,22,217,2007,total_driving
T107,T99,Richy Werenski,4,239,45,194,2007,total_driving
T107,T88,Vaughn Taylor,8,239,212,27,2007,total_driving
111,168,Chris Baker,9,240,168,72,2007,total_driving
T112,T112,Jim Herman,8,241,221,20,2007,total_driving
T112,T127,Scott Piercy,8,241,105,136,2007,total_driving
T114,T120,J.J. Henry,5,242,173,69,2007,total_driving
T114,T103,Tyler Duncan,10,242,221,21,2007,total_driving
116,T112,Davis Riley,2,243,83,160,2007,total_driving
T117,T125,Bo Hoag,10,244,127,117,2007,total_driving
T117,T116,Chez Reavie,9,244,228,16,2007,total_driving
119,T116,Matt Kuchar,4,245,238,7,2007,total_driving
T120,223,Paul Casey,4,247,160,87,2007,total_driving
T120,T116,Satoshi Kodaira,6,247,234,13,2007,total_driving
T120,T127,Shawn Stefani,6,247,73,174,2007,total_driving
123,106,Carlos Ortiz,8,248,67,181,2007,total_driving
124,T122,Ben Crane,6,249,207,42,2007,total_driving
125,T130,Tom Lewis,3,252,5,247,2007,total_driving
126,T139,Michael Gligic,9,253,73,180,2007,total_driving
T127,T139,Scott Stallings,8,254,47,207,2007,total_driving
T127,T137,Kyle Stanley,8,254,213,41,2007,total_driving
T129,T137,Henrik Stenson,2,255,202,53,2007,total_driving
T129,T125,Austin Cook,8,255,127,128,2007,total_driving
T131,T120,Beau Hossler,8,256,29,227,2007,total_driving
T131,T122,Patrick Rodgers,10,256,26,230,2007,total_driving
T131,T143,Sebastian Cappelen,8,256,30,226,2007,total_driving
T131,T133,Kurt Kitayama,2,256,3,253,2007,total_driving
T131,T77,Vincent Whaley,7,256,103,153,2007,total_driving
T131,T141,Ryan Brehm,10,256,6,250,2007,total_driving
137,T122,Mark Hubbard,10,257,149,108,2007,total_driving
T138,T163,Brandon Hagy,8,258,22,236,2007,total_driving
T138,T109,Billy Horschel,6,258,196,62,2007,total_driving
T140,T147,Sam Burns,6,259,20,239,2007,total_driving
T140,T133,David Lingmerth,5,259,230,29,2007,total_driving
T142,T187,Bud Cauley,6,262,125,137,2007,total_driving
T142,T143,Cameron Tringale,7,262,55,207,2007,total_driving
144,T143,Rikuya Hoshino,2,264,138,126,2007,total_driving
145,T155,Jonathan Byrd,5,265,72,193,2007,total_driving
T146,T116,Maverick McNealy,9,266,89,177,2007,total_driving
T146,T147,Xander Schauffele,3,266,231,35,2007,total_driving
T148,154,Whee Kim,2,267,180,87,2007,total_driving
T148,T141,Lucas Bjerregaard,3,267,18,249,2007,total_driving
150,T152,Chip McDaniel,2,268,59,209,2007,total_driving
T151,T178,Max Homa,6,269,187,82,2007,total_driving
T151,T112,Bill Haas,6,269,147,122,2007,total_driving
T151,146,J.B. Holmes,3,269,224,45,2007,total_driving
T154,129,Zack Sucher,6,270,24,246,2007,total_driving
T154,T157,Roberto Castro,5,270,183,87,2007,total_driving
156,151,Kevin Tway,6,271,27,244,2007,total_driving
T157,T155,Kevin Chappell,6,272,43,229,2007,total_driving
T157,T152,Dominic Bozzelli,7,272,38,234,2007,total_driving
T159,T147,David Hearn,9,273,206,67,2007,total_driving
T159,174,Jimmy Walker,4,273,92,181,2007,total_driving
161,165,Sangmoon Bae,6,274,64,210,2007,total_driving
162,167,Michael Gellerman,8,275,135,140,2007,total_driving
163,T159,Kevin Kisner,7,277,227,50,2007,total_driving
T164,T159,Justin Thomas,5,278,161,117,2007,total_driving
T164,T187,Troy Merritt,7,278,182,96,2007,total_driving
T164,T163,Freddie Jacobson,3,278,141,137,2007,total_driving
167,T175,Talor Gooch,8,280,122,158,2007,total_driving
168,T103,Andrew Putnam,6,283,181,102,2007,total_driving
T169,T157,Si Woo Kim,8,284,99,185,2007,total_driving
T169,T97,Charley Hoffman,7,284,87,197,2007,total_driving
T169,169,Seamus Power,5,284,83,201,2007,total_driving
172,T133,John Huh,5,285,166,119,2007,total_driving
T173,T172,Jason Day,3,286,80,206,2007,total_driving
T173,T172,Chris Kirk,3,286,199,87,2007,total_driving
T173,T175,Rafael Campos,9,286,67,219,2007,total_driving
176,T159,Nate Lashley,8,287,204,83,2007,total_driving
177,177,Brandt Snedeker,4,288,155,133,2007,total_driving
178,T178,Peter Uihlein,6,289,38,251,2007,total_driving
179,150,Kevin Na,7,290,203,87,2007,total_driving
180,T170,Ben Taylor,10,291,134,157,2007,total_driving
181,162,Anirban Lahiri,8,292,118,174,2007,total_driving
182,T208,Roger Sloan,8,293,158,135,2007,total_driving
T183,182,Johnson Wagner,5,294,207,87,2007,total_driving
T183,T183,Robert Garrigus,5,294,52,242,2007,total_driving
