RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,%,OFFICIAL MONEY WON,POTENTIAL MONEY,year,measure
1,1,Justin Rose,18,28.02,"$8,130,677","$29,020,800",2018,pct_total_money_won
2,2,Brooks Koepka,17,26.9,"$7,094,047","$26,374,800",2018,pct_total_money_won
3,3,Dustin Johnson,20,26.24,"$8,457,351","$32,230,000",2018,pct_total_money_won
4,4,Justin Thomas,23,24.23,"$8,694,821","$35,881,800",2018,pct_total_money_won
5,5,Bryson DeChambeau,26,20.91,"$8,094,489","$38,708,000",2018,pct_total_money_won
6,6,Tiger Woods,18,18.81,"$5,443,840","$28,934,000",2018,pct_total_money_won
7,7,Francesco Molinari,20,15.88,"$5,065,841","$31,906,000",2018,pct_total_money_won
8,8,Bubba Watson,24,15.76,"$5,793,747","$36,772,800",2018,pct_total_money_won
9,9,Jason Day,20,15.58,"$5,087,461","$32,655,800",2018,pct_total_money_won
10,10,Rory McIlroy,18,15.16,"$4,410,296","$29,086,000",2018,pct_total_money_won
11,11,Webb Simpson,26,14.03,"$5,376,416","$38,328,000",2018,pct_total_money_won
12,12,Rickie Fowler,20,13.55,"$4,235,236","$31,246,000",2018,pct_total_money_won
13,13,Tony Finau,28,13.32,"$5,620,138","$42,203,800",2018,pct_total_money_won
14,14,Tommy Fleetwood,19,12.75,"$3,935,147","$30,854,800",2018,pct_total_money_won
15,15,Jon Rahm,20,12.6,"$3,992,677","$31,682,800",2018,pct_total_money_won
16,16,Patrick Reed,26,12.42,"$5,006,266","$40,295,800",2018,pct_total_money_won
17,17,Phil Mickelson,24,12.33,"$4,595,186","$37,270,000",2018,pct_total_money_won
18,18,Billy Horschel,27,11.7,"$4,315,199","$36,874,800",2018,pct_total_money_won
19,19,Paul Casey,20,11.44,"$3,641,770","$31,825,000",2018,pct_total_money_won
20,20,Patrick Cantlay,23,11.02,"$3,963,962","$35,966,800",2018,pct_total_money_won
21,21,Henrik Stenson,16,10.5,"$2,680,486","$25,528,800",2018,pct_total_money_won
22,22,Keegan Bradley,27,10.39,"$4,069,463","$39,177,800",2018,pct_total_money_won
23,23,Cameron Smith,24,9.83,"$3,622,606","$36,845,800",2018,pct_total_money_won
24,24,Xander Schauffele,27,9.76,"$4,047,538","$41,473,000",2018,pct_total_money_won
25,25,Kyle Stanley,26,9.67,"$3,916,001","$40,483,000",2018,pct_total_money_won
26,26,Marc Leishman,25,9.58,"$3,771,220","$39,385,000",2018,pct_total_money_won
27,27,Kevin Na,26,9.51,"$3,578,316","$37,637,800",2018,pct_total_money_won
28,28,Alex Noren,18,9.13,"$2,699,149","$29,566,000",2018,pct_total_money_won
29,29,Eddie Pepperell,2,9,"$348,316","$3,870,000",2018,pct_total_money_won
30,30,Aaron Wise,29,8.88,"$3,486,406","$39,258,800",2018,pct_total_money_won
31,31,Ian Poulter,20,8.76,"$2,714,449","$30,995,800",2018,pct_total_money_won
32,32,Sam Horsfield,1,8.61,"$137,950","$1,602,000",2018,pct_total_money_won
33,33,Patton Kizzire,29,8.54,"$3,541,150","$41,478,000",2018,pct_total_money_won
34,34,Pat Perez,23,8.23,"$2,962,641","$35,993,800",2018,pct_total_money_won
35,35,Thorbjørn Olesen,5,8.08,"$759,066","$9,390,000",2018,pct_total_money_won
36,36,Hideki Matsuyama,21,8,"$2,687,477","$33,590,000",2018,pct_total_money_won
37,37,Jordan Spieth,23,7.94,"$2,793,536","$35,188,800",2018,pct_total_money_won
T38,T38,Kevin Kisner,25,7.91,"$2,972,284","$37,564,800",2018,pct_total_money_won
T38,T38,John Oda,7,7.91,"$559,685","$7,074,000",2018,pct_total_money_won
40,40,Rafa Cabrera Bello,20,7.72,"$2,449,868","$31,727,800",2018,pct_total_money_won
41,41,Gary Woodland,27,7.64,"$3,108,906","$40,705,800",2018,pct_total_money_won
42,42,Byeong Hun An,24,7.4,"$2,599,264","$35,127,800",2018,pct_total_money_won
43,43,Chase Seiffert,2,7.34,"$189,000","$2,574,000",2018,pct_total_money_won
44,44,Andrew Landry,27,7.28,"$2,642,178","$36,270,800",2018,pct_total_money_won
45,45,Tyler McCumber,1,7.22,"$39,000","$540,000",2018,pct_total_money_won
46,46,Tyrrell Hatton,16,7.2,"$1,943,359","$26,992,000",2018,pct_total_money_won
47,47,Brian Harman,25,7.14,"$2,733,462","$38,305,000",2018,pct_total_money_won
48,48,Brandt Snedeker,25,7.11,"$2,448,969","$34,444,800",2018,pct_total_money_won
49,49,Andrew Putnam,28,7.02,"$2,387,382","$34,012,800",2018,pct_total_money_won
50,50,Brendan Steele,22,6.96,"$2,291,127","$32,920,800",2018,pct_total_money_won
51,51,Emiliano Grillo,25,6.95,"$2,493,163","$35,847,800",2018,pct_total_money_won
52,52,Joaquin Niemann,13,6.82,"$1,209,957","$17,748,000",2018,pct_total_money_won
53,53,Scott Strohmeyer,3,6.81,"$177,733","$2,610,000",2018,pct_total_money_won
54,54,Chesson Hadley,30,6.79,"$2,768,863","$40,762,800",2018,pct_total_money_won
55,55,Adam Bland,1,6.74,"$114,500","$1,700,000",2018,pct_total_money_won
56,56,Adam Scott,21,6.73,"$2,237,641","$33,231,000",2018,pct_total_money_won
57,57,Chez Reavie,28,6.65,"$2,700,018","$40,629,800",2018,pct_total_money_won
58,58,Daisuke Kataoka,2,6.61,"$183,362","$2,776,000",2018,pct_total_money_won
59,59,Luke List,29,6.49,"$2,710,736","$41,749,000",2018,pct_total_money_won
60,60,Beau Hossler,28,6.44,"$2,449,707","$38,052,000",2018,pct_total_money_won
61,61,Ryan Moore,22,6.37,"$1,986,607","$31,194,000",2018,pct_total_money_won
62,62,Louis Oosthuizen,17,6.36,"$1,731,492","$27,232,800",2018,pct_total_money_won
63,63,Graham DeLaet,3,6.23,"$251,630","$4,041,000",2018,pct_total_money_won
64,64,Jimmy Walker,23,6.15,"$2,027,312","$32,986,800",2018,pct_total_money_won
65,65,Austin Cook,29,6.08,"$2,448,920","$40,256,000",2018,pct_total_money_won
66,66,Alex Kang,2,6.02,"$150,733","$2,502,000",2018,pct_total_money_won
67,67,Ryan Armour,32,5.86,"$2,485,202","$42,418,800",2018,pct_total_money_won
68,68,Erik van Rooyen,1,5.8,"$109,714","$1,890,000",2018,pct_total_money_won
69,69,J.J. Spaun,27,5.71,"$1,978,905","$34,678,800",2018,pct_total_money_won
70,70,Chris Paisley,4,5.53,"$289,900","$5,238,800",2018,pct_total_money_won
71,71,Satoshi Kodaira,18,5.48,"$1,581,712","$28,860,000",2018,pct_total_money_won
72,72,Brian Gay,30,5.47,"$2,152,500","$39,376,800",2018,pct_total_money_won
73,73,Stewart Cink,25,5.46,"$1,887,208","$34,551,000",2018,pct_total_money_won
T74,T74,Ashun Wu,1,5.44,"$90,250","$1,660,000",2018,pct_total_money_won
T74,T74,Scott Piercy,26,5.44,"$1,882,336","$34,570,800",2018,pct_total_money_won
76,76,Kiradech Aphibarnrat,14,5.4,"$1,275,483","$23,608,000",2018,pct_total_money_won
77,77,Charl Schwartzel,20,5.38,"$1,710,178","$31,781,800",2018,pct_total_money_won
78,78,Ryan Palmer,22,5.37,"$1,484,444","$27,640,800",2018,pct_total_money_won
79,79,Zach Johnson,25,5.36,"$1,957,634","$36,494,800",2018,pct_total_money_won
80,80,Charles Howell III,28,5.34,"$2,179,724","$40,845,000",2018,pct_total_money_won
81,81,Bernd Wiesberger,5,5.21,"$428,632","$8,228,000",2018,pct_total_money_won
82,82,Branden Grace,18,5.15,"$1,529,288","$29,701,000",2018,pct_total_money_won
83,83,Adam Hadwin,25,5.08,"$1,932,487","$38,027,000",2018,pct_total_money_won
84,84,Si Woo Kim,31,5.04,"$2,276,113","$45,137,000",2018,pct_total_money_won
85,85,Ryan Yip,1,5.01,"$55,888","$1,116,000",2018,pct_total_money_won
86,86,"Ted Potter, Jr.",28,5,"$1,976,197","$39,500,000",2018,pct_total_money_won
87,87,Whee Kim,30,4.93,"$1,920,339","$38,935,800",2018,pct_total_money_won
88,88,Daniel Berger,23,4.92,"$1,721,763","$34,967,800",2018,pct_total_money_won
89,89,Chris Kirk,29,4.9,"$1,824,111","$37,225,800",2018,pct_total_money_won
90,90,C.T. Pan,30,4.87,"$1,881,787","$38,629,800",2018,pct_total_money_won
91,91,Peter Uihlein,26,4.84,"$1,797,715","$37,128,800",2018,pct_total_money_won
92,92,J.B. Holmes,24,4.82,"$1,595,941","$33,103,800",2018,pct_total_money_won
93,93,Hyun-woo Ryu,1,4.79,"$79,500","$1,660,000",2018,pct_total_money_won
94,94,Matt Kuchar,24,4.76,"$1,720,097","$36,146,800",2018,pct_total_money_won
95,95,Thomas Pieters,11,4.63,"$813,227","$17,579,000",2018,pct_total_money_won
96,96,Jason Kokrak,29,4.61,"$1,794,430","$38,934,000",2018,pct_total_money_won
97,97,Jason Dufner,22,4.6,"$1,497,654","$32,534,800",2018,pct_total_money_won
98,98,Kevin Chappell,23,4.59,"$1,608,338","$35,052,000",2018,pct_total_money_won
T99,T99,Joel Dahmen,28,4.55,"$1,476,838","$32,428,800",2018,pct_total_money_won
T99,T99,Keith Mitchell,29,4.55,"$1,641,260","$36,100,800",2018,pct_total_money_won
101,101,Abraham Ancer,30,4.43,"$1,676,694","$37,872,800",2018,pct_total_money_won
102,102,Kevin Streelman,27,4.35,"$1,523,642","$35,010,000",2018,pct_total_money_won
103,103,Russell Henley,23,4.3,"$1,516,437","$35,273,000",2018,pct_total_money_won
104,104,Joost Luiten,1,4.29,"$73,000","$1,700,000",2018,pct_total_money_won
105,105,David Lipsky,3,4.22,"$194,950","$4,620,000",2018,pct_total_money_won
106,106,Andres Romero,6,4.18,"$206,764","$4,942,800",2018,pct_total_money_won
107,107,Anirban Lahiri,24,4.16,"$1,441,204","$34,613,000",2018,pct_total_money_won
108,108,Nick Watney,26,4.12,"$1,402,832","$34,030,800",2018,pct_total_money_won
109,109,Troy Merritt,27,4.1,"$1,326,988","$32,374,800",2018,pct_total_money_won
110,110,Brandon Stone,5,4.09,"$364,939","$8,930,000",2018,pct_total_money_won
111,111,Alex Cejka,24,4.07,"$1,198,540","$29,458,800",2018,pct_total_money_won
T112,T112,Bronson Burgoon,24,4.02,"$1,179,616","$29,322,000",2018,pct_total_money_won
T112,T112,Bud Cauley,17,4.02,"$900,590","$22,429,800",2018,pct_total_money_won
114,114,Trey Mullinax,24,4.01,"$1,184,244","$29,530,800",2018,pct_total_money_won
115,115,Oscar Fraustro,1,3.98,"$50,804","$1,278,000",2018,pct_total_money_won
116,116,Michael Kim,27,3.97,"$1,379,736","$34,750,800",2018,pct_total_money_won
117,117,Jamie Lovemark,26,3.95,"$1,377,286","$34,885,800",2018,pct_total_money_won
118,118,Sean O'Hair,22,3.92,"$1,104,864","$28,162,800",2018,pct_total_money_won
119,119,James Hahn,26,3.9,"$1,386,301","$35,567,000",2018,pct_total_money_won
T120,T120,Paul Dunne,8,3.89,"$468,937","$12,062,000",2018,pct_total_money_won
T120,T120,Haydn Porteous,1,3.89,"$64,500","$1,660,000",2018,pct_total_money_won
T120,T120,Richard Sterne,1,3.89,"$64,500","$1,660,000",2018,pct_total_money_won
T120,T120,Julian Suri,10,3.89,"$562,165","$14,444,000",2018,pct_total_money_won
124,124,Brice Garnett,30,3.85,"$1,466,224","$38,044,800",2018,pct_total_money_won
125,125,Wade Ormsby,2,3.82,"$129,750","$3,400,000",2018,pct_total_money_won
126,126,Matthew Fitzpatrick,13,3.81,"$830,393","$21,808,000",2018,pct_total_money_won
127,127,Sergio Garcia,15,3.79,"$878,353","$23,182,800",2018,pct_total_money_won
128,128,K.T. Kim,1,3.78,"$62,900","$1,665,000",2018,pct_total_money_won
T129,T129,Charley Hoffman,25,3.75,"$1,400,637","$37,330,800",2018,pct_total_money_won
T129,T129,Russell Knox,27,3.75,"$1,424,030","$37,926,800",2018,pct_total_money_won
131,131,J.T. Poston,22,3.72,"$940,660","$25,300,800",2018,pct_total_money_won
132,132,Martin Laird,22,3.68,"$1,017,579","$27,640,800",2018,pct_total_money_won
T133,T133,Matthieu Pavon,1,3.67,"$79,200","$2,160,000",2018,pct_total_money_won
T133,T133,Steve Stricker,12,3.67,"$582,566","$15,886,800",2018,pct_total_money_won
135,135,Kelly Kraft,31,3.65,"$1,496,252","$40,951,800",2018,pct_total_money_won
136,136,Grayson Murray,22,3.61,"$1,056,628","$29,241,000",2018,pct_total_money_won
137,137,Harold Varner III,27,3.58,"$1,223,063","$34,165,800",2018,pct_total_money_won
