RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES,year,measure
1,1,Cameron Champ,78,317.9,"48,322",152,2019,avg_driv_dist
2,2,Rory McIlroy,72,313.5,"40,123",128,2019,avg_driv_dist
3,3,Luke List,66,313.3,"39,481",126,2019,avg_driv_dist
4,5,Dustin Johnson,73,312,"41,178",132,2019,avg_driv_dist
5,4,Wyndham Clark,87,311.8,"53,004",170,2019,avg_driv_dist
6,6,Bubba Watson,65,311.6,"36,142",116,2019,avg_driv_dist
7,7,Seth Reeves,73,311.4,"41,733",134,2019,avg_driv_dist
8,8,Trey Mullinax,77,310.2,"45,285",146,2019,avg_driv_dist
9,9,Tony Finau,89,309.5,"49,523",160,2019,avg_driv_dist
T10,T13,Brooks Koepka,81,309,"40,794",132,2019,avg_driv_dist
T10,10,Cameron Davis,76,309,"44,493",144,2019,avg_driv_dist
12,T13,Jhonattan Vegas,75,308.3,"44,401",144,2019,avg_driv_dist
13,12,Gary Woodland,87,308.2,"46,842",152,2019,avg_driv_dist
14,15,Sam Burns,80,307.2,"47,917",156,2019,avg_driv_dist
15,16,Byeong Hun An,80,307.1,"39,920",130,2019,avg_driv_dist
16,17,J.B. Holmes,78,306.7,"38,648",126,2019,avg_driv_dist
T17,20,Jason Kokrak,94,306.4,"50,250",164,2019,avg_driv_dist
T17,18,Ollie Schniederjans,77,306.4,"43,513",142,2019,avg_driv_dist
19,19,Phil Mickelson,63,306.3,"36,755",120,2019,avg_driv_dist
20,21,Jon Rahm,75,305.6,"39,113",128,2019,avg_driv_dist
21,22,Patrick Cantlay,77,304.7,"41,440",136,2019,avg_driv_dist
22,23,Sepp Straka,78,304.4,"43,833",144,2019,avg_driv_dist
23,24,Brandon Harkins,91,304.3,"50,515",166,2019,avg_driv_dist
24,T28,Xander Schauffele,77,304.1,"37,706",124,2019,avg_driv_dist
T25,T25,Martin Trainer,63,303.8,"37,069",122,2019,avg_driv_dist
T25,T25,Kevin Tway,84,303.8,"43,741",144,2019,avg_driv_dist
27,T28,Alex Prugh,77,303.7,"43,122",142,2019,avg_driv_dist
T28,T25,Justin Rose,66,303.2,"35,171",116,2019,avg_driv_dist
T28,30,Keith Mitchell,86,303.2,"45,475",150,2019,avg_driv_dist
30,31,Rickie Fowler,76,303.1,"46,071",152,2019,avg_driv_dist
31,32,Hideki Matsuyama,91,303,"48,481",160,2019,avg_driv_dist
32,33,Charles Howell III,94,302.8,"50,270",166,2019,avg_driv_dist
33,34,Aaron Wise,72,302.6,"41,763",138,2019,avg_driv_dist
T34,39,Bryson DeChambeau,75,302.5,"43,555",144,2019,avg_driv_dist
T34,T35,Sergio Garcia,53,302.5,"26,616",88,2019,avg_driv_dist
T34,T35,Brendan Steele,68,302.5,"32,672",108,2019,avg_driv_dist
37,40,Justin Thomas,75,302.2,"38,682",128,2019,avg_driv_dist
T38,T37,Jason Day,69,302,"33,819",112,2019,avg_driv_dist
T38,T37,Harold Varner III,84,302,"49,521",164,2019,avg_driv_dist
40,41,Nick Watney,87,301.7,"45,248",150,2019,avg_driv_dist
41,42,Joaquin Niemann,98,301.5,"55,474",184,2019,avg_driv_dist
42,43,Danny Lee,83,301.4,"46,415",154,2019,avg_driv_dist
43,44,Alex Noren,63,301.1,"31,314",104,2019,avg_driv_dist
T44,T45,Harris English,97,301,"54,774",182,2019,avg_driv_dist
T44,T45,Carlos Ortiz,84,301,"49,366",164,2019,avg_driv_dist
T44,T45,Daniel Berger,70,301,"39,735",132,2019,avg_driv_dist
47,48,Adam Schenk,102,300.8,"60,155",200,2019,avg_driv_dist
48,49,Sung Kang,86,300.5,"48,074",160,2019,avg_driv_dist
49,50,Max Homa,82,300.2,"48,029",160,2019,avg_driv_dist
50,51,John Chin,58,300,"32,399",108,2019,avg_driv_dist
51,52,Sam Saunders,78,299.9,"44,388",148,2019,avg_driv_dist
52,53,Patrick Rodgers,55,299.8,"30,579",102,2019,avg_driv_dist
53,54,Beau Hossler,87,299.4,"44,913",150,2019,avg_driv_dist
54,55,Adam Scott,63,299.3,"31,731",106,2019,avg_driv_dist
55,56,Jimmy Walker,74,299.2,"39,488",132,2019,avg_driv_dist
56,57,Chase Wright,75,299.1,"41,274",138,2019,avg_driv_dist
57,58,Martin Laird,88,298.9,"47,816",160,2019,avg_driv_dist
58,59,Sebastián Muñoz,86,298.8,"47,814",160,2019,avg_driv_dist
59,62,Tommy Fleetwood,71,298.7,"35,841",120,2019,avg_driv_dist
60,60,Ryan Palmer,74,298.6,"34,637",116,2019,avg_driv_dist
