RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:OTT,MEASURED ROUNDS,year,measure
1,1,Rory McIlroy,72,1.195,68.123,57,2019,sg_off_tee
2,3,Jhonattan Vegas,75,0.753,45.956,61,2019,sg_off_tee
3,4,Bubba Watson,65,0.743,37.171,50,2019,sg_off_tee
4,5,Dustin Johnson,73,0.703,39.36,56,2019,sg_off_tee
5,2,Jon Rahm,75,0.692,36.683,53,2019,sg_off_tee
T6,T6,Cameron Champ,78,0.657,44.681,68,2019,sg_off_tee
T6,T6,Keith Mitchell,86,0.657,40.068,61,2019,sg_off_tee
8,8,Corey Conners,90,0.653,45.081,69,2019,sg_off_tee
9,9,Paul Casey,79,0.614,33.761,55,2019,sg_off_tee
10,10,Abraham Ancer,93,0.575,40.829,71,2019,sg_off_tee
11,11,Jason Kokrak,94,0.55,41.268,75,2019,sg_off_tee
12,12,Tommy Fleetwood,71,0.545,27.234,50,2019,sg_off_tee
13,14,Jason Day,69,0.535,25.142,47,2019,sg_off_tee
14,15,Aaron Wise,72,0.533,28.799,54,2019,sg_off_tee
15,18,Brendan Steele,68,0.518,26.392,51,2019,sg_off_tee
16,20,Luke List,66,0.481,26.46,55,2019,sg_off_tee
17,24,Justin Thomas,75,0.479,26.831,56,2019,sg_off_tee
18,13,Patrick Cantlay,77,0.475,27.052,57,2019,sg_off_tee
19,T16,Gary Woodland,87,0.472,30.689,65,2019,sg_off_tee
20,21,Emiliano Grillo,85,0.47,25.847,55,2019,sg_off_tee
21,T16,Brooks Koepka,81,0.468,27.146,58,2019,sg_off_tee
22,19,Xander Schauffele,77,0.456,24.184,53,2019,sg_off_tee
23,22,Tony Finau,89,0.439,28.546,65,2019,sg_off_tee
24,25,Bryson DeChambeau,75,0.421,27.76,66,2019,sg_off_tee
25,26,Kevin Streelman,83,0.383,26.403,69,2019,sg_off_tee
26,23,Hideki Matsuyama,91,0.381,27.796,73,2019,sg_off_tee
27,27,Alex Prugh,77,0.379,21.625,57,2019,sg_off_tee
28,28,Sepp Straka,78,0.378,21.947,58,2019,sg_off_tee
29,T30,Byeong Hun An,80,0.351,21.39,61,2019,sg_off_tee
30,32,Sergio Garcia,53,0.35,13.284,38,2019,sg_off_tee
31,34,Daniel Berger,70,0.344,20.279,59,2019,sg_off_tee
32,35,Seth Reeves,73,0.343,18.158,53,2019,sg_off_tee
T33,36,Trey Mullinax,77,0.341,21.462,63,2019,sg_off_tee
T33,29,Sungjae Im,122,0.341,34.063,100,2019,sg_off_tee
T35,T37,Matthew Fitzpatrick,54,0.338,12.492,37,2019,sg_off_tee
T35,T37,Joaquin Niemann,98,0.338,27.054,80,2019,sg_off_tee
37,T30,Lucas Glover,94,0.337,27.273,81,2019,sg_off_tee
38,39,Kramer Hickok,79,0.336,19.811,59,2019,sg_off_tee
39,40,Brian Harman,91,0.312,22.147,71,2019,sg_off_tee
40,41,Adam Hadwin,86,0.31,19.223,62,2019,sg_off_tee
41,42,Matt Jones,88,0.304,20.059,66,2019,sg_off_tee
42,43,Rory Sabbatini,97,0.3,22.832,76,2019,sg_off_tee
43,33,Adam Scott,63,0.285,12.556,44,2019,sg_off_tee
44,44,Brice Garnett,87,0.281,18.285,65,2019,sg_off_tee
45,45,Sam Burns,80,0.277,18.832,68,2019,sg_off_tee
46,47,Dylan Frittelli,83,0.272,18.521,68,2019,sg_off_tee
47,48,Scott Piercy,90,0.27,18.926,70,2019,sg_off_tee
48,50,Jason Dufner,74,0.264,15.03,57,2019,sg_off_tee
T49,51,Hunter Mahan,59,0.262,12.326,47,2019,sg_off_tee
T49,46,Charles Howell III,94,0.262,19.125,73,2019,sg_off_tee
51,52,Harold Varner III,84,0.26,19.226,74,2019,sg_off_tee
52,53,Ryan Palmer,74,0.255,13.021,51,2019,sg_off_tee
53,T54,Chez Reavie,99,0.254,17.799,70,2019,sg_off_tee
54,T54,Joel Dahmen,100,0.249,18.944,76,2019,sg_off_tee
55,49,Rickie Fowler,76,0.247,15.541,63,2019,sg_off_tee
56,56,Keegan Bradley,89,0.238,15.975,67,2019,sg_off_tee
57,57,Austin Cook,68,0.236,12.51,53,2019,sg_off_tee
T58,T58,Max Homa,82,0.213,14.713,69,2019,sg_off_tee
T58,T58,Adam Svensson,73,0.213,11.74,55,2019,sg_off_tee
60,61,J.B. Holmes,78,0.21,10.096,48,2019,sg_off_tee
61,62,Jim Herman,52,0.203,7.706,38,2019,sg_off_tee
62,63,Scott Brown,86,0.199,13.563,68,2019,sg_off_tee
63,64,Cameron Davis,76,0.197,11.201,57,2019,sg_off_tee
64,T65,Joey Garber,63,0.191,8.222,43,2019,sg_off_tee
65,67,Andrew Landry,80,0.185,12.016,65,2019,sg_off_tee
66,68,Rafa Cabrera Bello,71,0.18,8.616,48,2019,sg_off_tee
67,T58,Justin Rose,66,0.179,8.76,49,2019,sg_off_tee
68,69,Carlos Ortiz,84,0.177,12.724,72,2019,sg_off_tee
69,70,Tyrrell Hatton,62,0.176,7.399,42,2019,sg_off_tee
70,72,Sung Kang,86,0.165,11.577,70,2019,sg_off_tee
71,73,Ben Silverman,70,0.164,9.176,56,2019,sg_off_tee
72,75,Patrick Rodgers,55,0.157,7.065,45,2019,sg_off_tee
73,76,Tyler Duncan,89,0.156,10.168,65,2019,sg_off_tee
74,71,Kevin Kisner,97,0.149,10.604,71,2019,sg_off_tee
T75,77,Billy Horschel,99,0.145,10.029,69,2019,sg_off_tee
T75,74,Patrick Reed,93,0.145,10.556,73,2019,sg_off_tee
77,78,Russell Henley,78,0.137,8.335,61,2019,sg_off_tee
78,79,Nick Taylor,97,0.135,11.582,86,2019,sg_off_tee
79,85,Louis Oosthuizen,71,0.13,6.251,48,2019,sg_off_tee
80,80,Kyoung-Hoon Lee,92,0.125,7.721,62,2019,sg_off_tee
81,81,Roberto Díaz,73,0.118,6.016,51,2019,sg_off_tee
82,82,Ryan Moore,74,0.114,7.161,63,2019,sg_off_tee
83,83,Danny Willett,63,0.108,5.42,50,2019,sg_off_tee
84,84,Francesco Molinari,61,0.105,4.425,42,2019,sg_off_tee
85,T86,Martin Laird,88,0.1,7.304,73,2019,sg_off_tee
T86,T88,Danny Lee,83,0.085,6.136,72,2019,sg_off_tee
T86,T88,Hank Lebioda,76,0.085,4.946,58,2019,sg_off_tee
88,90,Wyndham Clark,87,0.084,6.121,73,2019,sg_off_tee
89,91,Alex Noren,63,0.083,3.573,43,2019,sg_off_tee
90,92,Josh Teater,73,0.081,4.28,53,2019,sg_off_tee
91,93,Adam Schenk,102,0.08,6.537,82,2019,sg_off_tee
92,94,Wes Roach,69,0.079,3.884,49,2019,sg_off_tee
93,T95,Si Woo Kim,87,0.066,3.92,59,2019,sg_off_tee
94,T86,Matt Kuchar,87,0.063,4.19,66,2019,sg_off_tee
95,97,Denny McCarthy,89,0.061,4.207,69,2019,sg_off_tee
96,98,Richy Werenski,89,0.057,4.134,73,2019,sg_off_tee
97,99,Bronson Burgoon,59,0.054,2.556,47,2019,sg_off_tee
98,100,Zach Johnson,64,0.053,2.822,53,2019,sg_off_tee
99,101,Charley Hoffman,74,0.049,2.321,47,2019,sg_off_tee
T100,T102,Fabián Gómez,62,0.048,2.312,48,2019,sg_off_tee
T100,T102,Beau Hossler,87,0.048,3.239,68,2019,sg_off_tee
102,105,Jim Knous,57,0.041,1.589,39,2019,sg_off_tee
103,106,Sam Ryder,76,0.038,2.259,60,2019,sg_off_tee
104,107,Kyle Stanley,81,0.037,2.027,55,2019,sg_off_tee
105,108,J.T. Poston,100,0.032,2.855,88,2019,sg_off_tee
106,109,Brandon Harkins,91,0.03,2.09,69,2019,sg_off_tee
107,110,Branden Grace,76,0.024,1.093,45,2019,sg_off_tee
108,111,Sangmoon Bae,60,0.02,0.785,40,2019,sg_off_tee
T109,T112,Russell Knox,79,0.013,0.741,59,2019,sg_off_tee
T109,T112,Chase Wright,75,0.013,0.756,57,2019,sg_off_tee
111,114,Nick Watney,87,0.01,0.669,69,2019,sg_off_tee
112,115,Scott Stallings,82,0.009,0.58,68,2019,sg_off_tee
113,116,Jonas Blixt,82,-0.003,-0.22,64,2019,sg_off_tee
114,T95,Webb Simpson,81,-0.007,-0.517,69,2019,sg_off_tee
115,117,Kiradech Aphibarnrat,65,-0.015,-0.691,45,2019,sg_off_tee
116,118,Harris English,97,-0.024,-1.92,79,2019,sg_off_tee
117,119,Kyle Jones,72,-0.03,-1.617,54,2019,sg_off_tee
118,120,Adam Long,76,-0.036,-2.473,68,2019,sg_off_tee
119,121,Michael Thompson,71,-0.045,-2.892,65,2019,sg_off_tee
120,122,J.J. Spaun,90,-0.046,-2.93,64,2019,sg_off_tee
121,123,Hudson Swafford,59,-0.047,-2.199,47,2019,sg_off_tee
122,124,Sebastián Muñoz,86,-0.048,-3.068,64,2019,sg_off_tee
123,125,Ryan Blaum,90,-0.052,-3.745,72,2019,sg_off_tee
124,127,Troy Merritt,69,-0.054,-3.002,56,2019,sg_off_tee
125,128,José de Jesús Rodríguez,67,-0.067,-3.259,49,2019,sg_off_tee
126,129,Mackenzie Hughes,80,-0.068,-4.502,66,2019,sg_off_tee
T127,T130,Roger Sloan,88,-0.072,-5.063,70,2019,sg_off_tee
T127,T130,Jim Furyk,73,-0.072,-4.11,57,2019,sg_off_tee
129,132,Martin Trainer,63,-0.075,-3.743,50,2019,sg_off_tee
130,126,Marc Leishman,76,-0.077,-4.36,57,2019,sg_off_tee
131,133,Ian Poulter,65,-0.078,-3.445,44,2019,sg_off_tee
132,134,Bill Haas,77,-0.083,-5.045,61,2019,sg_off_tee
133,135,Alex Cejka,58,-0.092,-3.667,40,2019,sg_off_tee
T134,T136,J.J. Henry,58,-0.099,-4.046,41,2019,sg_off_tee
T134,T136,Kevin Tway,84,-0.099,-6.619,67,2019,sg_off_tee
136,138,Ryan Armour,92,-0.103,-7.737,75,2019,sg_off_tee
137,139,Cameron Tringale,73,-0.108,-5.519,51,2019,sg_off_tee
138,140,John Chin,58,-0.112,-4.245,38,2019,sg_off_tee
139,141,C.T. Pan,84,-0.114,-6.824,60,2019,sg_off_tee
140,142,Cameron Smith,79,-0.123,-6.538,53,2019,sg_off_tee
141,143,Sam Saunders,78,-0.136,-9.094,67,2019,sg_off_tee
142,145,David Hearn,55,-0.158,-5.383,34,2019,sg_off_tee
143,146,Bud Cauley,82,-0.163,-12.025,74,2019,sg_off_tee
144,148,Tom Hoge,98,-0.179,-12.856,72,2019,sg_off_tee
145,149,Jimmy Walker,74,-0.181,-10.29,57,2019,sg_off_tee
146,T150,Rod Pampling,56,-0.187,-7.678,41,2019,sg_off_tee
147,T150,Brandt Snedeker,102,-0.193,-15.454,80,2019,sg_off_tee
148,152,Johnson Wagner,64,-0.2,-9.413,47,2019,sg_off_tee
