RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,TOTAL,DISTANCE RANK,ACCURACY RANK,year,measure
1,3,Jonathan Byrd,25,92,33,59,2009,total_driving
2,T1,Lucas Glover,26,95,25,70,2009,total_driving
T3,5,John Rollins,27,97,30,67,2009,total_driving
T3,T1,Kenny Perry,24,97,48,49,2009,total_driving
T5,4,Robert Allenby,21,98,48,50,2009,total_driving
T5,6,Boo Weekley,22,98,62,36,2009,total_driving
7,7,Hunter Mahan,25,102,28,74,2009,total_driving
T8,9,Greg Owen,30,104,59,45,2009,total_driving
T8,T10,Heath Slocum,30,104,97,7,2009,total_driving
T8,T10,Ryan Moore,27,104,33,71,2009,total_driving
11,13,Kirk Triplett,20,105,100,5,2009,total_driving
12,8,Tiger Woods,17,107,21,86,2009,total_driving
13,12,Charles Warren,20,111,18,93,2009,total_driving
14,T18,Scott McCarron,27,117,114,3,2009,total_driving
15,T15,John Senden,29,118,40,78,2009,total_driving
16,17,Michael Allen,22,119,80,39,2009,total_driving
T17,14,Jeff Maggert,28,121,83,38,2009,total_driving
T17,T15,Martin Laird,24,121,14,107,2009,total_driving
19,T18,Kris Blanks,20,122,65,57,2009,total_driving
20,22,David Toms,27,123,119,4,2009,total_driving
21,T20,Bo Van Pelt,30,124,56,68,2009,total_driving
T22,30,D.J. Trahan,30,126,79,47,2009,total_driving
T22,23,Jason Bohn,25,126,108,18,2009,total_driving
T24,25,Tommy Armour III,19,129,95,34,2009,total_driving
T24,26,Nicholas Thompson,31,129,38,91,2009,total_driving
26,27,Mathew Goggin,26,131,69,62,2009,total_driving
T27,24,Bill Haas,29,132,22,110,2009,total_driving
T27,T20,Jason Gore,24,132,72,60,2009,total_driving
29,29,Ted Purdy,30,134,45,89,2009,total_driving
T30,33,Billy Mayfair,28,139,119,20,2009,total_driving
T30,31,Steve Marino,29,139,35,104,2009,total_driving
32,T38,Will MacKenzie,24,140,78,62,2009,total_driving
33,32,Steve Elkington,23,142,107,35,2009,total_driving
34,34,Steve Lowery,27,143,74,69,2009,total_driving
35,28,Peter Tomasulo,25,144,50,94,2009,total_driving
36,T36,Ernie Els,19,145,68,77,2009,total_driving
T37,T41,Mark Wilson,28,146,118,28,2009,total_driving
T37,35,Troy Matteson,30,146,9,137,2009,total_driving
39,T38,Jason Dufner,26,148,102,46,2009,total_driving
T40,T36,Bill Lunde,27,149,57,92,2009,total_driving
T40,T43,Jay Williamson,22,149,123,26,2009,total_driving
42,T43,Ben Crane,27,150,109,41,2009,total_driving
43,T46,Tim Clark,23,152,150,2,2009,total_driving
44,T48,Zach Johnson,26,153,143,10,2009,total_driving
T45,T41,Ryan Palmer,26,154,26,128,2009,total_driving
T45,40,John Merrick,28,154,29,125,2009,total_driving
47,T48,Justin Leonard,26,155,123,32,2009,total_driving
T48,T51,Scott Verplank,24,156,145,11,2009,total_driving
T48,T48,Sergio Garcia,17,156,18,138,2009,total_driving
T50,T51,Steve Stricker,22,157,104,53,2009,total_driving
T50,T46,Davis Love III,27,157,14,143,2009,total_driving
T52,T59,Joe Durant,20,158,157,1,2009,total_driving
T52,T51,Marc Leishman,28,158,17,141,2009,total_driving
54,T55,Kevin Streelman,29,159,30,129,2009,total_driving
T55,T51,Matt Weibring,22,160,84,76,2009,total_driving
T55,T55,Jeff Klauk,29,160,147,13,2009,total_driving
57,58,Nick Watney,24,161,6,155,2009,total_driving
T58,T55,Robert Garrigus,25,162,1,161,2009,total_driving
T58,45,Patrick Sheehan,15,162,146,16,2009,total_driving
60,T59,Charlie Wi,28,164,112,52,2009,total_driving
61,T66,Darron Stiles,20,165,153,12,2009,total_driving
T62,61,Alex Cejka,25,167,143,24,2009,total_driving
T62,T62,Charley Hoffman,27,167,11,156,2009,total_driving
T62,T72,Stephen Ames,23,167,94,73,2009,total_driving
65,T66,Kent Jones,24,168,141,27,2009,total_driving
T66,70,Justin Rose,22,169,90,79,2009,total_driving
T66,T64,Tag Ridings,16,169,4,165,2009,total_driving
T66,T62,Sean O'Hair,23,169,46,123,2009,total_driving
69,T64,J.J. Henry,28,171,44,127,2009,total_driving
T70,T68,Vijay Singh,21,172,41,131,2009,total_driving
T70,T76,Chris Stroud,28,172,72,100,2009,total_driving
T70,T68,Jason Day,18,172,36,136,2009,total_driving
T70,T74,Johnson Wagner,26,172,88,84,2009,total_driving
T70,71,Dustin Johnson,25,172,3,169,2009,total_driving
T75,T79,Chez Reavie,27,173,154,19,2009,total_driving
T75,T74,Chad Campbell,26,173,70,103,2009,total_driving
77,T76,James Nitties,27,174,63,111,2009,total_driving
T78,T76,Camilo Villegas,21,176,50,126,2009,total_driving
T78,T79,Chris Riley,22,176,167,9,2009,total_driving
T80,T82,Jim Furyk,23,177,152,25,2009,total_driving
T80,T82,Bob Estes,23,177,137,40,2009,total_driving
T80,T72,Michael Letzig,28,177,43,134,2009,total_driving
T80,T87,Colt Knost,24,177,154,23,2009,total_driving
T84,93,Brian Davis,32,178,127,51,2009,total_driving
T84,T91,D.A. Points,29,178,141,37,2009,total_driving
86,T82,Scott Piercy,28,179,12,167,2009,total_driving
87,86,Bubba Watson,24,180,2,178,2009,total_driving
T88,T87,Harrison Frazar,28,182,10,172,2009,total_driving
T88,T87,Gary Woodland,18,182,5,177,2009,total_driving
90,T87,Bart Bryant,17,183,175,8,2009,total_driving
T91,T94,Daniel Chopra,28,185,26,159,2009,total_driving
T91,97,Vaughn Taylor,28,185,129,56,2009,total_driving
T91,T94,Adam Scott,19,185,37,148,2009,total_driving
94,T91,Briny Baird,28,186,138,48,2009,total_driving
T95,T98,Rod Pampling,23,187,90,97,2009,total_driving
T95,102,Bob Heintz,20,187,123,64,2009,total_driving
T97,T98,Stewart Cink,22,188,39,149,2009,total_driving
T97,T94,Tim Petrovic,31,188,133,55,2009,total_driving
T99,T103,Brian Gay,27,189,183,6,2009,total_driving
T99,T98,Ángel Cabrera,17,189,8,181,2009,total_driving
T101,T98,Fred Couples,16,190,24,166,2009,total_driving
T101,T109,Brandt Snedeker,26,190,169,21,2009,total_driving
T103,T103,J.B. Holmes,25,191,7,184,2009,total_driving
T103,T82,Casey Wittenberg,25,191,109,82,2009,total_driving
T103,81,Brian Vranesh,20,191,89,102,2009,total_driving
T103,T103,Anthony Kim,22,191,16,175,2009,total_driving
T107,T112,Matt Jones,17,192,23,169,2009,total_driving
T107,T103,Kevin Stadler,20,192,75,117,2009,total_driving
T107,T107,Phil Mickelson,18,192,13,179,2009,total_driving
T107,T112,Kevin Sutherland,27,192,80,112,2009,total_driving
T111,T123,Jerry Kelly,26,193,114,79,2009,total_driving
T111,T117,K.J. Choi,22,193,150,43,2009,total_driving
