RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,TOTAL,DISTANCE RANK,ACCURACY RANK,year,measure
1,2,Scott Gutschewski,19,83,11,72,2006,total_driving
2,1,Chris Smith,21,84,24,60,2006,total_driving
3,3,Nicholas Thompson,32,89,48,41,2006,total_driving
4,4,Hunter Mahan,29,91,57,34,2006,total_driving
5,T5,Robert Allenby,22,93,64,29,2006,total_driving
6,T5,Joe Durant,28,94,93,1,2006,total_driving
7,T7,Greg Owen,24,101,54,47,2006,total_driving
8,T7,Kenny Perry,22,102,69,33,2006,total_driving
9,9,Charles Warren,27,104,20,84,2006,total_driving
10,T11,Lucas Glover,31,114,23,91,2006,total_driving
11,13,Jonathan Byrd,20,115,33,82,2006,total_driving
12,14,John Senden,28,117,44,73,2006,total_driving
13,15,Padraig Harrington,15,119,60,59,2006,total_driving
14,16,Ian Poulter,15,120,100,20,2006,total_driving
15,17,Ryan Moore,22,124,74,50,2006,total_driving
16,10,Brett Wetterich,25,126,4,122,2006,total_driving
17,T18,Jonathan Kaye,32,128,61,67,2006,total_driving
18,T18,John Rollins,28,129,50,79,2006,total_driving
19,20,Bubba Dickerson,32,132,27,105,2006,total_driving
20,T22,Adam Scott,19,133,16,117,2006,total_driving
21,21,Steve Elkington,17,134,127,7,2006,total_driving
T22,T24,Brian Davis,28,137,115,22,2006,total_driving
T22,T22,David Branshaw,29,137,102,35,2006,total_driving
24,T24,Nick Watney,29,139,18,121,2006,total_driving
25,26,Mathew Goggin,26,140,45,95,2006,total_driving
T26,T27,Kevin Sutherland,29,143,67,76,2006,total_driving
T26,T27,Will MacKenzie,29,143,40,103,2006,total_driving
T28,T30,Tiger Woods,15,145,6,139,2006,total_driving
T28,29,Harrison Frazar,29,145,9,136,2006,total_driving
T30,T33,Henrik Bjornstad,31,146,39,107,2006,total_driving
T30,T30,Rich Beem,27,146,48,98,2006,total_driving
32,32,Kent Jones,32,147,110,37,2006,total_driving
33,T33,Jason Bohn,29,148,95,53,2006,total_driving
34,T36,Briny Baird,25,151,135,16,2006,total_driving
35,35,Jeff Gove,29,152,88,64,2006,total_driving
T36,T36,Alex Cejka,30,153,96,57,2006,total_driving
T36,T36,Eric Axley,29,153,61,92,2006,total_driving
T36,41,Duffy Waldorf,28,153,115,38,2006,total_driving
39,42,Daisuke Maruyama,25,154,139,15,2006,total_driving
40,40,Chris Couch,27,155,21,134,2006,total_driving
41,43,Chris Riley,27,157,139,18,2006,total_driving
42,T36,Davis Love III,23,158,14,144,2006,total_driving
43,T45,J.P. Hayes,19,159,108,51,2006,total_driving
T44,49,Brent Geiberger,30,161,113,48,2006,total_driving
T44,T45,Sean O'Hair,30,161,71,90,2006,total_driving
46,T45,Ted Purdy,33,162,101,61,2006,total_driving
T47,44,David Toms,22,163,133,30,2006,total_driving
T47,T51,Ryan Palmer,30,163,47,116,2006,total_driving
T49,T53,Mathias Grönberg,30,164,54,110,2006,total_driving
T49,T53,Matt Hansen,25,164,19,145,2006,total_driving
T51,T51,Brandt Jobe,28,165,37,128,2006,total_driving
T51,57,Jason Gore,29,165,22,143,2006,total_driving
T53,50,Jim Furyk,24,167,159,8,2006,total_driving
T53,56,Bart Bryant,26,167,156,11,2006,total_driving
T53,T53,D.J. Trahan,33,167,81,86,2006,total_driving
56,58,Heath Slocum,30,169,165,4,2006,total_driving
T57,61,Justin Rose,28,171,82,89,2006,total_driving
T57,T59,Zach Johnson,27,171,145,26,2006,total_driving
59,T45,Geoff Ogilvy,20,172,53,119,2006,total_driving
T60,T59,Trevor Immelman,24,173,58,115,2006,total_driving
T60,62,Bo Van Pelt,28,173,35,138,2006,total_driving
62,T63,Tjaart van der Walt,21,174,150,24,2006,total_driving
63,T65,Billy Mayfair,29,175,154,21,2006,total_driving
T64,T63,Paul Stankowski,22,176,51,125,2006,total_driving
T64,T65,Patrick Sheehan,34,176,105,71,2006,total_driving
T66,T68,Omar Uresti,22,177,171,6,2006,total_driving
T66,T65,Phil Mickelson,19,177,17,160,2006,total_driving
T66,T68,Charley Hoffman,29,177,10,167,2006,total_driving
T69,T74,Camilo Villegas,29,178,13,165,2006,total_driving
T69,T70,Jeff Maggert,26,178,164,14,2006,total_driving
T69,T70,Skip Kendall,22,178,165,13,2006,total_driving
T72,T74,Kirk Triplett,18,179,168,11,2006,total_driving
T72,T70,Troy Matteson,32,179,28,151,2006,total_driving
T74,T74,Robert Garrigus,28,180,3,177,2006,total_driving
T74,77,Frank Lickliter II,29,180,125,55,2006,total_driving
76,T70,K.J. Choi,26,182,112,70,2006,total_driving
T77,T80,Jeff Brehaut,33,183,125,58,2006,total_driving
T77,T84,Steve Stricker,17,183,134,49,2006,total_driving
T77,T80,Larry Mize,18,183,178,5,2006,total_driving
T80,T84,David McKenzie,28,184,142,42,2006,total_driving
T80,T78,Pat Perez,19,184,30,154,2006,total_driving
T80,T78,Kris Cox,28,184,30,154,2006,total_driving
T80,T82,Richard Johnson,29,184,148,36,2006,total_driving
84,T86,Brian Bateman,26,186,40,146,2006,total_driving
85,T82,Jeff Overton,28,187,26,161,2006,total_driving
86,T86,J.J. Henry,28,188,46,142,2006,total_driving
T87,T86,J.B. Holmes,26,189,2,187,2006,total_driving
T87,T89,Steve Flesch,33,189,124,65,2006,total_driving
T87,T89,Scott Verplank,25,189,186,3,2006,total_driving
T87,T89,Stephen Ames,21,189,88,101,2006,total_driving
T87,T89,Bob May,21,189,71,118,2006,total_driving
T92,T93,Joe Ogilvie,29,192,107,85,2006,total_driving
T92,T93,Bubba Watson,27,192,1,191,2006,total_driving
T94,96,Ron Whittaker,28,193,161,32,2006,total_driving
T94,95,Olin Browne,30,193,184,9,2006,total_driving
T96,T97,John Daly,21,195,5,190,2006,total_driving
T96,102,Freddie Jacobson,18,195,84,111,2006,total_driving
T98,99,Fred Funk,29,196,194,2,2006,total_driving
T98,T97,Tag Ridings,33,196,8,188,2006,total_driving
100,T100,Luke Donald,18,197,145,52,2006,total_driving
T101,T100,Roger Tambellini,25,198,24,174,2006,total_driving
T101,T103,Jerry Kelly,31,198,179,19,2006,total_driving
T103,T103,John Cook,22,199,182,17,2006,total_driving
T103,T106,Justin Leonard,26,199,154,45,2006,total_driving
T105,T110,Thomas Levet,18,200,113,87,2006,total_driving
T105,T106,Arjun Atwal,33,200,102,98,2006,total_driving
T105,T103,Sergio Garcia,17,200,71,129,2006,total_driving
T108,T110,Mike Sposa,25,201,138,63,2006,total_driving
T108,T108,Fred Couples,17,201,15,186,2006,total_driving
T108,T110,Robert Gamez,30,201,174,27,2006,total_driving
T108,T108,Ryan Hietala,23,201,7,194,2006,total_driving
112,T110,Paul Goydos,24,202,192,10,2006,total_driving
T113,T115,Marco Dawson,27,203,77,126,2006,total_driving
