RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES,year,measure
1,1,Bubba Watson,80,315.2,"50,435",160,2007,avg_driv_dist
2,2,John Daly,59,312.9,"36,921",118,2007,avg_driv_dist
3,3,J.B. Holmes,71,312.6,"43,132",138,2007,avg_driv_dist
4,4,Robert Garrigus,95,310.5,"58,995",190,2007,avg_driv_dist
5,5,Scott Gutschewski,67,306.1,"38,569",126,2007,avg_driv_dist
6,6,Tag Ridings,52,303.9,"30,386",100,2007,avg_driv_dist
7,7,Brett Wetterich,88,303.3,"52,772",174,2007,avg_driv_dist
8,10,Jason Gore,86,303,"52,120",172,2007,avg_driv_dist
T9,8,Charles Warren,101,302.8,"61,158",202,2007,avg_driv_dist
T9,9,Harrison Frazar,88,302.8,"52,075",172,2007,avg_driv_dist
11,11,Bill Haas,93,302.7,"53,882",178,2007,avg_driv_dist
T12,T14,Anthony Kim,93,302.4,"56,242",186,2007,avg_driv_dist
T12,T14,Steve Allan,63,302.4,"35,679",118,2007,avg_driv_dist
T12,T14,Tiger Woods,63,302.4,"36,292",120,2007,avg_driv_dist
15,12,Matt Hendrix,63,301.7,"36,809",122,2007,avg_driv_dist
16,13,Mathias Grönberg,95,301.5,"57,285",190,2007,avg_driv_dist
17,17,Nick Watney,87,301.4,"52,438",174,2007,avg_driv_dist
18,18,Adam Scott,69,300.9,"40,924",136,2007,avg_driv_dist
19,22,Charley Hoffman,97,299.9,"58,172",194,2007,avg_driv_dist
T20,T23,Charles Howell III,89,299.8,"51,557",172,2007,avg_driv_dist
T20,T19,Chris Couch,76,299.8,"45,574",152,2007,avg_driv_dist
T22,21,Robert Allenby,90,299.6,"53,337",178,2007,avg_driv_dist
T22,25,Kenny Perry,83,299.6,"49,729",166,2007,avg_driv_dist
24,T19,Jeff Overton,60,299.3,"34,719",116,2007,avg_driv_dist
25,T23,Bubba Dickerson,51,298.9,"28,094",94,2007,avg_driv_dist
26,26,Mathew Goggin,97,298.7,"57,939",194,2007,avg_driv_dist
27,29,Camilo Villegas,82,298.3,"48,929",164,2007,avg_driv_dist
28,28,George McNeill,95,298.2,"54,268",182,2007,avg_driv_dist
T29,27,Steve Marino,106,298.1,"60,805",204,2007,avg_driv_dist
T29,30,Phil Mickelson,73,298.1,"42,337",142,2007,avg_driv_dist
31,32,Ernie Els,59,297.9,"34,556",116,2007,avg_driv_dist
32,31,Daniel Chopra,106,297.6,"63,084",212,2007,avg_driv_dist
33,T34,John Merrick,92,297.1,"52,285",176,2007,avg_driv_dist
T34,36,Sean O'Hair,98,296.8,"58,180",196,2007,avg_driv_dist
T34,40,Davis Love III,66,296.8,"38,584",130,2007,avg_driv_dist
36,41,Hunter Mahan,91,296.7,"53,997",182,2007,avg_driv_dist
T37,T34,Boo Weekley,101,296.6,"57,543",194,2007,avg_driv_dist
T37,T42,Pat Perez,84,296.6,"47,454",160,2007,avg_driv_dist
T37,T42,Troy Matteson,87,296.6,"51,608",174,2007,avg_driv_dist
40,37,Greg Owen,81,296.5,"46,840",158,2007,avg_driv_dist
T41,44,Henrik Stenson,52,296.3,"27,256",92,2007,avg_driv_dist
T41,39,Kyle Reifers,71,296.3,"40,893",138,2007,avg_driv_dist
T43,33,Jason Schultz,63,295.7,"34,889",118,2007,avg_driv_dist
T43,46,Paul Stankowski,52,295.7,"28,386",96,2007,avg_driv_dist
45,38,Craig Barlow,52,295.5,"30,737",104,2007,avg_driv_dist
46,45,Lucas Glover,98,295.4,"57,305",194,2007,avg_driv_dist
47,T48,Geoff Ogilvy,84,295.3,"46,067",156,2007,avg_driv_dist
48,51,D.J. Trahan,99,295.1,"58,428",198,2007,avg_driv_dist
49,47,Ryan Palmer,91,294.9,"53,669",182,2007,avg_driv_dist
T50,T48,Stewart Cink,91,294.7,"51,871",176,2007,avg_driv_dist
T50,T53,Bo Van Pelt,104,294.7,"61,300",208,2007,avg_driv_dist
T50,T53,Andrew Buckle,77,294.7,"44,205",150,2007,avg_driv_dist
