RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:APP,MEASURED ROUNDS,year,measure
1,1,Jim Furyk,94,0.982,70.67,72,2005,sg_app_green
2,3,Luke Donald,67,0.93,37.211,40,2005,sg_app_green
3,5,Kenny Perry,82,0.898,53.85,60,2005,sg_app_green
4,2,Tiger Woods,76,0.86,47.325,55,2005,sg_app_green
5,6,Loren Roberts,54,0.771,37.006,48,2005,sg_app_green
6,4,Chris DiMarco,83,0.762,44.945,59,2005,sg_app_green
7,7,Alex Cejka,84,0.761,53.251,70,2005,sg_app_green
8,9,Shigeki Maruyama,99,0.721,61.306,85,2005,sg_app_green
9,11,Robert Allenby,95,0.705,51.457,73,2005,sg_app_green
10,8,Vijay Singh,111,0.697,61.372,88,2005,sg_app_green
11,12,Bob Estes,92,0.676,54.056,80,2005,sg_app_green
12,14,Jeff Brehaut,71,0.633,39.852,63,2005,sg_app_green
13,15,Fred Couples,72,0.629,27.676,44,2005,sg_app_green
14,16,Jay Haas,54,0.615,24.003,39,2005,sg_app_green
15,10,Tim Clark,92,0.608,39.498,65,2005,sg_app_green
16,20,Scott Verplank,87,0.593,39.16,66,2005,sg_app_green
17,17,Brian Davis,75,0.592,37.879,64,2005,sg_app_green
18,18,Mark Calcavecchia,92,0.586,45.137,77,2005,sg_app_green
19,23,Adam Scott,72,0.566,29.408,52,2005,sg_app_green
20,19,Phil Mickelson,81,0.565,28.237,50,2005,sg_app_green
21,21,Corey Pavin,77,0.556,33.904,61,2005,sg_app_green
22,13,David Toms,87,0.546,34.968,64,2005,sg_app_green
23,24,Joey Sindelar,104,0.532,52.665,99,2005,sg_app_green
24,25,Stewart Cink,98,0.529,37.581,71,2005,sg_app_green
25,26,Joe Durant,81,0.523,36.057,69,2005,sg_app_green
26,22,Sergio Garcia,73,0.522,27.162,52,2005,sg_app_green
27,29,Woody Austin,100,0.49,44.554,91,2005,sg_app_green
T28,31,Chad Campbell,95,0.476,36.175,76,2005,sg_app_green
T28,30,Tom Lehman,69,0.476,23.816,50,2005,sg_app_green
30,32,Heath Slocum,103,0.459,41.308,90,2005,sg_app_green
31,40,Bart Bryant,91,0.452,34.83,77,2005,sg_app_green
32,33,Rocco Mediate,73,0.436,28.803,66,2005,sg_app_green
33,34,Jason Bohn,91,0.435,35.678,82,2005,sg_app_green
34,35,Davis Love III,80,0.433,24.674,57,2005,sg_app_green
T35,27,Fred Funk,102,0.427,34.984,82,2005,sg_app_green
T35,36,Bo Van Pelt,112,0.427,39.668,93,2005,sg_app_green
37,37,Craig Barlow,81,0.425,27.172,64,2005,sg_app_green
38,38,Brad Faxon,75,0.415,24.086,58,2005,sg_app_green
39,39,Dudley Hart,84,0.41,29.921,73,2005,sg_app_green
40,47,Olin Browne,99,0.407,34.214,84,2005,sg_app_green
41,41,Jeff Maggert,79,0.403,24.201,60,2005,sg_app_green
42,42,Justin Rose,99,0.399,35.503,89,2005,sg_app_green
43,43,Carl Pettersson,109,0.394,37.066,94,2005,sg_app_green
44,28,Justin Leonard,78,0.393,21.616,55,2005,sg_app_green
45,44,Bernhard Langer,67,0.39,17.92,46,2005,sg_app_green
46,45,Greg Owen,84,0.386,27.412,71,2005,sg_app_green
47,46,Tommy Armour III,103,0.378,34.809,92,2005,sg_app_green
48,48,J.J. Henry,102,0.371,32.256,87,2005,sg_app_green
49,49,Stephen Ames,82,0.369,22.483,61,2005,sg_app_green
50,50,Carlos Franco,78,0.368,24.66,67,2005,sg_app_green
51,51,John Senden,101,0.362,32.914,91,2005,sg_app_green
52,53,Jeff Sluman,94,0.356,30.268,85,2005,sg_app_green
53,59,Retief Goosen,71,0.336,14.469,43,2005,sg_app_green
