RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR,year,measure
1,1,John Senden,103,72.49,"1,344","1,854",-0.23,2010,gir_pct
2,2,Kevin Sutherland,86,71.96,"1,114","1,548",-0.24,2010,gir_pct
3,3,Joe Durant,67,71.95,790,"1,098",-0.25,2010,gir_pct
4,4,Charles Warren,64,71.74,749,"1,044",-0.25,2010,gir_pct
5,5,Troy Matteson,84,71.43,"1,080","1,512",-0.22,2010,gir_pct
6,6,Graham DeLaet,88,71.27,"1,052","1,476",-0.25,2010,gir_pct
7,7,D.J. Trahan,92,71.26,"1,180","1,656",-0.26,2010,gir_pct
8,8,Kris Blanks,91,71.15,"1,063","1,494",-0.2,2010,gir_pct
9,9,Paul Stankowski,62,70.88,689,972,-0.28,2010,gir_pct
10,10,Aron Price,70,70.49,812,"1,152",-0.25,2010,gir_pct
11,11,Cameron Percy,73,70.42,862,"1,224",-0.23,2010,gir_pct
12,12,Mark Wilson,87,70.28,"1,050","1,494",-0.22,2010,gir_pct
13,13,Davis Love III,79,70.25,999,"1,422",-0.24,2010,gir_pct
14,14,John Merrick,109,70.24,"1,277","1,818",-0.24,2010,gir_pct
15,15,Cameron Tringale,55,70.18,619,882,-0.21,2010,gir_pct
16,16,Brett Quigley,96,70.12,"1,199","1,710",-0.24,2010,gir_pct
T17,T17,Brendon de Jonge,114,70.07,"1,337","1,908",-0.28,2010,gir_pct
T17,T17,Garth Mulroy,53,70.07,618,882,-0.22,2010,gir_pct
T17,T17,Boo Weekley,88,70.07,"1,009","1,440",-0.22,2010,gir_pct
20,20,Jonathan Byrd,85,70,"1,071","1,530",-0.25,2010,gir_pct
21,21,Bill Haas,87,69.92,"1,095","1,566",-0.26,2010,gir_pct
22,22,Rickie Fowler,98,69.9,"1,233","1,764",-0.26,2010,gir_pct
23,23,Spencer Levin,110,69.88,"1,283","1,836",-0.26,2010,gir_pct
24,24,Garrett Willis,82,69.87,981,"1,404",-0.25,2010,gir_pct
25,25,Tom Pernice Jr.,74,69.78,829,"1,188",-0.23,2010,gir_pct
26,26,Mathew Goggin,85,69.74,"1,067","1,530",-0.22,2010,gir_pct
27,27,Roger Tambellini,77,69.73,866,"1,242",-0.19,2010,gir_pct
