RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:ARG,MEASURED ROUNDS,year,measure
1,1,Daniel Chopra,8,1.449,8.696,6,2010,sg_around_green
2,2,Xander Schauffele,12,0.776,3.105,4,2010,sg_around_green
3,T3,Tony Finau,18,0.719,4.312,6,2010,sg_around_green
4,11,Rob Oppenheim,33,0.704,16.901,24,2010,sg_around_green
5,T3,Adam Scott,16,0.693,5.543,8,2010,sg_around_green
6,10,Alex Noren,16,0.686,6.169,9,2010,sg_around_green
7,6,Peter Uihlein,20,0.645,10.973,17,2010,sg_around_green
8,7,Hideki Matsuyama,22,0.634,6.344,10,2010,sg_around_green
9,9,Keegan Bradley,24,0.603,8.435,14,2010,sg_around_green
T10,T12,Brandt Snedeker,16,0.57,9.122,16,2010,sg_around_green
T10,T12,Parker McLachlin,10,0.57,3.419,6,2010,sg_around_green
12,8,Harold Varner III,27,0.567,7.37,13,2010,sg_around_green
13,14,Aaron Baddeley,19,0.549,6.588,12,2010,sg_around_green
14,17,Kevin Tway,20,0.514,4.113,8,2010,sg_around_green
15,18,Joel Dahmen,28,0.512,7.684,15,2010,sg_around_green
16,T20,Scott Stallings,28,0.494,8.392,17,2010,sg_around_green
T17,31,Abraham Ancer,28,0.484,4.84,10,2010,sg_around_green
T17,T20,Rikuya Hoshino,8,0.484,1.936,4,2010,sg_around_green
19,24,Josh Teater,16,0.477,4.29,9,2010,sg_around_green
20,27,Kramer Hickok,27,0.474,8.529,18,2010,sg_around_green
21,22,Carlos Ortiz,30,0.462,11.091,24,2010,sg_around_green
22,30,Wes Roach,24,0.458,5.958,13,2010,sg_around_green
23,44,Xinjun Zhang,33,0.448,9.858,22,2010,sg_around_green
24,5,Hudson Swafford,13,0.429,2.574,6,2010,sg_around_green
25,15,Ricky Barnes,23,0.428,6.843,16,2010,sg_around_green
26,26,Patrick Reed,14,0.418,2.509,6,2010,sg_around_green
27,28,Graeme McDowell,17,0.414,3.315,8,2010,sg_around_green
28,25,Roger Sloan,21,0.413,5.373,13,2010,sg_around_green
29,76,Grayson Murray,15,0.405,5.264,13,2010,sg_around_green
