RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:OTT,MEASURED ROUNDS,year,measure
T88,T88,José Coceres,68,0.113,6.898,61,2004,sg_off_tee
T88,T88,Hidemichi Tanaka,89,0.113,8.778,78,2004,sg_off_tee
T88,T88,Jay Williamson,100,0.113,10.214,90,2004,sg_off_tee
91,91,Robert Gamez,103,0.111,10.016,90,2004,sg_off_tee
92,92,Jonathan Byrd,85,0.109,7.937,73,2004,sg_off_tee
93,93,David Toms,80,0.102,6.032,59,2004,sg_off_tee
94,94,J.L. Lewis,106,0.1,8.916,89,2004,sg_off_tee
95,95,Carl Pettersson,100,0.098,7.772,79,2004,sg_off_tee
96,96,Daniel Chopra,108,0.097,8.922,92,2004,sg_off_tee
97,97,Tom Pernice Jr.,103,0.096,8.267,86,2004,sg_off_tee
98,98,Kevin Na,100,0.09,7.767,86,2004,sg_off_tee
99,99,Jason Dufner,79,0.083,5.962,72,2004,sg_off_tee
100,100,Jerry Kelly,113,0.081,7.135,88,2004,sg_off_tee
101,101,Mike Heinen,53,0.079,4.016,51,2004,sg_off_tee
102,102,Niclas Fasth,61,0.072,3.729,52,2004,sg_off_tee
103,103,Dudley Hart,60,0.064,2.965,46,2004,sg_off_tee
104,104,Matt Kuchar,83,0.059,4.55,77,2004,sg_off_tee
105,105,Danny Ellis,81,0.055,3.812,69,2004,sg_off_tee
T106,T106,Olin Browne,92,0.054,4.296,79,2004,sg_off_tee
T106,T106,Robert Damron,92,0.054,4.522,84,2004,sg_off_tee
T106,T106,Steve Lowery,91,0.054,3.964,74,2004,sg_off_tee
T109,T109,Kent Jones,99,0.047,4.096,87,2004,sg_off_tee
T109,T109,Scott McCarron,88,0.047,3.517,75,2004,sg_off_tee
111,111,Luke Donald,72,0.044,2.726,62,2004,sg_off_tee
112,112,Danny Briggs,85,0.043,3.233,75,2004,sg_off_tee
113,113,Justin Leonard,90,0.035,2.297,65,2004,sg_off_tee
T114,T114,Cameron Beckman,99,0.029,2.493,87,2004,sg_off_tee
T114,T114,Bernhard Langer,59,0.029,1.226,42,2004,sg_off_tee
116,116,Glen Day,101,0.028,2.451,88,2004,sg_off_tee
117,117,Tom Carter,113,0.021,2.035,96,2004,sg_off_tee
118,118,Mark Wilson,62,0.018,1.045,58,2004,sg_off_tee
119,119,Shaun Micheel,93,0.017,1.198,70,2004,sg_off_tee
120,120,Brett Quigley,102,0.014,1.2,88,2004,sg_off_tee
121,121,Arjun Atwal,85,0.013,0.993,75,2004,sg_off_tee
122,122,K.J. Choi,83,0.009,0.549,63,2004,sg_off_tee
123,123,Skip Kendall,99,-0.001,-0.087,80,2004,sg_off_tee
124,124,Matt Gogel,86,-0.007,-0.514,70,2004,sg_off_tee
125,125,Tim Petrovic,111,-0.018,-1.588,87,2004,sg_off_tee
126,126,Mike Weir,75,-0.029,-1.612,55,2004,sg_off_tee
127,127,Kris Cox,73,-0.035,-2.16,61,2004,sg_off_tee
128,128,Tom Byrum,83,-0.043,-3.1,72,2004,sg_off_tee
129,129,Guy Boros,64,-0.045,-2.658,59,2004,sg_off_tee
130,130,Steve Elkington,64,-0.047,-2.615,56,2004,sg_off_tee
131,131,Russ Cochran,61,-0.051,-2.792,55,2004,sg_off_tee
132,132,Steve Flesch,109,-0.066,-5.412,82,2004,sg_off_tee
133,133,Brent Geiberger,94,-0.067,-5.594,84,2004,sg_off_tee
134,134,Deane Pappas,72,-0.083,-5.341,64,2004,sg_off_tee
135,135,Craig Bowden,83,-0.095,-7.145,75,2004,sg_off_tee
136,136,Patrick Sheehan,113,-0.105,-10.52,100,2004,sg_off_tee
137,137,Rich Barcelo,67,-0.107,-6.295,59,2004,sg_off_tee
138,138,Stephen Leaney,84,-0.13,-7.381,57,2004,sg_off_tee
139,139,Ben Crane,92,-0.132,-10.658,81,2004,sg_off_tee
140,140,Craig Parry,52,-0.133,-4.913,37,2004,sg_off_tee
141,141,Jay Haas,84,-0.134,-8.201,61,2004,sg_off_tee
142,142,Stewart Cink,103,-0.143,-11.297,79,2004,sg_off_tee
143,143,J.P. Hayes,79,-0.162,-10.367,64,2004,sg_off_tee
144,144,Lee Janzen,84,-0.167,-11.663,70,2004,sg_off_tee
145,145,Pat Bates,99,-0.183,-16.429,90,2004,sg_off_tee
146,146,David Branshaw,84,-0.186,-13.357,72,2004,sg_off_tee
147,147,Blaine McCallister,68,-0.187,-11.588,62,2004,sg_off_tee
148,148,Freddie Jacobson,83,-0.191,-12.025,63,2004,sg_off_tee
149,149,Omar Uresti,85,-0.194,-14.72,76,2004,sg_off_tee
150,150,Shigeki Maruyama,93,-0.198,-15.419,78,2004,sg_off_tee
