RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:ARG,MEASURED ROUNDS,year,measure,RANK THIS WEEK
151,156,Shawn Stefani,22,-0.154,-1.997,13,2006,sg_around_green,NA
152,148,Joseph Bramlett,23,-0.158,-2.526,16,2006,sg_around_green,NA
153,T108,Cameron Champ,26,-0.159,-3.17,20,2006,sg_around_green,NA
154,158,Boo Weekley,14,-0.161,-1.448,9,2006,sg_around_green,NA
155,160,Bo Hoag,36,-0.167,-4.177,25,2006,sg_around_green,NA
156,179,Jason Dufner,18,-0.169,-2.528,15,2006,sg_around_green,NA
157,T143,Billy Horschel,21,-0.174,-0.348,2,2006,sg_around_green,NA
158,113,Lucas Glover,23,-0.177,-1.596,9,2006,sg_around_green,NA
159,161,Stewart Cink,15,-0.178,-2.14,12,2006,sg_around_green,NA
160,123,Vincent Whaley,18,-0.183,-2.748,15,2006,sg_around_green,NA
161,154,Tyler Duncan,32,-0.185,-3.882,21,2006,sg_around_green,NA
T162,T193,Ben Martin,18,-0.19,-2.093,11,2006,sg_around_green,NA
T162,T136,Kyoung-Hoon Lee,28,-0.19,-2.843,15,2006,sg_around_green,NA
T164,T140,Francesco Molinari,11,-0.193,-0.965,5,2006,sg_around_green,NA
T164,162,Hank Lebioda,28,-0.193,-3.676,19,2006,sg_around_green,NA
T166,167,George McNeill,15,-0.196,-2.35,12,2006,sg_around_green,NA
T166,T168,Martin Laird,23,-0.196,-3.536,18,2006,sg_around_green,NA
T168,188,Chris Stroud,19,-0.199,-2.389,12,2006,sg_around_green,NA
T168,163,Jimmy Walker,11,-0.199,-1.788,9,2006,sg_around_green,NA
170,T168,Sung Kang,24,-0.202,-3.233,16,2006,sg_around_green,NA
171,172,Tom Lewis,6,-0.226,-1.358,6,2006,sg_around_green,NA
172,189,Ben Crane,17,-0.233,-2.801,12,2006,sg_around_green,NA
173,175,Kurt Kitayama,6,-0.235,-0.469,2,2006,sg_around_green,NA
174,T180,James Hahn,19,-0.236,-2.832,12,2006,sg_around_green,NA
175,173,J.J. Spaun,27,-0.239,-4.772,20,2006,sg_around_green,NA
176,202,Bo Van Pelt,17,-0.243,-2.671,11,2006,sg_around_green,NA
177,182,Scott Piercy,30,-0.245,-3.917,16,2006,sg_around_green,NA
178,195,Michael Gligic,26,-0.247,-4.197,17,2006,sg_around_green,NA
179,T177,Corey Conners,26,-0.248,-3.471,14,2006,sg_around_green,NA
180,171,Henrik Norlander,32,-0.249,-5.225,21,2006,sg_around_green,NA
181,170,Martin Trainer,19,-0.253,-4.298,17,2006,sg_around_green,NA
182,T180,Brendon de Jonge,6,-0.261,-1.042,4,2006,sg_around_green,NA
183,184,Jonathan Byrd,14,-0.269,-2.954,11,2006,sg_around_green,NA
184,196,Ryan Brehm,30,-0.282,-5.364,19,2006,sg_around_green,NA
T185,186,Henrik Stenson,6,-0.283,-0.566,2,2006,sg_around_green,NA
T185,T164,Dominic Bozzelli,23,-0.283,-4.523,16,2006,sg_around_green,NA
187,183,Anirban Lahiri,22,-0.286,-4.867,17,2006,sg_around_green,NA
