RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:OTT,MEASURED ROUNDS,year,measure
1,1,Sergio Garcia,73,1.003,52.17,52,2005,sg_off_tee
2,2,Kenny Perry,82,0.949,56.964,60,2005,sg_off_tee
3,3,Vijay Singh,111,0.934,82.183,88,2005,sg_off_tee
4,4,Tiger Woods,76,0.896,49.272,55,2005,sg_off_tee
5,5,Brett Wetterich,76,0.737,50.121,68,2005,sg_off_tee
6,6,Charles Warren,89,0.708,57.377,81,2005,sg_off_tee
7,7,Lee Westwood,50,0.702,23.171,33,2005,sg_off_tee
8,8,David Hearn,68,0.564,34.433,61,2005,sg_off_tee
9,9,Joe Durant,81,0.562,38.756,69,2005,sg_off_tee
T10,T10,John Rollins,97,0.551,45.704,83,2005,sg_off_tee
T10,T10,D.J. Trahan,81,0.551,39.115,71,2005,sg_off_tee
12,12,Sean O'Hair,103,0.549,47.218,86,2005,sg_off_tee
13,13,Lucas Glover,88,0.541,42.771,79,2005,sg_off_tee
14,14,Mathias Grönberg,60,0.529,29.612,56,2005,sg_off_tee
15,15,Fred Couples,72,0.499,21.961,44,2005,sg_off_tee
16,16,Davis Love III,80,0.498,28.376,57,2005,sg_off_tee
T17,T17,Zach Johnson,96,0.49,40.658,83,2005,sg_off_tee
T17,T17,Joey Snyder III,102,0.49,45.09,92,2005,sg_off_tee
19,19,Harrison Frazar,105,0.489,45.993,94,2005,sg_off_tee
20,20,Brian Davis,75,0.488,31.238,64,2005,sg_off_tee
21,21,Scott Gutschewski,86,0.458,32.982,72,2005,sg_off_tee
T22,T22,Greg Owen,84,0.441,31.288,71,2005,sg_off_tee
T22,T22,Adam Scott,72,0.441,22.918,52,2005,sg_off_tee
24,24,Bart Bryant,91,0.44,33.895,77,2005,sg_off_tee
T25,T25,Charles Howell III,95,0.429,30.916,72,2005,sg_off_tee
T25,T25,Brandt Jobe,96,0.429,35.157,82,2005,sg_off_tee
27,27,Roland Thatcher,75,0.422,28.714,68,2005,sg_off_tee
28,28,Stuart Appleby,84,0.41,25.807,63,2005,sg_off_tee
29,29,Billy Mayfair,114,0.409,41.717,102,2005,sg_off_tee
30,30,K.J. Choi,78,0.392,21.147,54,2005,sg_off_tee
31,31,Chris Smith,93,0.376,32.337,86,2005,sg_off_tee
32,32,Rod Pampling,89,0.353,24.69,70,2005,sg_off_tee
33,33,Ted Purdy,122,0.352,35.193,100,2005,sg_off_tee
34,34,Mark Calcavecchia,92,0.348,26.829,77,2005,sg_off_tee
35,35,Robert Allenby,95,0.345,25.185,73,2005,sg_off_tee
36,36,Justin Rose,99,0.342,30.465,89,2005,sg_off_tee
37,37,Phil Mickelson,81,0.341,17.071,50,2005,sg_off_tee
38,38,Jonathan Kaye,77,0.34,21.771,64,2005,sg_off_tee
39,39,Jerry Kelly,101,0.336,25.543,76,2005,sg_off_tee
40,40,Jay Williamson,53,0.319,14.977,47,2005,sg_off_tee
41,41,J.J. Henry,102,0.316,27.517,87,2005,sg_off_tee
42,42,Bradley Hughes,52,0.298,14.621,49,2005,sg_off_tee
T43,T43,Jeff Maggert,79,0.297,17.823,60,2005,sg_off_tee
T43,T43,John Senden,101,0.297,27.06,91,2005,sg_off_tee
45,45,Joey Sindelar,104,0.29,28.684,99,2005,sg_off_tee
46,46,Retief Goosen,71,0.281,12.07,43,2005,sg_off_tee
47,47,Tommy Armour III,103,0.268,24.678,92,2005,sg_off_tee
T48,T48,Tim Herron,100,0.249,19.415,78,2005,sg_off_tee
T48,T48,Hunter Mahan,103,0.249,23.155,93,2005,sg_off_tee
50,50,Scott Verplank,87,0.246,16.204,66,2005,sg_off_tee
51,51,Arron Oberholser,65,0.245,12.491,51,2005,sg_off_tee
52,52,Daniel Chopra,108,0.227,21.121,93,2005,sg_off_tee
53,53,J.L. Lewis,98,0.206,16.902,82,2005,sg_off_tee
54,54,David Toms,87,0.201,12.888,64,2005,sg_off_tee
55,55,Briny Baird,98,0.2,17.769,89,2005,sg_off_tee
56,56,Todd Hamilton,94,0.199,14.919,75,2005,sg_off_tee
57,57,John Daly,78,0.192,10.775,56,2005,sg_off_tee
58,58,D.A. Points,94,0.191,15.816,83,2005,sg_off_tee
T59,T59,Jason Bohn,91,0.189,15.483,82,2005,sg_off_tee
T59,T59,Geoff Ogilvy,97,0.189,14.167,75,2005,sg_off_tee
61,61,Pat Perez,89,0.184,13.582,74,2005,sg_off_tee
T62,T62,Rory Sabbatini,81,0.176,10.55,60,2005,sg_off_tee
T62,T62,Vaughn Taylor,99,0.176,15.874,90,2005,sg_off_tee
