RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:APP,MEASURED ROUNDS,year,measure
1,1,Adam Scott,79,1.491,83.505,56,2016,sg_app_green
2,3,Kevin Na,96,0.788,54.394,69,2016,sg_app_green
3,2,Hideki Matsuyama,76,0.774,44.865,58,2016,sg_app_green
4,T4,Robert Garrigus,69,0.734,40.382,55,2016,sg_app_green
5,6,Webb Simpson,70,0.728,42.216,58,2016,sg_app_green
6,8,Phil Mickelson,75,0.726,42.84,59,2016,sg_app_green
7,T4,Jimmy Walker,85,0.69,48.965,71,2016,sg_app_green
8,9,Graham DeLaet,70,0.662,39.031,59,2016,sg_app_green
9,7,Charl Schwartzel,73,0.652,36.491,56,2016,sg_app_green
10,10,D.A. Points,55,0.64,24.97,39,2016,sg_app_green
11,14,Kevin Chappell,93,0.634,49.464,78,2016,sg_app_green
12,11,Alex Cejka,71,0.626,31.918,51,2016,sg_app_green
13,18,Paul Casey,77,0.616,35.09,57,2016,sg_app_green
14,12,Vaughn Taylor,72,0.612,40.979,67,2016,sg_app_green
15,13,Branden Grace,63,0.603,25.314,42,2016,sg_app_green
16,16,Tyrone Van Aswegen,105,0.571,50.232,88,2016,sg_app_green
17,17,Chez Reavie,90,0.567,43.075,76,2016,sg_app_green
18,19,David Hearn,95,0.532,43.661,82,2016,sg_app_green
19,15,Gary Woodland,95,0.522,40.696,78,2016,sg_app_green
20,20,Justin Thomas,99,0.494,37.049,75,2016,sg_app_green
21,23,Stewart Cink,61,0.492,24.099,49,2016,sg_app_green
22,24,Daniel Berger,92,0.49,35.251,72,2016,sg_app_green
23,25,Francesco Molinari,64,0.484,27.6,57,2016,sg_app_green
24,26,Sergio Garcia,54,0.482,14.951,31,2016,sg_app_green
25,27,Greg Owen,85,0.475,32.766,69,2016,sg_app_green
26,21,Jason Dufner,105,0.469,37.078,79,2016,sg_app_green
T27,T29,Jim Furyk,52,0.465,20.451,44,2016,sg_app_green
T27,T29,Luke Donald,81,0.465,27.427,59,2016,sg_app_green
29,32,Rory McIlroy,69,0.447,21.439,48,2016,sg_app_green
30,28,Roberto Castro,97,0.437,38.481,88,2016,sg_app_green
31,31,Dustin Johnson,87,0.43,27.073,63,2016,sg_app_green
