RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:APP,MEASURED ROUNDS,year,measure
1,1,Jim Furyk,84,1.175,77.564,66,2014,sg_app_green
2,2,Sergio Garcia,61,1.15,46,40,2014,sg_app_green
3,3,Hideki Matsuyama,82,1.022,65.391,64,2014,sg_app_green
4,4,Graham DeLaet,80,0.895,57.292,64,2014,sg_app_green
5,5,Paul Casey,56,0.762,33.507,44,2014,sg_app_green
6,6,Justin Rose,70,0.744,38.674,52,2014,sg_app_green
7,7,Nick Watney,80,0.648,36.293,56,2014,sg_app_green
8,8,Chad Campbell,57,0.641,29.503,46,2014,sg_app_green
9,9,Kyle Stanley,87,0.623,44.868,72,2014,sg_app_green
10,10,Adam Scott,68,0.61,34.134,56,2014,sg_app_green
11,11,Jimmy Walker,98,0.608,44.366,73,2014,sg_app_green
12,12,Rory McIlroy,66,0.602,28.906,48,2014,sg_app_green
13,13,Brooks Koepka,56,0.598,25.101,42,2014,sg_app_green
14,14,Jason Dufner,57,0.59,24.769,42,2014,sg_app_green
15,15,Henrik Stenson,56,0.575,21.857,38,2014,sg_app_green
16,16,Robert Allenby,83,0.552,38.663,70,2014,sg_app_green
17,17,Marc Leishman,81,0.546,37.677,69,2014,sg_app_green
18,18,John Peterson,62,0.539,29.632,55,2014,sg_app_green
19,19,George McNeill,79,0.537,37.558,70,2014,sg_app_green
20,20,Dustin Johnson,58,0.533,21.858,41,2014,sg_app_green
21,21,Matt Kuchar,91,0.527,40.045,76,2014,sg_app_green
22,22,Kevin Chappell,100,0.526,45.74,87,2014,sg_app_green
23,23,Zach Johnson,97,0.513,43.088,84,2014,sg_app_green
24,24,Russell Knox,92,0.502,41.699,83,2014,sg_app_green
25,25,Keegan Bradley,89,0.5,33.484,67,2014,sg_app_green
26,26,Ryan Moore,86,0.499,30.957,62,2014,sg_app_green
27,27,Jason Kokrak,65,0.476,29.062,61,2014,sg_app_green
T28,T28,Lucas Glover,68,0.469,22.034,47,2014,sg_app_green
T28,T28,Michael Putnam,106,0.469,42.659,91,2014,sg_app_green
30,30,Bo Van Pelt,83,0.468,31.361,67,2014,sg_app_green
31,31,Harris English,95,0.465,34.433,74,2014,sg_app_green
32,32,Seung-Yul Noh,92,0.447,33.535,75,2014,sg_app_green
33,33,Stewart Cink,91,0.442,31.829,72,2014,sg_app_green
34,34,Camilo Villegas,95,0.413,34.726,84,2014,sg_app_green
35,35,Ricky Barnes,92,0.396,30.924,78,2014,sg_app_green
36,36,Ryo Ishikawa,75,0.395,24.497,62,2014,sg_app_green
37,37,Martin Flores,85,0.391,26.6,68,2014,sg_app_green
38,38,Kevin Stadler,90,0.386,25.076,65,2014,sg_app_green
39,39,Bill Haas,107,0.382,31.294,82,2014,sg_app_green
40,40,Gary Woodland,93,0.381,27.801,73,2014,sg_app_green
41,41,Graeme McDowell,66,0.379,17.411,46,2014,sg_app_green
42,42,Martin Kaymer,65,0.37,17.744,48,2014,sg_app_green
43,43,Jim Renner,61,0.367,19.093,52,2014,sg_app_green
44,44,Kevin Na,94,0.341,26.631,78,2014,sg_app_green
45,45,Webb Simpson,87,0.333,24.622,74,2014,sg_app_green
46,46,Ken Duke,80,0.329,21.683,66,2014,sg_app_green
47,47,Bubba Watson,76,0.324,18.156,56,2014,sg_app_green
48,48,Andrew Svoboda,77,0.323,21.327,66,2014,sg_app_green
49,49,Cameron Tringale,111,0.322,31.597,98,2014,sg_app_green
T50,T50,Luke Donald,57,0.315,13.879,44,2014,sg_app_green
T50,T50,Charl Schwartzel,64,0.315,17.009,54,2014,sg_app_green
T52,T52,Charley Hoffman,93,0.301,22.91,76,2014,sg_app_green
T52,T52,Nicholas Thompson,85,0.301,21.101,70,2014,sg_app_green
54,54,Brian Harman,111,0.296,29.89,101,2014,sg_app_green
55,55,Tyrone Van Aswegen,79,0.291,18.906,65,2014,sg_app_green
56,56,Chris Kirk,105,0.287,24.711,86,2014,sg_app_green
57,57,Jordan Spieth,102,0.286,22.604,79,2014,sg_app_green
58,58,Troy Merritt,62,0.261,14.375,55,2014,sg_app_green
59,59,Mike Weir,69,0.257,13.625,53,2014,sg_app_green
60,60,Tim Clark,75,0.253,15.671,62,2014,sg_app_green
61,61,John Merrick,87,0.252,18.122,72,2014,sg_app_green
62,62,Billy Hurley III,86,0.25,17.986,72,2014,sg_app_green
63,63,Chesson Hadley,84,0.242,17.147,71,2014,sg_app_green
64,64,Brendan Steele,89,0.222,15.555,70,2014,sg_app_green
65,65,Jerry Kelly,80,0.218,14.364,66,2014,sg_app_green
66,66,Rickie Fowler,91,0.213,13.2,62,2014,sg_app_green
T67,T67,David Toms,64,0.203,10.961,54,2014,sg_app_green
T67,T67,Willy Wilcox,51,0.203,8.107,40,2014,sg_app_green
69,69,Jeff Maggert,54,0.2,8.798,44,2014,sg_app_green
70,70,Brian Stuard,91,0.195,14.408,74,2014,sg_app_green
71,71,Jason Bohn,81,0.185,13.479,73,2014,sg_app_green
72,72,Jason Day,54,0.176,5.814,33,2014,sg_app_green
73,73,Justin Hicks,103,0.172,15.504,90,2014,sg_app_green
74,74,Phil Mickelson,71,0.166,8.307,50,2014,sg_app_green
75,75,Robert Garrigus,80,0.156,11.41,73,2014,sg_app_green
76,76,Retief Goosen,94,0.151,11.739,78,2014,sg_app_green
77,77,Scott Langley,95,0.15,11.814,79,2014,sg_app_green
78,78,David Hearn,97,0.146,11.966,82,2014,sg_app_green
79,79,Brandt Snedeker,89,0.143,9.426,66,2014,sg_app_green
80,80,Ernie Els,85,0.141,8.894,63,2014,sg_app_green
81,81,Daniel Summerhays,98,0.138,12.176,88,2014,sg_app_green
82,82,Ryan Palmer,85,0.133,8.928,67,2014,sg_app_green
T83,T83,Billy Horschel,92,0.132,9.077,69,2014,sg_app_green
T83,T83,Chris Stroud,88,0.132,9.469,72,2014,sg_app_green
85,85,John Senden,99,0.127,10.323,81,2014,sg_app_green
86,86,Vijay Singh,83,0.126,9.575,76,2014,sg_app_green
87,87,Luke Guthrie,85,0.113,8.553,76,2014,sg_app_green
88,88,Brad Fritsch,50,0.098,3.821,39,2014,sg_app_green
T89,T89,Carl Pettersson,91,0.096,8.196,85,2014,sg_app_green
T89,T89,"Ted Potter, Jr.",68,0.096,5.748,60,2014,sg_app_green
91,91,Steven Bowditch,93,0.094,7.355,78,2014,sg_app_green
92,92,Heath Slocum,71,0.083,5.167,62,2014,sg_app_green
93,93,Ángel Cabrera,69,0.078,4.766,61,2014,sg_app_green
94,94,Kevin Kisner,85,0.076,5.333,70,2014,sg_app_green
95,95,Erik Compton,88,0.066,4.932,75,2014,sg_app_green
96,96,Shawn Stefani,60,0.065,3.723,57,2014,sg_app_green
97,97,Pat Perez,84,0.063,4.735,75,2014,sg_app_green
98,98,Davis Love III,74,0.053,3.316,63,2014,sg_app_green
99,99,K.J. Choi,80,0.049,3.279,67,2014,sg_app_green
100,100,Boo Weekley,73,0.044,2.445,56,2014,sg_app_green
101,101,Geoff Ogilvy,84,0.038,2.792,73,2014,sg_app_green
102,102,Lee Westwood,57,0.037,1.6,43,2014,sg_app_green
103,103,Matt Every,85,0.029,1.909,65,2014,sg_app_green
104,104,Rory Sabbatini,82,0.021,1.381,65,2014,sg_app_green
105,105,Charles Howell III,106,0.017,1.652,95,2014,sg_app_green
106,106,John Huh,87,0.016,1.148,70,2014,sg_app_green
107,107,Hudson Swafford,75,0.015,0.867,58,2014,sg_app_green
108,108,James Hahn,82,0.009,0.658,73,2014,sg_app_green
109,109,Bryce Molder,77,0.006,0.393,64,2014,sg_app_green
110,110,John Rollins,84,0.002,0.103,67,2014,sg_app_green
111,111,Danny Lee,84,-0.007,-0.514,69,2014,sg_app_green
112,112,Ben Crane,81,-0.009,-0.72,78,2014,sg_app_green
113,113,Brendon de Jonge,109,-0.012,-1.08,92,2014,sg_app_green
114,114,Trevor Immelman,84,-0.013,-0.869,67,2014,sg_app_green
115,115,Will MacKenzie,82,-0.041,-3.009,73,2014,sg_app_green
116,116,Michael Thompson,74,-0.046,-2.73,60,2014,sg_app_green
117,117,Tommy Gainey,73,-0.057,-3.417,60,2014,sg_app_green
118,118,Jeff Overton,80,-0.059,-3.885,66,2014,sg_app_green
119,119,Gonzalo Fernandez-Castaño,83,-0.07,-4.828,69,2014,sg_app_green
120,120,Josh Teater,90,-0.091,-6.841,75,2014,sg_app_green
121,121,Ben Martin,80,-0.097,-6.117,63,2014,sg_app_green
122,122,Wes Roach,67,-0.107,-5.33,50,2014,sg_app_green
123,123,Bud Cauley,56,-0.109,-5.035,46,2014,sg_app_green
124,124,Mark Wilson,69,-0.112,-6.362,57,2014,sg_app_green
125,125,Spencer Levin,59,-0.113,-5.665,50,2014,sg_app_green
126,126,J.J. Henry,91,-0.119,-9.306,78,2014,sg_app_green
127,127,Charlie Beljan,76,-0.128,-8.567,67,2014,sg_app_green
128,128,Scott Brown,100,-0.139,-11.503,83,2014,sg_app_green
