RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:ARG,MEASURED ROUNDS,year,measure
1,1,Justin Rose,69,0.567,30.048,53,2012,sg_around_green
2,2,Greg Chalmers,88,0.459,34.443,75,2012,sg_around_green
T3,5,Charlie Wi,86,0.43,31.414,73,2012,sg_around_green
T3,4,Luke Donald,63,0.43,20.628,48,2012,sg_around_green
5,6,Nick O'Hern,78,0.424,28.821,68,2012,sg_around_green
6,7,Phil Mickelson,79,0.398,23.873,60,2012,sg_around_green
7,8,Bud Cauley,99,0.388,35.339,91,2012,sg_around_green
T8,9,Padraig Harrington,67,0.384,17.277,45,2012,sg_around_green
T8,3,Trevor Immelman,76,0.384,21.901,57,2012,sg_around_green
10,10,K.J. Choi,71,0.382,21.371,56,2012,sg_around_green
11,11,Webb Simpson,77,0.371,24.485,66,2012,sg_around_green
12,12,Jonas Blixt,72,0.367,23.486,64,2012,sg_around_green
13,13,Bob Estes,78,0.347,22.523,65,2012,sg_around_green
14,14,Chris Stroud,86,0.325,24.396,75,2012,sg_around_green
15,15,Brandt Snedeker,81,0.316,20.544,65,2012,sg_around_green
16,16,Matt Kuchar,86,0.309,20.398,66,2012,sg_around_green
17,T21,Brian Gay,91,0.293,22.888,78,2012,sg_around_green
18,17,Sergio Garcia,57,0.283,12.453,44,2012,sg_around_green
T19,T18,Jim Furyk,85,0.275,17.873,65,2012,sg_around_green
T19,T18,Jason Day,57,0.275,12.946,47,2012,sg_around_green
T21,T21,Bill Haas,79,0.273,16.638,61,2012,sg_around_green
T21,T21,Rory McIlroy,60,0.273,10.937,40,2012,sg_around_green
23,T27,Charles Howell III,98,0.27,20.785,77,2012,sg_around_green
24,T25,Roberto Castro,92,0.269,20.193,75,2012,sg_around_green
25,24,Jimmy Walker,101,0.258,23.493,91,2012,sg_around_green
26,T18,Jerry Kelly,84,0.245,17.882,73,2012,sg_around_green
27,29,Pat Perez,81,0.232,16.027,69,2012,sg_around_green
28,30,David Hearn,95,0.231,20.366,88,2012,sg_around_green
29,31,Danny Lee,74,0.23,13.583,59,2012,sg_around_green
30,T27,Justin Leonard,79,0.227,15.46,68,2012,sg_around_green
31,32,Jason Dufner,83,0.222,14.195,64,2012,sg_around_green
32,39,J.J. Killeen,101,0.213,17.903,84,2012,sg_around_green
33,35,Vijay Singh,99,0.212,17.137,81,2012,sg_around_green
34,34,Tom Pernice Jr.,62,0.209,10.883,52,2012,sg_around_green
35,36,Ian Poulter,57,0.207,7.856,38,2012,sg_around_green
T36,37,Kevin Na,80,0.206,13.395,65,2012,sg_around_green
