RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,%,OFFICIAL MONEY WON,POTENTIAL MONEY,year,measure
1,1,John Cook,1,37.78,"251,600","666,000",2011,pct_total_money_won
2,2,Darren Clarke,3,34.71,"1,491,328","4,297,078",2011,pct_total_money_won
3,3,Luke Donald,19,27.04,"6,683,214","24,719,078",2011,pct_total_money_won
4,4,Webb Simpson,26,20.99,"6,347,353","30,239,078",2011,pct_total_money_won
5,5,Nick Watney,22,18.77,"5,290,673","28,193,078",2011,pct_total_money_won
6,6,Rory McIlroy,10,17.64,"2,344,609","13,289,078",2011,pct_total_money_won
7,7,Steve Stricker,19,16.06,"3,992,784","24,867,078",2011,pct_total_money_won
8,8,Adam Scott,18,15.73,"3,764,796","23,931,078",2011,pct_total_money_won
9,9,Dustin Johnson,21,15.64,"4,309,961","27,549,078",2011,pct_total_money_won
10,10,K.J. Choi,22,15.61,"4,434,690","28,409,078",2011,pct_total_money_won
11,11,Jason Day,21,14.73,"3,962,646","26,901,078",2011,pct_total_money_won
12,12,David Toms,23,14.26,"3,858,089","27,055,000",2011,pct_total_money_won
13,13,Matt Kuchar,24,14.21,"4,233,919","29,799,078",2011,pct_total_money_won
14,14,Phil Mickelson,21,13.73,"3,763,488","27,401,078",2011,pct_total_money_won
15,15,Charl Schwartzel,15,13.16,"2,604,558","19,787,078",2011,pct_total_money_won
16,16,Bill Haas,26,12.62,"4,088,636","32,409,078",2011,pct_total_money_won
17,17,Bubba Watson,22,12.44,"3,477,810","27,967,078",2011,pct_total_money_won
18,18,Anders Hansen,7,12.39,"1,195,566","9,653,078",2011,pct_total_money_won
T19,19,Justin Rose,23,11.63,"3,401,419","29,241,078",2011,pct_total_money_won
T19,20,Keegan Bradley,28,11.63,"3,758,599","32,311,000",2011,pct_total_money_won
21,21,Brandt Snedeker,26,11.48,"3,587,205","31,243,078",2011,pct_total_money_won
22,22,Gary Woodland,25,11.32,"3,448,590","30,469,078",2011,pct_total_money_won
23,23,Aaron Baddeley,22,11.25,"3,094,692","27,513,078",2011,pct_total_money_won
24,24,Jason Dufner,23,11.11,"3,057,859","27,521,078",2011,pct_total_money_won
25,25,Hunter Mahan,25,11.06,"3,503,539","31,689,078",2011,pct_total_money_won
26,26,Tim Clark,4,10.86,"571,000","5,260,000",2011,pct_total_money_won
27,27,Bud Cauley,8,10.21,"735,149","7,200,000",2011,pct_total_money_won
28,28,Lee Westwood,10,10,"1,306,945","13,073,078",2011,pct_total_money_won
29,29,Mark Wilson,26,9.91,"3,158,476","31,883,078",2011,pct_total_money_won
30,30,Y.E. Yang,18,9.7,"2,314,864","23,855,078",2011,pct_total_money_won
