RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR,year,measure
1,NA,Martin Flores,88,70.64,"1,030","1,458",-0.25,2017,gir_pct
2,NA,Kyle Stanley,104,70.39,"1,267","1,800",-0.26,2017,gir_pct
3,NA,Lucas Glover,93,70.08,"1,110","1,584",-0.27,2017,gir_pct
4,NA,Jordan Spieth,85,69.97,932,"1,332",-0.35,2017,gir_pct
T5,NA,Ryan Armour,63,69.96,743,"1,062",-0.23,2017,gir_pct
T5,NA,Paul Casey,94,69.96,"1,083","1,548",-0.27,2017,gir_pct
7,NA,Cameron Percy,71,69.91,818,"1,170",-0.23,2017,gir_pct
8,NA,Sergio Garcia,65,69.73,728,"1,044",-0.26,2017,gir_pct
9,NA,Dustin Johnson,77,69.61,852,"1,224",-0.31,2017,gir_pct
10,NA,Robert Garrigus,78,69.52,901,"1,296",-0.28,2017,gir_pct
11,NA,J.J. Henry,92,69.44,"1,075","1,548",-0.21,2017,gir_pct
12,NA,Gary Woodland,94,69.35,"1,061","1,530",-0.26,2017,gir_pct
13,NA,Patrick Cantlay,52,69.21,598,864,-0.29,2017,gir_pct
14,NA,Hideki Matsuyama,83,69.14,896,"1,296",-0.32,2017,gir_pct
15,NA,Luke List,102,69.1,"1,219","1,764",-0.29,2017,gir_pct
16,NA,Chad Campbell,97,69.07,"1,206","1,746",-0.24,2017,gir_pct
17,NA,Tony Finau,106,68.96,"1,291","1,872",-0.3,2017,gir_pct
18,NA,Keegan Bradley,104,68.93,"1,216","1,764",-0.28,2017,gir_pct
19,NA,Jon Rahm,90,68.79,"1,003","1,458",-0.3,2017,gir_pct
20,NA,Boo Weekley,75,68.65,902,"1,314",-0.22,2017,gir_pct
21,NA,Graham DeLaet,82,68.57,938,"1,368",-0.27,2017,gir_pct
22,NA,Stewart Cink,93,68.54,"1,098","1,602",-0.28,2017,gir_pct
23,NA,Hudson Swafford,94,68.21,"1,105","1,620",-0.27,2017,gir_pct
T24,NA,Billy Horschel,88,68.19,"1,031","1,512",-0.23,2017,gir_pct
T24,NA,Justin Rose,66,68.19,761,"1,116",-0.29,2017,gir_pct
26,NA,Jim Herman,77,68.07,919,"1,350",-0.25,2017,gir_pct
27,NA,Scott Stallings,81,67.89,941,"1,386",-0.25,2017,gir_pct
28,NA,Xander Schauffele,96,67.74,"1,073","1,584",-0.29,2017,gir_pct
29,NA,Andres Gonzales,73,67.71,841,"1,242",-0.26,2017,gir_pct
30,NA,Harold Varner III,101,67.68,"1,206","1,782",-0.25,2017,gir_pct
31,NA,Blayne Barber,77,67.61,864,"1,278",-0.27,2017,gir_pct
T32,NA,Shane Lowry,52,67.53,547,810,-0.28,2017,gir_pct
T32,NA,C.T. Pan,88,67.53,"1,021","1,512",-0.23,2017,gir_pct
34,NA,Ryan Brehm,83,67.5,887,"1,314",-0.26,2017,gir_pct
35,NA,Shawn Stefani,72,67.48,826,"1,224",-0.24,2017,gir_pct
36,NA,Richy Werenski,81,67.42,898,"1,332",-0.25,2017,gir_pct
T37,NA,Bud Cauley,92,67.38,"1,043","1,548",-0.27,2017,gir_pct
T37,NA,Marc Leishman,94,67.38,"1,043","1,548",-0.29,2017,gir_pct
39,NA,Rory Sabbatini,71,67.35,788,"1,170",-0.28,2017,gir_pct
40,NA,Justin Thomas,86,67.33,909,"1,350",-0.36,2017,gir_pct
41,NA,Russell Henley,99,67.32,"1,127","1,674",-0.28,2017,gir_pct
42,NA,Brendan Steele,89,67.29,969,"1,440",-0.27,2017,gir_pct
43,NA,Bill Haas,92,67.28,981,"1,458",-0.24,2017,gir_pct
44,NA,William McGirt,89,67.23,956,"1,422",-0.24,2017,gir_pct
45,NA,Francesco Molinari,75,67.22,847,"1,260",-0.27,2017,gir_pct
46,NA,Jason Dufner,89,67.15,967,"1,440",-0.28,2017,gir_pct
47,NA,J.J. Spaun,92,67.12,"1,039","1,548",-0.26,2017,gir_pct
48,NA,Emiliano Grillo,90,67.06,"1,026","1,530",-0.26,2017,gir_pct
49,NA,Charles Howell III,86,67.01,989,"1,476",-0.27,2017,gir_pct
50,NA,Rickie Fowler,78,66.98,868,"1,296",-0.32,2017,gir_pct
51,NA,Jason Kokrak,95,66.97,"1,097","1,638",-0.25,2017,gir_pct
T52,NA,Daniel Berger,91,66.93,"1,012","1,512",-0.29,2017,gir_pct
T52,NA,Johnson Wagner,71,66.93,759,"1,134",-0.24,2017,gir_pct
54,NA,Chez Reavie,98,66.91,"1,096","1,638",-0.28,2017,gir_pct
55,NA,Rick Lamb,54,66.89,602,900,-0.26,2017,gir_pct
56,NA,Adam Scott,58,66.87,674,"1,008",-0.27,2017,gir_pct
