RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS,year,measure
1,1,Vijay Singh,111,2.03,0.934,0.697,0.398,88,2005,sg_tee_to_green
2,2,Kenny Perry,82,1.835,0.949,0.898,-0.012,60,2005,sg_tee_to_green
3,3,Sergio Garcia,73,1.773,1.003,0.522,0.248,52,2005,sg_tee_to_green
4,4,Tiger Woods,76,1.742,0.896,0.86,-0.015,55,2005,sg_tee_to_green
5,5,Jim Furyk,94,1.5,0.096,0.982,0.422,72,2005,sg_tee_to_green
6,6,Luke Donald,67,1.434,0.082,0.93,0.422,40,2005,sg_tee_to_green
7,7,Phil Mickelson,81,1.261,0.341,0.565,0.355,50,2005,sg_tee_to_green
8,8,Brian Davis,75,1.12,0.488,0.592,0.04,64,2005,sg_tee_to_green
9,9,Joe Durant,81,1.112,0.562,0.523,0.028,69,2005,sg_tee_to_green
10,10,Fred Couples,72,1.098,0.499,0.629,-0.03,44,2005,sg_tee_to_green
11,11,Scott Verplank,87,1.042,0.246,0.593,0.203,66,2005,sg_tee_to_green
12,12,Adam Scott,72,1.03,0.441,0.566,0.024,52,2005,sg_tee_to_green
13,13,Billy Mayfair,114,0.984,0.409,0.304,0.271,102,2005,sg_tee_to_green
14,14,Justin Rose,99,0.964,0.342,0.399,0.223,89,2005,sg_tee_to_green
15,15,Davis Love III,80,0.945,0.498,0.433,0.014,57,2005,sg_tee_to_green
16,16,David Toms,87,0.922,0.201,0.546,0.174,64,2005,sg_tee_to_green
17,17,Shigeki Maruyama,99,0.92,-0.117,0.721,0.316,85,2005,sg_tee_to_green
18,18,Robert Allenby,95,0.88,0.345,0.705,-0.17,73,2005,sg_tee_to_green
19,19,Alex Cejka,84,0.853,0.012,0.761,0.08,70,2005,sg_tee_to_green
20,20,Tim Clark,92,0.848,0.052,0.608,0.188,65,2005,sg_tee_to_green
21,21,Greg Owen,84,0.818,0.441,0.386,-0.008,71,2005,sg_tee_to_green
22,22,Woody Austin,100,0.815,0.126,0.49,0.2,91,2005,sg_tee_to_green
23,23,Tim Herron,100,0.797,0.249,0.189,0.359,78,2005,sg_tee_to_green
24,24,Stuart Appleby,84,0.783,0.41,0.206,0.168,63,2005,sg_tee_to_green
25,25,Bart Bryant,91,0.772,0.44,0.452,-0.12,77,2005,sg_tee_to_green
26,26,D.J. Trahan,81,0.758,0.551,0.203,0.003,71,2005,sg_tee_to_green
