RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS,year,measure
1,1,Dustin Johnson,77,1.987,0.919,0.829,0.238,62,2018,sg_tee_to_green
2,2,Francesco Molinari,73,1.61,0.69,0.593,0.327,57,2018,sg_tee_to_green
3,3,Justin Thomas,91,1.563,0.408,0.844,0.311,68,2018,sg_tee_to_green
4,5,Justin Rose,70,1.527,0.551,0.526,0.45,53,2018,sg_tee_to_green
5,11,Henrik Stenson,60,1.36,0.427,0.96,-0.027,44,2018,sg_tee_to_green
6,10,Rory McIlroy,64,1.351,0.761,0.269,0.322,51,2018,sg_tee_to_green
7,9,Luke List,98,1.337,0.795,0.194,0.349,78,2018,sg_tee_to_green
8,7,Tiger Woods,68,1.33,0.061,0.883,0.385,59,2018,sg_tee_to_green
9,13,Tommy Fleetwood,73,1.282,0.58,0.405,0.296,54,2018,sg_tee_to_green
10,4,Patrick Cantlay,87,1.278,0.622,0.509,0.146,67,2018,sg_tee_to_green
11,8,Bryson DeChambeau,93,1.212,0.586,0.556,0.07,78,2018,sg_tee_to_green
12,T15,Ryan Moore,78,1.211,0.406,0.532,0.273,66,2018,sg_tee_to_green
13,14,Tony Finau,105,1.203,0.481,0.5,0.222,81,2018,sg_tee_to_green
14,6,Keegan Bradley,98,1.151,0.237,0.888,0.026,80,2018,sg_tee_to_green
15,T15,Byeong Hun An,86,1.091,0.475,0.448,0.167,73,2018,sg_tee_to_green
T16,21,Hideki Matsuyama,75,1.064,0.194,0.727,0.143,57,2018,sg_tee_to_green
T16,18,Adam Scott,78,1.064,0.3,0.639,0.125,60,2018,sg_tee_to_green
18,19,Gary Woodland,96,1.059,0.803,0.484,-0.228,70,2018,sg_tee_to_green
19,12,Brooks Koepka,64,1.052,0.658,0.232,0.162,54,2018,sg_tee_to_green
20,17,Jon Rahm,71,1.039,0.817,0.047,0.176,51,2018,sg_tee_to_green
21,20,Rickie Fowler,74,0.98,0.244,0.494,0.242,61,2018,sg_tee_to_green
22,24,Kevin Streelman,94,0.868,0.439,0.415,0.014,82,2018,sg_tee_to_green
23,22,Jordan Spieth,81,0.863,0.271,0.409,0.184,66,2018,sg_tee_to_green
24,25,Scott Piercy,84,0.859,0.209,0.553,0.097,68,2018,sg_tee_to_green
25,26,Rafa Cabrera Bello,75,0.839,0.256,0.487,0.096,48,2018,sg_tee_to_green
26,29,Paul Casey,74,0.833,0.138,0.586,0.109,49,2018,sg_tee_to_green
27,31,Zach Johnson,94,0.829,-0.059,0.463,0.425,72,2018,sg_tee_to_green
28,28,Stewart Cink,87,0.81,0.057,0.698,0.055,67,2018,sg_tee_to_green
29,23,Patrick Reed,94,0.783,0.051,0.187,0.545,63,2018,sg_tee_to_green
30,32,J.B. Holmes,77,0.756,0.565,0.159,0.032,68,2018,sg_tee_to_green
31,35,Webb Simpson,95,0.741,-0.116,0.486,0.37,81,2018,sg_tee_to_green
32,37,Billy Horschel,86,0.72,0.538,0.352,-0.169,77,2018,sg_tee_to_green
33,38,Joel Dahmen,93,0.677,0.3,0.381,-0.004,71,2018,sg_tee_to_green
34,27,Kevin Chappell,77,0.668,0.608,0.296,-0.236,62,2018,sg_tee_to_green
35,40,Chris Kirk,108,0.659,-0.048,0.518,0.19,96,2018,sg_tee_to_green
36,39,Chesson Hadley,103,0.65,0.146,0.606,-0.102,89,2018,sg_tee_to_green
37,34,Kyle Stanley,93,0.649,0.378,0.298,-0.027,67,2018,sg_tee_to_green
38,33,Ian Poulter,73,0.627,0.141,0.435,0.051,50,2018,sg_tee_to_green
39,T47,Brendan Steele,74,0.604,0.557,0.243,-0.195,54,2018,sg_tee_to_green
40,58,Tyrrell Hatton,58,0.603,0.148,0.202,0.252,42,2018,sg_tee_to_green
41,42,Emiliano Grillo,94,0.587,0.364,0.345,-0.122,73,2018,sg_tee_to_green
42,44,Tyler Duncan,97,0.583,0.273,0.476,-0.166,81,2018,sg_tee_to_green
43,41,Charles Howell III,104,0.582,0.324,0.163,0.095,78,2018,sg_tee_to_green
44,43,Corey Conners,97,0.579,0.501,0.275,-0.198,79,2018,sg_tee_to_green
45,30,Bubba Watson,90,0.554,0.78,0.005,-0.231,68,2018,sg_tee_to_green
46,T63,Louis Oosthuizen,62,0.548,0.401,-0.261,0.408,46,2018,sg_tee_to_green
47,T47,C.T. Pan,104,0.544,0.215,0.267,0.063,82,2018,sg_tee_to_green
48,53,Shane Lowry,64,0.524,0.331,0.245,-0.052,51,2018,sg_tee_to_green
49,50,Jason Kokrak,99,0.517,0.36,0.257,-0.101,88,2018,sg_tee_to_green
50,36,Jason Day,75,0.515,0.176,-0.14,0.479,49,2018,sg_tee_to_green
51,52,Sam Ryder,82,0.503,0.203,0.399,-0.099,70,2018,sg_tee_to_green
52,T47,Marc Leishman,93,0.498,-0.006,0.211,0.292,73,2018,sg_tee_to_green
53,54,Daniel Berger,81,0.497,0.1,0.543,-0.145,62,2018,sg_tee_to_green
T54,55,Cameron Percy,56,0.49,0.241,0.039,0.21,41,2018,sg_tee_to_green
T54,46,Adam Hadwin,92,0.49,0.057,0.166,0.267,66,2018,sg_tee_to_green
56,56,Keith Mitchell,99,0.486,0.706,-0.128,-0.092,83,2018,sg_tee_to_green
57,51,Chez Reavie,93,0.483,0.183,0.437,-0.137,60,2018,sg_tee_to_green
58,60,Russell Knox,94,0.471,0.059,0.263,0.149,74,2018,sg_tee_to_green
59,57,Aaron Wise,90,0.464,0.41,0.012,0.042,80,2018,sg_tee_to_green
60,59,Branden Grace,67,0.463,0.163,0.174,0.125,44,2018,sg_tee_to_green
61,66,Lucas Glover,65,0.462,0.514,-0.043,-0.008,46,2018,sg_tee_to_green
62,68,Xander Schauffele,96,0.448,0.24,0.235,-0.027,72,2018,sg_tee_to_green
63,61,J.J. Spaun,85,0.441,0.286,0.41,-0.255,71,2018,sg_tee_to_green
64,62,James Hahn,85,0.431,0.323,0.081,0.028,69,2018,sg_tee_to_green
T65,65,Andrew Putnam,97,0.42,-0.146,0.38,0.187,77,2018,sg_tee_to_green
T65,45,Phil Mickelson,90,0.42,-0.225,0.555,0.091,70,2018,sg_tee_to_green
67,81,Charley Hoffman,87,0.398,0.254,0.216,-0.071,68,2018,sg_tee_to_green
68,67,Ryan Armour,109,0.395,-0.012,0.213,0.194,96,2018,sg_tee_to_green
69,69,Jamie Lovemark,92,0.378,-0.101,-0.04,0.519,78,2018,sg_tee_to_green
T70,T70,J.J. Henry,81,0.376,0.174,0.34,-0.138,63,2018,sg_tee_to_green
T70,T70,Abraham Ancer,98,0.376,0.325,0.074,-0.022,83,2018,sg_tee_to_green
72,83,Russell Henley,77,0.374,0.093,0.467,-0.186,58,2018,sg_tee_to_green
T73,72,Bronson Burgoon,69,0.373,0.309,0.371,-0.307,57,2018,sg_tee_to_green
T73,84,Kiradech Aphibarnrat,51,0.373,0.485,-0.247,0.135,34,2018,sg_tee_to_green
75,76,Aaron Baddeley,84,0.366,-0.345,0.117,0.595,70,2018,sg_tee_to_green
76,73,Robert Garrigus,80,0.356,0.21,0.331,-0.186,68,2018,sg_tee_to_green
77,74,Scott Stallings,96,0.341,-0.008,0.373,-0.025,80,2018,sg_tee_to_green
78,77,Alex Cejka,77,0.302,-0.024,-0.169,0.495,60,2018,sg_tee_to_green
T79,T78,Vaughn Taylor,83,0.299,-0.005,0.305,-0.002,70,2018,sg_tee_to_green
T79,T78,Rory Sabbatini,91,0.299,0.217,-0.152,0.234,75,2018,sg_tee_to_green
81,80,Ryan Palmer,69,0.297,0.235,0.236,-0.174,60,2018,sg_tee_to_green
82,75,Alex Noren,67,0.286,0.208,0.107,-0.029,49,2018,sg_tee_to_green
83,82,Kevin Tway,110,0.277,0.271,0.032,-0.026,90,2018,sg_tee_to_green
84,T63,Kevin Na,91,0.268,-0.378,0.273,0.373,70,2018,sg_tee_to_green
85,T85,Austin Cook,107,0.254,0.12,-0.045,0.179,92,2018,sg_tee_to_green
86,91,Peter Uihlein,83,0.247,0.132,-0.04,0.156,65,2018,sg_tee_to_green
87,87,Tom Hoge,101,0.235,0.018,0.297,-0.079,83,2018,sg_tee_to_green
T88,88,Nate Lashley,51,0.228,0.111,0.036,0.08,35,2018,sg_tee_to_green
T88,T85,Matt Kuchar,88,0.228,-0.199,0.216,0.211,65,2018,sg_tee_to_green
90,89,Graeme McDowell,67,0.219,0.124,0.046,0.049,46,2018,sg_tee_to_green
91,93,Martin Laird,73,0.189,-0.045,0.024,0.209,61,2018,sg_tee_to_green
92,95,Mackenzie Hughes,80,0.163,-0.068,0.353,-0.122,68,2018,sg_tee_to_green
93,90,Harold Varner III,91,0.149,0.204,-0.076,0.021,74,2018,sg_tee_to_green
94,94,Brandt Snedeker,84,0.147,-0.145,-0.026,0.318,74,2018,sg_tee_to_green
95,96,Nick Watney,94,0.143,0.17,0.141,-0.167,80,2018,sg_tee_to_green
96,98,Shawn Stefani,76,0.141,-0.093,0.22,0.013,60,2018,sg_tee_to_green
T97,92,Matt Jones,70,0.139,0.333,-0.386,0.192,47,2018,sg_tee_to_green
T97,97,Bill Haas,76,0.139,-0.177,-0.052,0.368,66,2018,sg_tee_to_green
T99,T99,Sam Saunders,80,0.132,0.35,-0.081,-0.138,67,2018,sg_tee_to_green
T99,T99,Troy Merritt,89,0.132,0.138,0.086,-0.092,73,2018,sg_tee_to_green
101,111,Brian Gay,103,0.123,-0.166,0.036,0.253,92,2018,sg_tee_to_green
102,101,Zac Blair,64,0.12,-0.345,0.072,0.394,46,2018,sg_tee_to_green
103,114,Cameron Smith,85,0.104,-0.148,0.034,0.218,61,2018,sg_tee_to_green
104,104,David Hearn,66,0.095,-0.17,0.379,-0.113,50,2018,sg_tee_to_green
105,105,Bud Cauley,55,0.094,-0.113,-0.032,0.239,41,2018,sg_tee_to_green
106,106,Johnson Wagner,75,0.092,-0.213,0.078,0.226,55,2018,sg_tee_to_green
