RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS,year,measure
1,3,Andrew Putnam,24,1.765,17.654,10,2004,sg_putting
2,2,Denny McCarthy,32,1.615,33.906,21,2004,sg_putting
3,4,Mikumu Horikawa,12,1.529,6.114,4,2004,sg_putting
4,5,Rod Pampling,8,1.477,5.907,4,2004,sg_putting
5,6,Cameron Smith,22,1.299,18.192,14,2004,sg_putting
6,1,Billy Horschel,21,1.296,2.591,2,2004,sg_putting
7,7,Patrick Reed,14,1.205,7.229,6,2004,sg_putting
8,9,Kevin Na,26,1.043,16.69,16,2004,sg_putting
9,8,Dominic Bozzelli,23,1.039,16.618,16,2004,sg_putting
10,15,Kristoffer Ventura,25,0.988,15.802,16,2004,sg_putting
11,10,Viktor Hovland,14,0.983,3.931,4,2004,sg_putting
12,14,Sungjae Im,32,0.944,16.989,18,2004,sg_putting
13,12,Webb Simpson,12,0.939,10.329,11,2004,sg_putting
14,13,Peter Malnati,27,0.874,17.476,20,2004,sg_putting
15,19,Adam Scott,16,0.835,6.682,8,2004,sg_putting
16,11,Stewart Cink,15,0.814,9.762,12,2004,sg_putting
17,21,Brandt Snedeker,16,0.805,12.886,16,2004,sg_putting
18,22,Lanto Griffin,38,0.793,23.009,29,2004,sg_putting
19,16,Richy Werenski,13,0.787,8.655,11,2004,sg_putting
20,23,Brendon de Jonge,6,0.767,3.068,4,2004,sg_putting
21,20,J.T. Poston,32,0.746,12.679,17,2004,sg_putting
22,25,Bryson DeChambeau,10,0.717,7.171,10,2004,sg_putting
23,26,Rhein Gibson,31,0.703,15.475,22,2004,sg_putting
24,28,Whee Kim,6,0.66,1.319,2,2004,sg_putting
25,41,Patrick Rodgers,34,0.64,16,25,2004,sg_putting
26,29,Charles Howell III,33,0.63,8.822,14,2004,sg_putting
27,31,Brandon Wu,8,0.621,2.483,4,2004,sg_putting
28,32,Kevin Tway,20,0.617,4.937,8,2004,sg_putting
29,18,Bronson Burgoon,28,0.605,12.701,21,2004,sg_putting
30,33,Tom Lewis,6,0.6,3.597,6,2004,sg_putting
31,24,Sebastián Muñoz,34,0.583,16.905,29,2004,sg_putting
32,36,Matthew NeSmith,28,0.577,12.122,21,2004,sg_putting
33,17,Francesco Molinari,11,0.562,2.808,5,2004,sg_putting
34,27,John Huh,16,0.551,7.715,14,2004,sg_putting
35,39,Adam Hadwin,20,0.549,6.043,11,2004,sg_putting
36,70,Adam Schenk,30,0.545,9.271,17,2004,sg_putting
37,40,Tommy Gainey,10,0.544,3.807,7,2004,sg_putting
38,46,Bud Cauley,20,0.538,9.69,18,2004,sg_putting
39,38,Nick Watney,22,0.535,9.089,17,2004,sg_putting
40,42,Chip McDaniel,6,0.532,1.063,2,2004,sg_putting
41,43,Chad Campbell,10,0.528,3.692,7,2004,sg_putting
42,47,Sam Burns,16,0.523,7.326,14,2004,sg_putting
43,37,Brian Gay,31,0.52,10.39,20,2004,sg_putting
44,44,Chase Koepka,8,0.517,2.068,4,2004,sg_putting
45,T62,Kevin Chappell,19,0.487,5.845,12,2004,sg_putting
46,74,Tim Wilkinson,20,0.474,6.158,13,2004,sg_putting
47,51,Beau Hossler,27,0.463,7.404,16,2004,sg_putting
48,49,Johnson Wagner,12,0.455,4.097,9,2004,sg_putting
49,48,Chase Seiffert,30,0.453,8.601,19,2004,sg_putting
50,61,Tom Hoge,24,0.451,8.563,19,2004,sg_putting
T51,50,Pat Perez,22,0.447,4.47,10,2004,sg_putting
T51,55,Matthew Wolff,20,0.447,4.467,10,2004,sg_putting
53,35,Harris English,26,0.443,8.41,19,2004,sg_putting
54,30,Brian Harman,30,0.44,10.124,23,2004,sg_putting
55,52,Wyndham Clark,19,0.428,2.999,7,2004,sg_putting
56,72,Ricky Barnes,23,0.423,6.771,16,2004,sg_putting
57,56,Bubba Watson,14,0.4,2.398,6,2004,sg_putting
58,T67,Ryan Moore,18,0.396,3.166,8,2004,sg_putting
59,53,Mark Hubbard,36,0.395,9.884,25,2004,sg_putting
60,76,Michael Gligic,26,0.388,6.597,17,2004,sg_putting
61,58,Graeme McDowell,17,0.387,3.095,8,2004,sg_putting
T62,59,K.J. Choi,8,0.381,1.141,3,2004,sg_putting
T62,T67,Brendon Todd,36,0.381,9.525,25,2004,sg_putting
64,69,Austin Cook,23,0.38,6.84,18,2004,sg_putting
65,45,Maverick McNealy,32,0.372,7.821,21,2004,sg_putting
66,87,Brendan Steele,28,0.365,7.655,21,2004,sg_putting
67,64,J.J. Spaun,27,0.354,7.081,20,2004,sg_putting
68,66,David Lingmerth,12,0.352,3.169,9,2004,sg_putting
69,54,Vaughn Taylor,30,0.33,4.946,15,2004,sg_putting
70,84,Talor Gooch,30,0.325,7.485,23,2004,sg_putting
71,73,Patton Kizzire,25,0.319,5.743,18,2004,sg_putting
72,77,David Hearn,32,0.305,6.396,21,2004,sg_putting
73,71,Peter Uihlein,20,0.299,5.079,17,2004,sg_putting
74,78,Morgan Hoffmann,10,0.276,2.759,10,2004,sg_putting
75,65,Zac Blair,32,0.271,5.688,21,2004,sg_putting
76,T79,Matt Kuchar,12,0.268,1.877,7,2004,sg_putting
77,34,Troy Merritt,24,0.264,3.432,13,2004,sg_putting
78,81,Patrick Cantlay,12,0.262,3.142,12,2004,sg_putting
T79,57,Nate Lashley,24,0.253,4.8,19,2004,sg_putting
T79,82,Henrik Stenson,6,0.253,0.506,2,2004,sg_putting
81,85,Michael Thompson,21,0.241,4.34,18,2004,sg_putting
82,75,Nick Taylor,27,0.233,4.651,20,2004,sg_putting
83,T90,Nelson Ledesma,25,0.229,3.668,16,2004,sg_putting
84,161,Abraham Ancer,28,0.219,2.189,10,2004,sg_putting
85,T62,Cameron Percy,25,0.202,3.631,18,2004,sg_putting
86,110,Vincent Whaley,18,0.191,2.86,15,2004,sg_putting
87,86,Ryan Palmer,20,0.185,2.219,12,2004,sg_putting
88,149,Ben Martin,18,0.172,1.896,11,2004,sg_putting
89,100,Carlos Ortiz,30,0.162,3.892,24,2004,sg_putting
90,83,Russell Knox,30,0.149,2.838,19,2004,sg_putting
91,96,Scottie Scheffler,32,0.145,3.055,21,2004,sg_putting
T92,60,Kevin Streelman,25,0.141,1.688,12,2004,sg_putting
T92,T90,Bo Hoag,36,0.141,3.526,25,2004,sg_putting
94,97,Aaron Baddeley,19,0.135,1.622,12,2004,sg_putting
95,89,Brice Garnett,25,0.124,2.238,18,2004,sg_putting
96,94,Seamus Power,14,0.117,1.056,9,2004,sg_putting
97,95,Gary Woodland,16,0.113,0.904,8,2004,sg_putting
98,92,Harold Varner III,27,0.106,1.371,13,2004,sg_putting
99,93,Michael Gellerman,23,0.09,1.623,18,2004,sg_putting
100,101,Cameron Tringale,28,0.083,1.746,21,2004,sg_putting
101,103,Joaquin Niemann,28,0.078,1.396,18,2004,sg_putting
T102,T105,J.B. Holmes,8,0.072,0.433,6,2004,sg_putting
T102,T105,Luke Donald,8,0.072,0.214,3,2004,sg_putting
T102,137,Sepp Straka,26,0.072,1.372,19,2004,sg_putting
105,119,Sam Ryder,32,0.07,1.61,23,2004,sg_putting
106,T79,Max Homa,22,0.051,0.614,12,2004,sg_putting
107,88,Tyler Duncan,32,0.042,0.883,21,2004,sg_putting
108,T111,Zach Johnson,23,0.033,0.526,16,2004,sg_putting
T109,99,Daniel Berger,22,0.026,0.413,16,2004,sg_putting
T109,109,Collin Morikawa,24,0.026,0.421,16,2004,sg_putting
111,113,Jim Furyk,12,0.014,0.152,11,2004,sg_putting
T112,T107,Henrik Norlander,32,0.011,0.226,21,2004,sg_putting
T112,98,Brian Stuard,38,0.011,0.244,23,2004,sg_putting
114,138,Cameron Champ,26,0,0.003,20,2004,sg_putting
115,T116,George McNeill,15,-0.004,-0.053,12,2004,sg_putting
116,118,Mark Anderson,22,-0.005,-0.102,19,2004,sg_putting
117,129,Scott Brown,27,-0.008,-0.162,20,2004,sg_putting
118,,Rickie Fowler,8,-0.014,-0.084,6,2004,sg_putting
T119,123,Scott Harrington,33,-0.031,-0.676,22,2004,sg_putting
T119,T116,Harry Higgs,33,-0.031,-0.682,22,2004,sg_putting
121,T107,Adam Long,37,-0.032,-0.694,22,2004,sg_putting
122,120,John Oda,8,-0.033,-0.26,8,2004,sg_putting
123,T121,Matt Jones,26,-0.041,-0.688,17,2004,sg_putting
124,124,Rikuya Hoshino,8,-0.044,-0.176,4,2004,sg_putting
125,134,Russell Henley,25,-0.051,-1.028,20,2004,sg_putting
126,125,Sangmoon Bae,14,-0.053,-0.476,9,2004,sg_putting
127,126,Chandler Phillips,6,-0.057,-0.34,6,2004,sg_putting
128,104,James Hahn,19,-0.072,-0.866,12,2004,sg_putting
129,130,Si Woo Kim,25,-0.08,-1.039,13,2004,sg_putting
130,T121,Anirban Lahiri,22,-0.085,-1.447,17,2004,sg_putting
131,133,Xinjun Zhang,33,-0.091,-2.01,22,2004,sg_putting
132,128,Ben Taylor,27,-0.099,-1.781,18,2004,sg_putting
133,155,Doc Redman,34,-0.117,-2.917,25,2004,sg_putting
134,114,Byeong Hun An,27,-0.12,-1.557,13,2004,sg_putting
T135,T135,Lucas Bjerregaard,9,-0.121,-0.845,7,2004,sg_putting
T135,T135,Jamie Lovemark,10,-0.121,-1.212,10,2004,sg_putting
T137,140,Rob Oppenheim,33,-0.132,-3.177,24,2004,sg_putting
T137,T111,"Ted Potter, Jr.",17,-0.132,-1.849,14,2004,sg_putting
139,102,Scott Stallings,28,-0.135,-2.295,17,2004,sg_putting
140,151,Fabián Gómez,30,-0.137,-2.869,21,2004,sg_putting
141,127,Doug Ghim,19,-0.141,-1.971,14,2004,sg_putting
142,142,Roberto Castro,16,-0.147,-1.91,13,2004,sg_putting
143,132,Rory Sabbatini,26,-0.149,-1.642,11,2004,sg_putting
144,145,Joseph Bramlett,23,-0.155,-2.487,16,2004,sg_putting
145,143,Justin Thomas,18,-0.156,-1.556,10,2004,sg_putting
146,T172,Sebastian Cappelen,28,-0.164,-2.792,17,2004,sg_putting
147,144,Dylan Frittelli,32,-0.165,-3.136,19,2004,sg_putting
148,148,Xander Schauffele,12,-0.179,-0.714,4,2004,sg_putting
149,131,Vince Covello,19,-0.191,-2.676,14,2004,sg_putting
150,152,Corey Conners,26,-0.209,-2.924,14,2004,sg_putting
151,150,Robby Shelton,31,-0.229,-5.041,22,2004,sg_putting
152,153,Robert Streb,29,-0.23,-4.135,18,2004,sg_putting
153,154,Chris Kirk,8,-0.238,-0.715,3,2004,sg_putting
154,141,Charley Hoffman,22,-0.256,-3.586,14,2004,sg_putting
T155,157,Parker McLachlin,10,-0.265,-1.592,6,2004,sg_putting
T155,158,Kyle Stanley,23,-0.265,-4.776,18,2004,sg_putting
157,159,Sung Kang,24,-0.275,-4.394,16,2004,sg_putting
158,147,Hudson Swafford,13,-0.278,-1.67,6,2004,sg_putting
159,179,Cameron Davis,22,-0.281,-4.785,17,2004,sg_putting
160,115,Lucas Glover,23,-0.284,-2.558,9,2004,sg_putting
161,169,Ben Crane,17,-0.29,-3.482,12,2004,sg_putting
162,139,Kevin Kisner,25,-0.294,-2.944,10,2004,sg_putting
163,156,Kramer Hickok,27,-0.308,-5.542,18,2004,sg_putting
164,T162,Tim Herron,10,-0.324,-2.264,7,2004,sg_putting
165,164,Keith Mitchell,22,-0.325,-3.58,11,2004,sg_putting
166,160,Hank Lebioda,28,-0.34,-6.454,19,2004,sg_putting
167,166,Shugo Imahira,6,-0.341,-0.681,2,2004,sg_putting
168,167,Joel Dahmen,28,-0.349,-5.228,15,2004,sg_putting
169,146,D.J. Trahan,26,-0.357,-6.781,19,2004,sg_putting
170,168,Robert Allenby,6,-0.363,-1.45,4,2004,sg_putting
171,181,Alex Noren,16,-0.368,-3.308,9,2004,sg_putting
172,T172,Isaiah Salinda,11,-0.374,-3.369,9,2004,sg_putting
173,205,Chesson Hadley,24,-0.381,-6.482,17,2004,sg_putting
174,170,Will Gordon,12,-0.384,-2.686,7,2004,sg_putting
175,171,Shawn Stefani,22,-0.386,-5.011,13,2004,sg_putting
176,T172,Andrew Novak,6,-0.387,-2.324,6,2004,sg_putting
177,176,D.A. Points,8,-0.395,-1.974,5,2004,sg_putting
178,177,Kurt Kitayama,6,-0.401,-0.802,2,2004,sg_putting
179,178,Derek Ernst,10,-0.404,-2.019,5,2004,sg_putting
180,207,Kyoung-Hoon Lee,28,-0.42,-6.293,15,2004,sg_putting
181,T162,Chez Reavie,31,-0.43,-5.594,13,2004,sg_putting
182,182,J.J. Henry,12,-0.448,-4.034,9,2004,sg_putting
183,T183,Daniel Chopra,8,-0.45,-2.699,6,2004,sg_putting
184,210,Grayson Murray,15,-0.452,-5.877,13,2004,sg_putting
185,186,Michael Kim,14,-0.469,-3.75,8,2004,sg_putting
186,204,Chris Stroud,19,-0.487,-5.842,12,2004,sg_putting
187,165,John Senden,13,-0.49,-3.432,7,2004,sg_putting
188,188,Satoshi Kodaira,20,-0.492,-5.411,11,2004,sg_putting
189,189,Marc Leishman,17,-0.494,-4.444,9,2004,sg_putting
190,T183,Roger Sloan,21,-0.496,-6.443,13,2004,sg_putting
191,193,Bo Van Pelt,17,-0.517,-5.688,11,2004,sg_putting
T192,191,Keegan Bradley,24,-0.52,-7.284,14,2004,sg_putting
T192,185,Martin Trainer,19,-0.52,-8.838,17,2004,sg_putting
194,180,Mackenzie Hughes,21,-0.528,-8.453,16,2004,sg_putting
195,209,Zack Sucher,17,-0.558,-6.701,12,2004,sg_putting
196,197,Brandon Hagy,19,-0.564,-9.023,16,2004,sg_putting
197,194,Hideki Matsuyama,22,-0.57,-5.696,10,2004,sg_putting
198,195,Graham DeLaet,14,-0.575,-4.601,8,2004,sg_putting
199,198,Ryan Brehm,30,-0.597,-11.338,19,2004,sg_putting
200,196,Jimmy Walker,11,-0.604,-5.437,9,2004,sg_putting
201,206,Wes Roach,24,-0.607,-7.885,13,2004,sg_putting
202,199,John Rollins,8,-0.621,-3.724,6,2004,sg_putting
203,190,Luke List,27,-0.646,-11.627,18,2004,sg_putting
T204,187,Phil Mickelson,17,-0.652,-4.566,7,2004,sg_putting
T204,201,Jim Herman,24,-0.652,-12.394,19,2004,sg_putting
206,213,Jason Kokrak,17,-0.655,-4.585,7,2004,sg_putting
207,175,Aaron Wise,19,-0.688,-6.876,10,2004,sg_putting
208,202,Scott Piercy,30,-0.692,-11.075,16,2004,sg_putting
209,227,Paul Casey,16,-0.699,-4.194,6,2004,sg_putting
210,192,Matt Every,18,-0.701,-11.223,16,2004,sg_putting
211,203,Martin Laird,23,-0.704,-12.675,18,2004,sg_putting
212,214,Jhonattan Vegas,18,-0.707,-7.066,10,2004,sg_putting
213,208,Jonathan Byrd,14,-0.72,-7.919,11,2004,sg_putting
214,224,Andrew Landry,22,-0.77,-13.095,17,2004,sg_putting
215,218,Danny Lee,25,-0.794,-8.73,11,2004,sg_putting
216,212,Davis Riley,8,-0.834,-5.838,7,2004,sg_putting
217,226,Tony Finau,18,-0.843,-5.06,6,2004,sg_putting
218,200,Akshay Bhatia,11,-0.852,-6.815,8,2004,sg_putting
219,215,Davis Love III,6,-0.897,-0.897,1,2004,sg_putting
220,216,Branden Grace,10,-0.918,-3.67,4,2004,sg_putting
221,211,Bill Haas,19,-0.92,-14.722,16,2004,sg_putting
222,217,Emiliano Grillo,24,-0.934,-11.209,12,2004,sg_putting
223,219,Rafael Campos,29,-0.938,-16.886,18,2004,sg_putting
224,220,Robert Garrigus,14,-1.021,-9.189,9,2004,sg_putting
225,223,Freddie Jacobson,6,-1.109,-5.544,5,2004,sg_putting
226,221,Tyler McCumber,29,-1.116,-23.432,21,2004,sg_putting
227,222,Ryan Armour,27,-1.12,-17.922,16,2004,sg_putting
228,225,John Merrick,10,-1.126,-5.628,5,2004,sg_putting
229,228,Josh Teater,16,-1.167,-10.507,9,2004,sg_putting
230,229,Jason Dufner,18,-1.209,-18.129,15,2004,sg_putting
231,230,Alex Cejka,15,-1.214,-12.142,10,2004,sg_putting
232,231,Boo Weekley,14,-1.245,-11.205,9,2004,sg_putting
233,232,Arjun Atwal,12,-1.428,-9.998,7,2004,sg_putting
234,233,C.T. Pan,16,-1.522,-6.088,4,2004,sg_putting
235,235,Chris Baker,23,-1.539,-18.467,12,2004,sg_putting
236,234,Smylie Kaufman,6,-1.609,-6.437,4,2004,sg_putting
237,236,Kevin Stadler,13,-2.029,-14.205,7,2004,sg_putting
