rest_link,review_link,review_date,rest_name
http://madisonfishfry.com/reviews.php?restaurant=27,http://madisonfishfry.com/reviews.php?restaurant=27&event=18,01/19/2007,Picasso's - Madison - CLOSED
http://madisonfishfry.com/reviews.php?restaurant=27,http://madisonfishfry.com/reviews.php?restaurant=27&event=19,01/19/2007,Picasso's - Madison - CLOSED
http://madisonfishfry.com/reviews.php?restaurant=27,http://madisonfishfry.com/reviews.php?restaurant=27&event=55,09/22/2006,Picasso's - Madison - CLOSED
http://madisonfishfry.com/reviews.php?restaurant=270,http://madisonfishfry.com/reviews.php?restaurant=270&event=503,06/25/2010,Buckingham's
http://madisonfishfry.com/reviews.php?restaurant=271,http://madisonfishfry.com/reviews.php?restaurant=271&event=521,09/03/2010,Culver's - Edgerton (I-90)
http://madisonfishfry.com/reviews.php?restaurant=272,http://madisonfishfry.com/reviews.php?restaurant=272&event=523,09/10/2010,Coach's Club
http://madisonfishfry.com/reviews.php?restaurant=273,http://madisonfishfry.com/reviews.php?restaurant=273&event=1296,10/26/2018,Graze
http://madisonfishfry.com/reviews.php?restaurant=273,http://madisonfishfry.com/reviews.php?restaurant=273&event=550,12/10/2010,Graze
http://madisonfishfry.com/reviews.php?restaurant=273,http://madisonfishfry.com/reviews.php?restaurant=273&event=536,10/15/2010,Graze
http://madisonfishfry.com/reviews.php?restaurant=274,http://madisonfishfry.com/reviews.php?restaurant=274&event=538,10/22/2010,Lakefront Brewery
http://madisonfishfry.com/reviews.php?restaurant=274,http://madisonfishfry.com/reviews.php?restaurant=274&event=539,10/22/2010,Lakefront Brewery
http://madisonfishfry.com/reviews.php?restaurant=274,http://madisonfishfry.com/reviews.php?restaurant=274&event=540,10/22/2010,Lakefront Brewery
http://madisonfishfry.com/reviews.php?restaurant=275,http://madisonfishfry.com/reviews.php?restaurant=275&event=1208,10/13/2017,Buck & Honey's - Sun Prairie
http://madisonfishfry.com/reviews.php?restaurant=275,http://madisonfishfry.com/reviews.php?restaurant=275&event=830,08/02/2013,Buck & Honey's - Sun Prairie
http://madisonfishfry.com/reviews.php?restaurant=275,http://madisonfishfry.com/reviews.php?restaurant=275&event=653,10/28/2011,Buck & Honey's - Sun Prairie
http://madisonfishfry.com/reviews.php?restaurant=275,http://madisonfishfry.com/reviews.php?restaurant=275&event=560,01/28/2011,Buck & Honey's - Sun Prairie
http://madisonfishfry.com/reviews.php?restaurant=275,http://madisonfishfry.com/reviews.php?restaurant=275&event=542,10/29/2010,Buck & Honey's - Sun Prairie
http://madisonfishfry.com/reviews.php?restaurant=276,http://madisonfishfry.com/reviews.php?restaurant=276&event=752,11/02/2012,Dave's South Bay Lounge & Grill - CLOSED
http://madisonfishfry.com/reviews.php?restaurant=276,http://madisonfishfry.com/reviews.php?restaurant=276&event=547,11/19/2010,Dave's South Bay Lounge & Grill - CLOSED
http://madisonfishfry.com/reviews.php?restaurant=277,http://madisonfishfry.com/reviews.php?restaurant=277&event=976,02/06/2015,Capital Tap Haus - CLOSED
http://madisonfishfry.com/reviews.php?restaurant=277,http://madisonfishfry.com/reviews.php?restaurant=277&event=551,12/17/2010,Capital Tap Haus - CLOSED
http://madisonfishfry.com/reviews.php?restaurant=278,http://madisonfishfry.com/reviews.php?restaurant=278&event=883,02/07/2014,Deak's Pub & Grill
http://madisonfishfry.com/reviews.php?restaurant=278,http://madisonfishfry.com/reviews.php?restaurant=278&event=659,11/18/2011,Deak's Pub & Grill
http://madisonfishfry.com/reviews.php?restaurant=278,http://madisonfishfry.com/reviews.php?restaurant=278&event=660,11/18/2011,Deak's Pub & Grill
http://madisonfishfry.com/reviews.php?restaurant=278,http://madisonfishfry.com/reviews.php?restaurant=278&event=557,01/14/2011,Deak's Pub & Grill
http://madisonfishfry.com/reviews.php?restaurant=278,http://madisonfishfry.com/reviews.php?restaurant=278&event=558,01/14/2011,Deak's Pub & Grill
http://madisonfishfry.com/reviews.php?restaurant=279,http://madisonfishfry.com/reviews.php?restaurant=279&event=595,05/27/2011,Green Owl Cafe
http://madisonfishfry.com/reviews.php?restaurant=28,http://madisonfishfry.com/reviews.php?restaurant=28&event=1311,12/28/2018,Blue Moon
http://madisonfishfry.com/reviews.php?restaurant=28,http://madisonfishfry.com/reviews.php?restaurant=28&event=572,03/11/2011,Blue Moon
http://madisonfishfry.com/reviews.php?restaurant=28,http://madisonfishfry.com/reviews.php?restaurant=28&event=483,04/23/2010,Blue Moon
http://madisonfishfry.com/reviews.php?restaurant=28,http://madisonfishfry.com/reviews.php?restaurant=28&event=224,09/28/2007,Blue Moon
http://madisonfishfry.com/reviews.php?restaurant=28,http://madisonfishfry.com/reviews.php?restaurant=28&event=118,08/26/2005,Blue Moon
http://madisonfishfry.com/reviews.php?restaurant=28,http://madisonfishfry.com/reviews.php?restaurant=28&event=142,12/10/2004,Blue Moon
http://madisonfishfry.com/reviews.php?restaurant=28,http://madisonfishfry.com/reviews.php?restaurant=28&event=146,11/05/2004,Blue Moon
http://madisonfishfry.com/reviews.php?restaurant=28,http://madisonfishfry.com/reviews.php?restaurant=28&event=150,09/24/2004,Blue Moon
http://madisonfishfry.com/reviews.php?restaurant=28,http://madisonfishfry.com/reviews.php?restaurant=28&event=153,09/03/2004,Blue Moon
http://madisonfishfry.com/reviews.php?restaurant=280,http://madisonfishfry.com/reviews.php?restaurant=280&event=899,03/28/2014,Baldwin Street Grille
